Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total cultura,261719.067,273066.42,283074.02,304199.715,333701.516,334827.219,342600.821,361986.081,384720.508,408950.23,438726.19,443891.685
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas,252940.978,264314.746,273742.557,293374.522,322033.498,322971.27,330193.608,348747.183,368382.77,390964.177,418225.634,422724.422
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,4473.315,4516.716,4904.696,5181.66,5545.802,5086.487,5009.089,5479.34,5949.446,6192.907,7256.022,7182.298
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,397.535,384.849,406.441,455.729,466.274,475.287,502.82,557.108,575.929,612.592,615.275,568.337
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,2283.197,2174.587,2274.436,2357.447,2419.521,2369.542,2505.552,2626.289,2792.67,2925.757,3374.245,3453.695
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,775.068,759.53,844.72,903.772,910.607,900.119,966.083,1040.218,1132.022,1188.63,1220.947,1208.983
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,337.526,320.219,371.617,415.824,448.73,458.011,493.702,545.581,601.201,667.026,708.995,731.493
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,679.989,877.531,1007.482,1048.888,1300.67,883.528,540.932,710.144,847.624,798.902,1336.56,1219.79
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,5732.148,5810.477,6291.635,6380.96,7021.048,7223.68,7489.842,8043.551,9067.296,9568.301,10208.837,10708.204
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,4.795,5.058,5.337,5.536,5.843,5.943,6.137,6.35,6.839,7.224,7.544,7.9
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,753.572,748.339,820.937,862.18,925.831,991.858,990.939,1071.441,1185.574,1292.339,1322.597,1327.348
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,3570.394,3644.601,3874.904,3840.344,4045.905,4257.378,4439.361,4831.873,5580.811,5937.66,6468.882,6995.898
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,68.666,70.532,74.977,79.141,81.598,86.63,89.584,95.212,97.623,104.438,109.238,112.862
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",321.014,329.987,361.293,378.972,422.579,441.812,445.41,463.263,505.859,555.058,558.527,616.566
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,240.056,237.037,224.684,236.575,263.831,273.357,284.782,296.749,323.938,355.697,364.23,365.77
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,769.489,770.975,924.921,973.085,1269.928,1161.055,1227.542,1271.936,1359.239,1307.661,1369.077,1272.841
