Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios de 2013|Total cultura,315008.673,303436.972,310903.202,323584.664,335514.967,334827.219,332862.216,335517.048,339030.958,344733.896,356082.617,346432.303
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas,303914.713,293051.345,299944.228,311776.385,323355.012,322971.27,320709.33,323191.658,324718.464,330027.206,339892.085,330196.874
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,5399.31,4998.014,5209.735,5454.814,5373,5086.487,4837.132,5138.67,5336.91,5304.057,6007.879,5787.19
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,520.336,466.553,450.013,483.121,479.185,475.287,485.486,518.725,506.37,522.269,509.513,462.241
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,2600.134,2391.374,2472.629,2497.002,2469.622,2369.542,2446.022,2486.843,2567.266,2573.726,2873.871,2856.826
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,964.35,923.078,965.282,1018.314,958.508,900.119,916.76,970.31,981.553,984.989,973.856,944.568
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,421.225,369.852,405.413,438.926,457.801,458.011,481.948,505.341,518.298,539.302,554.805,559.326
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,893.265,847.157,916.398,1017.451,1007.884,883.528,506.916,657.451,763.423,683.771,1095.834,964.229
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,7220.496,6862.715,7074.045,7080.167,7243.591,7223.68,7236.677,7579.064,8162.102,8260.94,8462.497,8526.523
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,5.657,5.707,5.758,5.808,5.876,5.943,5.952,5.907,5.994,6.06,6.133,6.197
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,909.773,860.869,899.602,919.379,954.195,991.858,964.047,1008.085,1068.58,1111.147,1097.265,1062.51
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,4386.16,4164.784,4249.731,4084.593,4168.969,4257.378,4312.469,4576.4,5007.152,5123.358,5351.628,5546.756
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,82.096,80.182,81.613,84.382,83.704,86.63,87.974,90.811,90.199,92.034,92.311,92.023
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",380.002,369.116,387.61,396.723,431.068,441.812,432.582,430.469,456.548,478.437,462.334,488.446
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,277.763,264.237,240.482,246.824,269.661,273.357,277.361,283.604,303.024,324.042,323.49,317.53
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,1173.851,1113.26,1204.25,1337.046,1324.474,1161.055,1150.35,1177.557,1224.215,1119.213,1122.495,1006.165
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Comercio de bienes para artes escénicas y espectáculos,5.194,4.56,4.999,5.412,5.644,5.647,5.942,6.231,6.39,6.649,6.841,6.896
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos,3687.115,3482.072,3618.33,3851.949,3810.932,3683.852,3526.81,3689.942,3805.617,3817.592,3902.392,4151.55
