Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Índice de precios implícitos|Total cultura,83.083,89.991,91.049,94.009,99.46,100,102.926,107.889,113.477,118.628,123.209,128.132
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas,83.228,90.194,91.264,94.098,99.591,100,102.957,107.907,113.447,118.464,123.047,128.022
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,82.85,90.37,94.145,94.992,103.216,100,103.555,106.63,111.477,116.758,120.775,124.107
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,76.4,82.488,90.318,94.33,97.306,100,103.57,107.399,113.737,117.294,120.757,122.953
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,87.811,90.935,91.985,94.411,97.971,100,102.434,105.607,108.78,113.678,117.411,120.893
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,80.372,82.282,87.51,88.752,95.003,100,105.38,107.205,115.33,120.674,125.372,127.993
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,80.13,86.58,91.664,94.737,98.019,100,102.439,107.963,115.995,123.683,127.792,130.781
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,76.124,103.585,109.939,103.09,129.05,100,106.71,108.015,111.029,116.838,121.967,126.504
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,79.387,84.667,88.94,90.124,96.928,100,103.498,106.129,111.09,115.826,120.636,125.587
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,84.762,88.628,92.688,95.317,99.438,100,103.108,107.5,114.097,119.208,123.007,127.481
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,82.831,86.928,91.256,93.779,97.027,100,102.789,106.285,110.949,116.307,120.536,124.926
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,81.401,87.51,91.18,94.02,97.048,100,102.942,105.582,111.457,115.894,120.877,126.126
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,83.641,87.965,91.869,93.789,97.484,100,101.83,104.846,108.231,113.478,118.337,122.645
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",84.477,89.399,93.21,95.526,98.031,100,102.965,107.618,110.801,116.015,120.806,126.23
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,86.425,89.706,93.431,95.848,97.838,100,102.676,104.635,106.902,109.769,112.594,115.192
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,65.553,69.254,76.805,72.779,95.882,100,106.71,108.015,111.029,116.838,121.967,126.504
