Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total cultura,261719.068,273066.419,283074.028,304199.717,333701.513,334827.218,342600.821,361986.084,384720.51,408950.23,438726.189,443891.685
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios,237146.735,245166.086,255278.272,272615.08,296217.026,302403.994,308349.076,324219.377,340954.549,363498.365,385858.493,394540.106
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,153118.805,154880.347,162038.607,173677.796,184982.23,188647.585,194822.532,210537.238,224019.807,240813.793,256511.99,259291.632
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,68607.639,69068.078,70995.927,77990.604,83308.752,83425.065,86202.185,95064.274,101586.518,108775.419,114975.956,120402.722
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,46565.158,45759.432,49895.125,53651.515,59742.793,61436.826,63706.245,70170.162,76082,83208.411,90152.421,94014.639
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,145.975,122.66300000000001,100.283,114.397,107.945,99.767,102.569,102.052,93.412,86.239,78.232,93.887
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,10676.439,12066.922,10215.132,13058.916000000001,11045.89,10433.403,10892.297999999999,12275.764,12145.309000000001,11330.925000000001,11156.789999999999,13430.296
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",1048.207,774.76,661.644,599.861,689.569,738.585,823.118,1383.721,1779.274,2230.357,2229.466,2344.841
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,506.395,568.185,597.739,700.429,712.127,740.46,776.817,862.628,909.807,978.572,1038.77,1035.529
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",9598.508,9709.880000000001,9453.144,9785.314999999999,10923.113,9894.166,9820.703,10184.489,10484.794999999998,10844.301,10218.827000000001,9383.011999999999
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",66.957,66.236,72.86,80.171,87.315,81.858,80.435,85.458,91.921,96.614,101.45,100.518
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,84511.166,85812.269,91042.68,95687.192,101673.478,105222.52,108620.347,115472.964,122433.289,132038.374,141536.034,138888.91
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,64.373,66.882,68.495,72.617,74.455,77.309,82.152,82.677,87.028,91.982,95.277,99.19
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",572.263,604.2040000000001,636.4259999999999,666.785,716.509,736.0050000000001,764.527,790.7699999999999,852.2769999999999,915.993,947.6519999999999,1031.275
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,6927.3820000000005,6997.1230000000005,7749.439,8375.199,9505.755,10486.027,11205.004,12537.164,14475.56,15782.063000000002,16652.262000000002,18241.881999999998
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",79.075,84.31,88.82900000000001,91.50999999999999,96.063,98.792,102.041,105.737,112.492,119.108,124.98899999999999,131.11200000000002
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",11619.491000000002,10982.456000000002,11234.015,12016.588,12597.332999999999,12516.015000000001,12713.593,13459.521999999997,13516.16,13618.274,13217.332,12035.934
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,2206.137,2307.306,2440.4900000000002,2588.887,2768.119,2948.82,3133.4859999999994,3246.904,3493.1459999999997,3787.6629999999996,4148.236,4413.598999999999
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,3155.824,3226.915,3407.889,3353.057,3517.3010000000004,3684.732,3884.321,4233.9619999999995,4911.871,5203.876,5729.943,6255.966
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,2056.6440000000002,1976.206,2092.232,2151.293,2221.092,2167.669,2296.946,2405.883,2583.733,2712.964,3164.3,3227.7839999999997
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",5935.69,6180.784,6705.969,7046.059,7235.964,7672.019,8375.473,9208.035,10112.342,10445.883000000002,10915.741,10909.15
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,244.284,235.957,253.817,271.254,305.983,316.321,311.585,333.906,367.317,395.4,408.329,414.159
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",1060.474,1065.045,1193.703,1245.212,1350.513,1462.987,1418.384,1527.924,1709.391,1875.115,1887.442,1888.4430000000002
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),7317.016,6861.869,7149.936000000001,7393.295999999999,7533.718,8014.8859999999995,8614.734,8391.703000000001,10068.66,11096.288999999999,12723.196,12147.074
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,14017.945,14355.391,14586.757999999998,14869.047999999999,16244.34,15985.289000000002,16694.442,17553.509,18243.759,19212.423,19644.681999999997,20452.506999999998
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",960.284,971.481,899.7449999999999,884.908,985.637,965.0300000000001,1098.853,1218.265,1239.174,1056.1750000000002,662.58,565.753
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",824.744,846.215,836.1879999999999,907.4720000000001,1044.9830000000002,981.794,993.627,1129.306,1157.211,1164.931,1257.211,1278.405
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,27469.539999999997,29050.125,31698.749,33754.007,35475.712999999996,37108.825,36931.179000000004,39247.69700000001,39503.168,44560.235,49956.862,45796.677
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,84027.93,90285.739,93239.665,98937.284,111234.796,113756.409,113526.544,113682.139,116934.742,122684.572,129346.503,135248.474
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,2200.073,2348.775,2541.233,2762.403,2893.424,3010.479,3383.983,3474.308,3917.028,3877.006,4030.894,3963.547
