Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios de 2013|Total cultura,315008.671,303436.967,310903.2,323584.665,335514.968,334827.218,332862.212,335517.048,339030.96,344733.9,356082.618,346432.302
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios,283663.429,273478.122,279221.448,288527.991,300303.634,302403.994,300053.894,300408.698,299914.565,306154.873,312910.883,307465.873
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,185956.784,176312.482,181391.896,186672.85,189659.516,188647.585,188896.748,195630.644,198865.921,204428.573,208986.904,202310.533
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,85638.571,79091.88,82035.773,85037.894,85573.965,83425.065,83326.858,87230.314,87783.799,89472.745,90704.505,90895.572
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,58240.313,55349.926,59077.316,59150.966,62297.933,61436.826,60974.711,64305.889,66167.558,67825.437,70557.741,70090.343
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,155.213,116.79599999999999,136.841,141.275,124.855,99.767,104.382,99.891,76.911,65.072,55.47,65.228
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,13595.928,11257.999,10831.218,14270.206,11217.77,10433.403,11309.631,11511.365,10286.028,9733.592,9167.607,10946.11
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",1286.393,896.698,740.401,646.559,715.329,738.585,796.933,1228.267,1449.104,1468.307,1449.104,1509.668
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,700.475,731.574,725.65,779.704,776.742,740.46,767.445,795.568,799.03,818.471,849.2,840.703
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",11584.694,10665.542000000001,10446.909,9967.817,10353.01,9894.166,9293.698,9204.961,8920.795,9475.505000000001,8537.303,7359.451999999999
