Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Índice de precios implícitos|Total cultura,83.083,89.991,91.049,94.009,99.46,100,102.926,107.889,113.477,118.628,123.209,128.132
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios,83.601,89.647,91.425,94.485,98.639,100,102.765,107.926,113.684,118.73,123.313,128.32
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,82.341,87.844,89.331,93.039,97.534,100,103.137,107.62,112.649,117.799,122.741,128.165
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,80.113,87.326,86.543,91.713,97.353,100,103.451,108.981,115.724,121.574,126.759,132.463
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,79.953,82.673,84.457,90.703,95.899,100,104.48,109.119,114.984,122.68,127.771,134.134
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,94.048,105.023,73.284,80.975,86.456,100,98.263,102.163,121.455,132.529,141.035,143.937
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,78.527,107.185,94.312,91.512,98.468,100,96.31,106.64,118.076,116.411,121.698,122.695
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",81.484,86.401,89.363,92.777,96.399,100,103.286,112.656,122.784,151.9,153.851,155.322
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,72.293,77.666,82.373,89.833,91.681,100,101.221,108.429,113.864,119.561,122.323,123.174
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",82.855,91.04,90.487,98.169,105.507,100,105.671,110.641,117.532,114.446,119.696,127.496
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",88.62,90.307,94.088,98.53,98.855,100,100.471,101.286,108.946,111.872,115.179,119.567
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,84.243,88.266,91.633,94.148,97.683,100,102.89,106.525,110.219,114.86,119.659,124.659
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,88.422,92.493,95.062,97.002,98.675,100,103.4,105.999,109.499,114.501,119.099,123.4
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",84.589,89.919,92.908,95.408,98.048,100,102.803,107.297,112.733,118.15,122.252,126.772
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,83.971,87.935,93.956,95.38,98.538,100,102.853,107.076,110.56,113.099,117.308,123.892
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",84.203,88.974,92.909,94.867,98.428,100,103.052,106.817,112.547,117.904,122.098,126.857
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",83.254,89.262,92.704,94.994,97.703,100,103.37,106.106,110.37,115.573,120.869,125.275
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,82.496,86.53,90.221,93.249,96.637,100,103.603,107.315,112.53,118.727,124.115,128.984
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,81.089,87.377,90.929,93.825,96.918,100,102.922,105.418,111.6,115.918,120.901,126.133
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,87.597,90.366,93.204,95.338,98.689,100,102.789,105.982,108.695,113.484,117.125,120.5
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",91.768,95.598,97.993,98.832,99.813,100,102.863,108.138,112.271,117.162,121.555,125.201
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,83.54,87.797,92.231,95.32,97.744,100,101.194,106.88,110.069,114.073,118.67,122.882
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",83.468,87.859,92.553,94.852,97.551,100,102.94,106.281,109.922,115.226,119.986,125.284
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),81.933,86.014,89.952,92.622,96.767,100,102.711,106.632,109.859,113.723,118.586,122.991
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,86.445,89.943,92.561,95.168,99.175,100,102.442,105.527,108.879,113.878,117.758,122.15
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",96.808,97.729,98.966,96.477,98.559,100,103.179,106.592,109.79,111.954,117.159,121.243
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",83.504,88.652,92.97,96.978,100.163,100,107.683,110.737,114.683,116.417,120.813,125.332
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,82.746,86.097,89.254,92.371,96.554,100,102.81,106.51,109.822,115.055,120.389,125.949
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,86,92.919,95.308,97.135,100.534,100,102.132,108.498,115.721,120.603,124.463,128.618
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,77.44,83.657,87.291,89.136,91.914,100,104.147,104.659,113.741,118.749,123.034,127.2
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,76.743,85.298,85.929,87.768,89.326,100,103.055,102.88,112.253,116.219,119.619,125.129
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",78.519,81.046,89.565,91.415,96.714,100,106.369,108.025,116.641,123.223,129.274,130.87
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,86.257,93.195,95.554,97.386,100.786,100,102.071,108.624,115.791,120.664,124.509,128.661
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",75.05,79.4,81.809,85.597,88.936,100,98.898,101.068,101.577,106.909,110.949,114.277
