Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Valor bruto de la producción,712602.593,735120.553,770141.076,812418.668,867285.526,883392.77,906290.844,959308.089,999190.583,1068175.25,1142819.512,1168344.567
Millones de pesos a precios corrientes|Valor bruto de la producción|Consumo intermedio,261719.068,273066.419,283074.028,304199.717,333701.513,334827.218,342600.821,361986.084,384720.51,408950.23,438726.189,443891.685
Millones de pesos a precios corrientes|Valor bruto de la producción|Valor agregado bruto,450883.53,462054.131,487067.056,508218.95,533584.012,548565.553,563690.02,597322.003,614470.078,659225.023,704093.314,724452.874
Millones de pesos a precios corrientes|Valor bruto de la producción|Valor agregado bruto|Remuneración de los asalariados,93628.794,96732.922,99876.525,106093.422,109830.095,116222.569,119526.557,126519.119,131272.198,137661.402,143739.364,148805.979
Millones de pesos a precios corrientes|Valor bruto de la producción|Valor agregado bruto|Impuestos sobre la producción,2317.188,2597.689,2251.976,2611.208,2172.17,2570.919,2775.985,2954.049,3019.456,3010.266,2895.686,3277.39
Millones de pesos a precios corrientes|Valor bruto de la producción|Valor agregado bruto|Excedente bruto de operación,354937.541,362723.525,384938.558,399514.315,421581.735,429772.06,441387.477,467848.831,480178.429,518553.345,557458.27,572369.509
Unidades|Puestos de trabajo ocupados remunerados,1277482,1234272,1247804,1261076,1292187,1314988,1317296,1349036,1377763,1407663,1417828,1395644
Pesos|Remuneración media anual,73291.674,78372.451,80041.838,84129.285,84995.511,88382.988,90736.294,93784.835,95279.23,97794.289,101379.973,106621.731
Estructura porcentual|Valor bruto de la producción,100,100,100,100,100,100,100,100,100,100,100,100
Estructura porcentual|Valor bruto de la producción|Consumo intermedio,36.727,37.146,36.756,37.444,38.477,37.902,37.803,37.734,38.503,38.285,38.39,37.993
Estructura porcentual|Valor bruto de la producción|Valor agregado bruto,63.273,62.854,63.244,62.556,61.523,62.098,62.197,62.266,61.497,61.715,61.61,62.007
Estructura porcentual|Valor bruto de la producción|Valor agregado bruto|Remuneración de los asalariados,13.139,13.159,12.969,13.059,12.664,13.156,13.189,13.189,13.138,12.888,12.578,12.736
Estructura porcentual|Valor bruto de la producción|Valor agregado bruto|Impuestos sobre la producción,0.325,0.353,0.292,0.321,0.25,0.291,0.306,0.308,0.302,0.282,0.253,0.281
Estructura porcentual|Valor bruto de la producción|Valor agregado bruto|Excedente bruto de operación,49.809,49.342,49.983,49.176,48.609,48.65,48.703,48.769,48.057,48.546,48.779,48.99
Estructura porcentual|Puestos de trabajo ocupados remunerados,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Estructura porcentual|Remuneración media anual,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Variación anual|Valor bruto de la producción,NA,3.16,4.764,5.49,6.754,1.857,2.592,5.85,4.157,6.904,6.988,2.234
Variación anual|Valor bruto de la producción|Consumo intermedio,NA,4.336,3.665,7.463,9.698,0.337,2.322,5.658,6.28,6.298,7.281,1.177
Variación anual|Valor bruto de la producción|Valor agregado bruto,NA,2.477,5.413,4.343,4.991,2.808,2.757,5.966,2.871,7.284,6.806,2.892
Variación anual|Valor bruto de la producción|Valor agregado bruto|Remuneración de los asalariados,NA,3.315,3.25,6.225,3.522,5.82,2.843,5.85,3.757,4.867,4.415,3.525
Variación anual|Valor bruto de la producción|Valor agregado bruto|Impuestos sobre la producción,NA,12.105,-13.308,15.952,-16.814,18.357,7.976,6.414,2.214,-0.304,-3.806,13.182
Variación anual|Valor bruto de la producción|Valor agregado bruto|Excedente bruto de operación,NA,2.194,6.125,3.787,5.524,1.943,2.703,5.995,2.635,7.992,7.503,2.675
Variación anual|Puestos de trabajo ocupados remunerados,NA,-3.382,1.096,1.064,2.467,1.765,0.176,2.409,2.129,2.17,0.722,-1.565
Variación anual|Remuneración media anual,NA,6.932,2.13,5.107,1.03,3.985,2.663,3.36,1.593,2.64,3.667,5.17
