Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios de 2013|Valor bruto de la producción,802368.233,783143.128,804062.14,833983.14,876440.957,883392.77,890743.7,954281.298,1014397.787,1059264.611,1102273.608,1104135.282
Millones de pesos a precios de 2013|Valor bruto de la producción|Consumo intermedio,315008.671,303436.967,310903.2,323584.665,335514.968,334827.218,332862.212,335517.048,339030.96,344733.9,356082.618,346432.302
Millones de pesos a precios de 2013|Valor bruto de la producción|Valor agregado bruto,487359.56,479706.154,493158.937,510398.48,540925.986,548565.553,557881.482,618764.243,675366.821,714530.715,746190.993,757702.986
Estructura porcentual|Valor bruto de la producción,100,100,100,100,100,100,100,100,100,100,100,100
Estructura porcentual|Valor bruto de la producción|Consumo intermedio,39.26,38.746,38.667,38.8,38.282,37.902,37.369,35.159,33.422,32.545,32.304,31.376
Estructura porcentual|Valor bruto de la producción|Valor agregado bruto,60.74,61.254,61.333,61.2,61.718,62.098,62.631,64.841,66.578,67.455,67.696,68.624
Variación anual|Valor bruto de la producción,NA,-2.396,2.671,3.721,5.091,0.793,0.832,7.133,6.3,4.423,4.06,0.169
Variación anual|Valor bruto de la producción|Consumo intermedio,NA,-3.673,2.461,4.079,3.687,-0.205,-0.587,0.798,1.047,1.682,3.292,-2.71
Variación anual|Valor bruto de la producción|Valor agregado bruto,NA,-1.57,2.804,3.496,5.981,1.412,1.698,10.913,9.148,5.799,4.431,1.543
Índice de precios implícitos|Valor bruto de la producción,88.812,93.868,95.781,97.414,98.955,100,101.745,100.527,98.501,100.841,103.678,105.815
Índice de precios implícitos|Valor bruto de la producción|Consumo intermedio,83.083,89.991,91.049,94.009,99.46,100,102.926,107.889,113.477,118.628,123.209,128.132
Índice de precios implícitos|Valor bruto de la producción|Valor agregado bruto,92.516,96.32,98.765,99.573,98.643,100,101.041,96.535,90.983,92.26,94.358,95.612
Variación anual del índice de precios implícitos|Valor bruto de la producción,NA,5.693,2.038,1.705,1.582,1.056,1.745,-1.197,-2.015,2.376,2.813,2.061
Variación anual del índice de precios implícitos|Valor bruto de la producción|Consumo intermedio,NA,8.315,1.176,3.251,5.798,0.543,2.926,4.822,5.179,4.539,3.862,3.996
Variación anual del índice de precios implícitos|Valor bruto de la producción|Valor agregado bruto,NA,4.112,2.538,0.818,-0.934,1.376,1.041,-4.46,-5.751,1.404,2.274,1.329
