Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total cultura,354937.538,362723.521,384938.559,399514.319,421581.731,429772.063,441387.478,467848.831,480178.426,518553.344,557458.268,572369.511
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas,288365.033,298272.507,313181.76,319967.278,337035.538,341161.695,349225.347,368003.836,369967.855,397753.24,426505.926,435933.089
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,5015.637,4598.64,4622.987,5013.178,4805.283,4299.043,4268.512,4939.856,6133.958,5592.652,8280.01,7722.906
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,293.82,263.36,269.173,295.471,323.819,324.759,321.413,393.871,391.763,418.282,426.088,377.692
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,1960.704,1864.458,1975.733,2074.042,2139.74,2040.045,2140.016,2281.758,2448.15,2510.082,2836.376,2827.606
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,212.138,222.527,269.479,290.457,292.388,305.385,310.372,389.596,431.378,422.404,423.916,414.488
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,2548.975,2248.295,2108.602,2353.208,2049.336,1628.854,1496.711,1874.631,2862.667,2241.884,4593.63,4103.12
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,17417.335,16855.593,18313.803,19838.491,21726.075,23275.163,24451.703,26123.018,28982.122,31775.36,34108.685,35029.127
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,6.005,6.404,6.893,7.066,7.63,8.202,8.482,8.808,9.085,9.522,10.032,10.773
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,16085.306,15581.183,16902.795,18373.369,19972.693,21364.105,22406.198,23747.292,26047.758,28712.817,30619.202,31381.505
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,1072.038,1019.996,1135.531,1166.181,1417.777,1564.157,1696.006,2003.911,2530.053,2617.103,3029.101,3175.929
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,64.209,62.156,67.677,73.9,75.826,83.955,86.47,94.687,97.687,105.453,108.634,112.261
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",74.199,69.556,85.872,87.862,111.625,125.461,122.961,132.325,149.602,170.225,186.048,202.143
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,104.434,103.101,97.654,102.802,114.641,109.2,113.755,118.528,129.547,142.635,139.273,130.555
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Comercio de bienes para artes escénicas y espectáculos,11.144,13.197,17.381,27.311,25.883,20.083,17.831,17.467,18.39,17.605,16.395,15.961
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos,4541.948,4679.548,4761.18,5149.338,4069.622,3204.301,3426.034,3781.485,3887.339,4020.453,4405.898,4886.814
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Instrumentos musicales,-2.631,10.583,29.923,73.803,84.72,99.554,247.62,302.201,320.438,328.301,355.345,371.886
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Música,837.128,830.476,879.441,927.299,876.185,853.834,780.864,848.837,917.277,968.916,1071.848,1398.688
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Conciertos,873.697,916.645,991.784,1008.453,1110.179,1162.134,1183.044,1212.424,1260.064,1325.507,1404.162,1504.458
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Propiedad intelectual en música,114.399,120.33,106.912,112.806,98.921,109.163,96.977,101.487,106.473,123.909,147.556,238.116
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Comercio de bienes para música,2719.355,2801.514,2753.12,3026.977,1899.617,979.616,1117.529,1316.536,1283.087,1273.82,1426.987,1373.666
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Gestión pública en música y conciertos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa",13685.426,12376.77,12391.724,13332.441,15211.734,13410.678,13047.456,13550.02,13509.136,13746.181,12909.796,10861.921
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Agencias noticiosas",24.607,26.696,23.535,20.244,19.806,16.272,16.751,15.414,14.384,14.582,17.007,14.072
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Libros",3098.707,3013.453,3115.99,3390.215,4055.082,3709.876,3458.461,3698.457,3654.637,3918.477,3607.117,3248.642
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Periódicos",2093.329,1974.884,2070.417,2207.67,2247.296,2131.907,2126.21,2207.895,1911.594,1888.643,1707.978,979.702
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Revistas",1010.662,944.384,930.793,944.53,1031.969,948.43,849.903,853.103,915.994,989.094,902.95,742.207
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Otros productos editoriales e impresos",928.115,1008.626,989.138,1118.288,1235.309,1316.926,1439.778,1547.729,1723.094,1676.241,1844.082,1738.493
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Publicaciones digitales",677.16,663.089,619.264,541.005,620.655,554.868,658.79,743.142,769.481,630.19,352.035,262.417
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Propiedad intelectual en libros",99.088,95.988,92.552,91.837,90.13,82.428,84.681,89.957,86.117,91.509,87.802,71.44
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Comercio de libros, impresiones y prensa",5753.758,4649.65,4550.035,5018.652,5911.487,4649.971,4412.882,4394.323,4433.835,4537.445,4390.825,3804.948
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Gestión pública en libros, impresiones y prensa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales,167807.494,180728.569,188176.661,185617.38,191628.468,194544.525,196579.026,200927.819,189990.771,202926.08,217166.552,223002.157
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Cine,7058.084,7395.777,8748.174,9592.077,11032.943,11575.794,12265.704,14134.774,16468.216,17485.54,17963.103,20372.018
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Internet,129082.863,139575.963,144224.521,135766.055,139858.029,144214.743,145175.563,140802.493,126508.178,134515.206,145257.521,150303.945
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Radio,3656.717,3988.629,4416.087,5584.575,5265.213,4401.777,5116.127,6340.536,6780.261,7064.136,7098.21,7244.833
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Televisión,13898.913,15280.387,17558.689,19466.328,20325.419,21100.619,21888.598,23685.612,23663.084,26579.213,29819.972,27724.509
