Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total cultura,354937.541,362723.525,384938.558,399514.315,421581.735,429772.06,441387.477,467848.831,480178.429,518553.345,557458.27,572369.509
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios,288237.672,298140.471,313058.432,319840.175,336888.134,341005.021,349088.019,367872.101,369833.387,397615.232,426230.436,435669.019
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,108724.612,109331.271,119240.218,129493.032,140087.945,143560.919,151640.173,166064.442,177667.145,192898.717,205071.914,208307.269
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,35275.744,36122.005,39980.403,44945.73,47892.943,47058.037,48630.331,54978.379,59165.988,64229.715,68431.542,71242.216
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,30960.104,31025.176,34365.672,37360.244,40585.597,42038.486,43714.956,48646.453,52873.213,58101.756,62724.215,65184.075
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,27.964,25.774,26.478,37.49,32.267,20.863999999999997,21.735,21.740000000000002,16.475,10.178,6.186,9.644
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,1767.63,2894.86,3367.221,4780.197,3696.1310000000003,1808.515,1771.499,2303.045,1777.9479999999999,874.77,559.113,1056.496
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",813.961,405.781,335.685,599.055,689.388,600.691,730.535,1365.938,1847.418,2416.118,2438.318,2527.96
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,-3.72,9.564,28.807,72.629,83.588,98.381,246.408,300.804,318.912,326.57,353.672,370.079
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",1692.7759999999998,1742.981,1836.709,2070.913,2776.621,2462.9590000000003,2117.371,2309.12,2298.213,2467.353,2313.917,2057.5190000000002
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",17.029,17.869,19.831,25.202,29.351,28.141,27.827,31.279,33.809,32.97,36.121,36.443
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,73448.868,73209.266,79259.815,84547.302,92195.002,96502.882,103009.842,111086.063,118501.157,128669.002,136640.372,137065.053
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,67.599,72.65,77.43,84.726,91.534,93.606,98.107,102.394,106.859,113.132,118.833,126.252
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",16772.892,16318.344000000001,17685.267,19162.972,20829.682,22250.266000000003,23325.836,24688.432999999997,27011.603,29717.01,31677.677,32553.103000000003
