Descriptores,2008|Total,2008|Financiamiento|Total de residentes,2008|Financiamiento|Hogares,2008|Financiamiento|ISFL,2008|Financiamiento|Total de gobierno,2008|Financiamiento|Niveles de gobierno|Gobierno federal,2008|Financiamiento|Niveles de gobierno|Gobierno estatal,2008|Financiamiento|Niveles de gobierno|Gobierno municipal,2008|Financiamiento|Sociedades no financieras,2008|Financiamiento|Total no residentes,2009|Total,2009|Financiamiento|Total de residentes,2009|Financiamiento|Hogares,2009|Financiamiento|ISFL,2009|Financiamiento|Total de gobierno,2009|Financiamiento|Niveles de gobierno|Gobierno federal,2009|Financiamiento|Niveles de gobierno|Gobierno estatal,2009|Financiamiento|Niveles de gobierno|Gobierno municipal,2009|Financiamiento|Sociedades no financieras,2009|Financiamiento|Total no residentes,2010|Total,2010|Financiamiento|Total de residentes,2010|Financiamiento|Hogares,2010|Financiamiento|ISFL,2010|Financiamiento|Total de gobierno,2010|Financiamiento|Niveles de gobierno|Gobierno federal,2010|Financiamiento|Niveles de gobierno|Gobierno estatal,2010|Financiamiento|Niveles de gobierno|Gobierno municipal,2010|Financiamiento|Sociedades no financieras,2010|Financiamiento|Total no residentes,2011|Total,2011|Financiamiento|Total de residentes,2011|Financiamiento|Hogares,2011|Financiamiento|ISFL,2011|Financiamiento|Total de gobierno,2011|Financiamiento|Niveles de gobierno|Gobierno federal,2011|Financiamiento|Niveles de gobierno|Gobierno estatal,2011|Financiamiento|Niveles de gobierno|Gobierno municipal,2011|Financiamiento|Sociedades no financieras,2011|Financiamiento|Total no residentes,2012|Total,2012|Financiamiento|Total de residentes,2012|Financiamiento|Hogares,2012|Financiamiento|ISFL,2012|Financiamiento|Total de gobierno,2012|Financiamiento|Niveles de gobierno|Gobierno federal,2012|Financiamiento|Niveles de gobierno|Gobierno estatal,2012|Financiamiento|Niveles de gobierno|Gobierno municipal,2012|Financiamiento|Sociedades no financieras,2012|Financiamiento|Total no residentes,2013|Total,2013|Financiamiento|Total de residentes,2013|Financiamiento|Hogares,2013|Financiamiento|ISFL,2013|Financiamiento|Total de gobierno,2013|Financiamiento|Niveles de gobierno|Gobierno federal,2013|Financiamiento|Niveles de gobierno|Gobierno estatal,2013|Financiamiento|Niveles de gobierno|Gobierno municipal,2013|Financiamiento|Sociedades no financieras,2013|Financiamiento|Total no residentes,2014|Total,2014|Financiamiento|Total de residentes,2014|Financiamiento|Hogares,2014|Financiamiento|ISFL,2014|Financiamiento|Total de gobierno,2014|Financiamiento|Niveles de gobierno|Gobierno federal,2014|Financiamiento|Niveles de gobierno|Gobierno estatal,2014|Financiamiento|Niveles de gobierno|Gobierno municipal,2014|Financiamiento|Sociedades no financieras,2014|Financiamiento|Total no residentes,2015|Total,2015|Financiamiento|Total de residentes,2015|Financiamiento|Hogares,2015|Financiamiento|ISFL,2015|Financiamiento|Total de gobierno,2015|Financiamiento|Niveles de gobierno|Gobierno federal,2015|Financiamiento|Niveles de gobierno|Gobierno estatal,2015|Financiamiento|Niveles de gobierno|Gobierno municipal,2015|Financiamiento|Sociedades no financieras,2015|Financiamiento|Total no residentes,2016|Total,2016|Financiamiento|Total de residentes,2016|Financiamiento|Hogares,2016|Financiamiento|ISFL,2016|Financiamiento|Total de gobierno,2016|Financiamiento|Niveles de gobierno|Gobierno federal,2016|Financiamiento|Niveles de gobierno|Gobierno estatal,2016|Financiamiento|Niveles de gobierno|Gobierno municipal,2016|Financiamiento|Sociedades no financieras,2016|Financiamiento|Total no residentes,2017|Total,2017|Financiamiento|Total de residentes,2017|Financiamiento|Hogares,2017|Financiamiento|ISFL,2017|Financiamiento|Total de gobierno,2017|Financiamiento|Niveles de gobierno|Gobierno federal,2017|Financiamiento|Niveles de gobierno|Gobierno estatal,2017|Financiamiento|Niveles de gobierno|Gobierno municipal,2017|Financiamiento|Sociedades no financieras,2017|Financiamiento|Total no residentes,2018|Total<P>,2018|Financiamiento|Total de residentes<P>,2018|Financiamiento|Hogares<P>,2018|Financiamiento|ISFL<P>,2018|Financiamiento|Total de gobierno<P>,2018|Financiamiento|Niveles de gobierno|Gobierno federal<P>,2018|Financiamiento|Niveles de gobierno|Gobierno estatal<P>,2018|Financiamiento|Niveles de gobierno|Gobierno municipal<P>,2018|Financiamiento|Sociedades no financieras<P>,2018|Financiamiento|Total no residentes<P>,2019|Total<P>,2019|Financiamiento|Total de residentes<P>,2019|Financiamiento|Hogares<P>,2019|Financiamiento|ISFL<P>,2019|Financiamiento|Total de gobierno<P>,2019|Financiamiento|Niveles de gobierno|Gobierno federal<P>,2019|Financiamiento|Niveles de gobierno|Gobierno estatal<P>,2019|Financiamiento|Niveles de gobierno|Gobierno municipal<P>,2019|Financiamiento|Sociedades no financieras<P>,2019|Financiamiento|Total no residentes<P>
Millones de pesos a precios de 2013|Total cultura,600831.447,584980.605,475554.62,4320.317,69166.261,69166.261,NA,NA,35939.407,15850.842,584172.299,568336.091,464931.835,4057.088,67042.878,67042.878,NA,NA,32304.289,15836.208,600612.839,585464.805,479114.531,4378.331,67982.193,67982.193,NA,NA,33989.75,15148.034,619089.888,604640.475,491609.948,4375.766,72329.308,72329.308,NA,NA,36325.453,14449.413,664939.979,649068.317,536952.501,4599.384,71967.438,71967.438,NA,NA,35548.994,15871.662,677247.011,661051.054,554693.78,4619.569,67991.862,67991.862,NA,NA,33745.843,16195.957,677688.525,659507.517,555680.01,4511.429,65781.701,65781.701,NA,NA,33534.411,18181.008,739455.866,717653.891,608249.915,4623.873,68292.219,68292.219,NA,NA,36487.903,21801.975,790799.492,763714.84,652062,4746.992,69492.147,69492.147,NA,NA,37413.7,27084.652,829136.713,801157.48,692654.282,4771.253,68010.433,68010.433,NA,NA,35721.512,27979.233,862739.159,833971.345,716304.122,5181.181,71310.96,71310.96,NA,NA,41175.082,28767.814,873504.042,843801.57,730382.463,5174.039,66943.399,66943.399,NA,NA,41301.669,29702.472
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas,504915.007,489064.165,379638.18,4320.317,69166.261,69166.261,NA,NA,35939.407,15850.842,495637.05,479800.842,376396.586,4057.088,67042.878,67042.878,NA,NA,32304.289,15836.208,507495.677,492347.643,385997.369,4378.331,67982.193,67982.193,NA,NA,33989.75,15148.034,521280.364,506830.951,393800.424,4375.766,72329.308,72329.308,NA,NA,36325.453,14449.413,564914.913,549043.251,436927.435,4599.384,71967.438,71967.438,NA,NA,35548.994,15871.662,576780.694,560584.737,454227.463,4619.569,67991.862,67991.862,NA,NA,33745.843,16195.957,577106.155,558925.147,455097.64,4511.429,65781.701,65781.701,NA,NA,33534.411,18181.008,636017.309,614215.334,504811.358,4623.873,68292.219,68292.219,NA,NA,36487.903,21801.975,682080.089,654995.437,543342.597,4746.992,69492.147,69492.147,NA,NA,37413.7,27084.652,717255.521,689276.288,580773.09,4771.253,68010.433,68010.433,NA,NA,35721.512,27979.233,745069.837,716302.023,598634.8,5181.181,71310.96,71310.96,NA,NA,41175.082,28767.814,756750.927,727048.455,613629.348,5174.039,66943.399,66943.399,NA,NA,41301.669,29702.472
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,8409.926,8192.478,5894.654,NA,2076.001,2076.001,NA,NA,221.823,217.448,7825.217,7606.58,5437.174,NA,1981.963,1981.963,NA,NA,187.443,218.637,8333.797,8131.602,5661.868,NA,2039.576,2039.576,NA,NA,430.158,202.195,9852.548,9658.444,6073.348,NA,2120.124,2120.124,NA,NA,1464.972,194.104,8936.303,8737.335,5873.408,NA,2065.288,2065.288,NA,NA,798.639,198.968,8216.807,8045.399,5482.33,NA,1921.776,1921.776,NA,NA,641.293,171.408,7552.259,7387.524,5570.284,NA,1197.375,1197.375,NA,NA,619.865,164.735,8196.995,8012.394,5864.466,NA,1390.876,1390.876,NA,NA,757.052,184.601,9769.082,9560.27,6826.722,NA,1327.441,1327.441,NA,NA,1406.107,208.812,8767.81,8560.483,6406.022,NA,1156.92,1156.92,NA,NA,997.541,207.327,15305.617,15085.314,8271.485,NA,1642.55,1642.55,NA,NA,5171.279,220.303,15084.026,14871.91,8157.285,NA,1584.49,1584.49,NA,NA,5130.135,212.116
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,290.02,271.381,256.624,NA,NA,NA,NA,NA,14.757,18.639,273.454,254.816,249.139,NA,NA,NA,NA,NA,5.677,18.638,263.239,246.085,234.427,NA,NA,NA,NA,NA,11.658,17.154,258.435,241.34,229.528,NA,NA,NA,NA,NA,11.812,17.095,222.053,204.437,194.196,NA,NA,NA,NA,NA,10.241,17.616,192.553,174.676,164.753,NA,NA,NA,NA,NA,9.923,17.877,216.444,197.826,189.89,NA,NA,NA,NA,NA,7.936,18.618,299.286,278.029,266.448,NA,NA,NA,NA,NA,11.581,21.257,329.95,306.957,292.048,NA,NA,NA,NA,NA,14.909,22.993,325.125,299.592,286.097,NA,NA,NA,NA,NA,13.495,25.533,543.906,519.405,503.013,NA,NA,NA,NA,NA,16.392,24.501,618.644,596.229,582.811,NA,NA,NA,NA,NA,13.418,22.415
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,5319.448,5121.426,4571.706,NA,349.468,349.468,NA,NA,200.252,198.022,4869.22,4670.035,4190.496,NA,300.743,300.743,NA,NA,178.796,199.185,5271.961,5087.659,4397.265,NA,265.579,265.579,NA,NA,424.815,184.302,6545.097,6368.729,4693.96,NA,229.061,229.061,NA,NA,1445.708,176.368,5704.049,5523.339,4575.131,NA,167.957,167.957,NA,NA,780.251,180.71,5262.51,5109.601,4295.459,NA,188.191,188.191,NA,NA,625.951,152.909,5203.521,5058.114,4272.841,NA,218.455,218.455,NA,NA,566.818,145.407,5360.482,5198.13,4309.239,NA,217.154,217.154,NA,NA,671.737,162.352,5814.227,5629.635,4743.679,NA,0.027,0.027,NA,NA,885.929,184.592,5816.882,5636.453,4696.345,NA,0.014,0.014,NA,NA,940.094,180.429,11121.483,10926.95,6008.223,NA,NA,NA,NA,NA,4918.727,194.533,10879.782,10691.491,5722.223,NA,NA,NA,NA,NA,4969.268,188.291
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,1073.925,1073.138,1066.324,NA,NA,NA,NA,NA,6.814,0.787,1001.323,1000.509,997.539,NA,NA,NA,NA,NA,2.97,0.814,1024.6,1023.861,1030.176,NA,NA,NA,NA,NA,-6.315,0.739,1157.953,1157.312,1149.86,NA,NA,NA,NA,NA,7.452,0.641,1112.87,1112.228,1104.081,NA,NA,NA,NA,NA,8.147,0.642,1028.159,1027.537,1022.118,NA,NA,NA,NA,NA,5.419,0.622,1153.374,1152.664,1107.553,NA,NA,NA,NA,NA,45.111,0.71,1363.505,1362.513,1288.779,NA,NA,NA,NA,NA,73.734,0.992,2297.491,2296.264,1790.995,NA,NA,NA,NA,NA,505.269,1.227,1468.897,1467.532,1423.58,NA,NA,NA,NA,NA,43.952,1.365,1997.678,1996.409,1760.249,NA,NA,NA,NA,NA,236.16,1.269,2001.11,1999.7,1852.251,NA,NA,NA,NA,NA,147.449,1.41
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,1726.533,1726.533,NA,NA,1726.5327648841396,1726.5327648841396,NA,NA,NA,NA,1681.22,1681.22,NA,NA,1681.2201104831124,1681.2201104831124,NA,NA,NA,NA,1773.997,1773.997,NA,NA,1773.9966222562832,1773.9966222562832,NA,NA,NA,NA,1891.063,1891.063,NA,NA,1891.0628640987052,1891.0628640987052,NA,NA,NA,NA,1897.331,1897.331,NA,NA,1897.3305355009113,1897.3305355009113,NA,NA,NA,NA,1733.585,1733.585,NA,NA,1733.5853539567931,1733.5853539567931,NA,NA,NA,NA,978.92,978.92,NA,NA,978.9198991020835,978.9198991020835,NA,NA,NA,NA,1173.722,1173.722,NA,NA,1173.7215570858975,1173.7215570858975,NA,NA,NA,NA,1327.414,1327.414,NA,NA,1327.4140811472453,1327.4140811472453,NA,NA,NA,NA,1156.906,1156.906,NA,NA,1156.9055154329426,1156.9055154329426,NA,NA,NA,NA,1642.55,1642.55,NA,NA,1642.5500149467882,1642.5500149467882,NA,NA,NA,NA,1584.49,1584.49,NA,NA,1584.489817361079,1584.489817361079,NA,NA,NA,NA
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,29242.16,26153.363,23216.93,NA,2935.634,2935.634,NA,NA,0.799,3088.797,27478.177,24427.515,21544.368,NA,2882.762,2882.762,NA,NA,0.385,3050.662,28568.853,25684.506,22663.377,NA,3020.603,3020.603,NA,NA,0.526,2884.347,29334.349,26583.735,23397.818,NA,3184.64,3184.64,NA,NA,1.277,2750.614,30341.375,27359.144,24077.018,NA,3236.4,3236.4,NA,NA,45.726,2982.231,31212.987,28142.352,25152.844,NA,2988.942,2988.942,NA,NA,0.566,3070.635,31166.047,27686.557,25026.615,NA,2650.243,2650.243,NA,NA,9.734,3479.49,32430.2,28212.818,25489.057,NA,2723.014,2723.014,NA,NA,0.766,4217.382,35156.988,29997.523,27150.261,NA,2846.64,2846.64,NA,NA,0.622,5159.465,36215.729,30866.203,28246.26,NA,2619.357,2619.357,NA,NA,0.586,5349.526,36713.957,31294.439,28798.23,NA,2495.702,2495.702,NA,NA,0.507,5419.518,37215.321,31597.762,29072.583,NA,2524.629,2524.629,NA,NA,0.55,5617.559
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,18.058,18.058,18.058,NA,NA,NA,NA,NA,NA,NA,18.222,18.222,18.222,NA,NA,NA,NA,NA,NA,NA,18.386,18.386,18.386,NA,NA,NA,NA,NA,NA,NA,18.549,18.549,18.549,NA,NA,NA,NA,NA,NA,NA,18.759,18.759,18.759,NA,NA,NA,NA,NA,NA,NA,18.981,18.981,18.981,NA,NA,NA,NA,NA,NA,NA,18.773,18.773,18.773,NA,NA,NA,NA,NA,NA,NA,18.981,18.981,18.981,NA,NA,NA,NA,NA,NA,NA,19.19,19.19,19.19,NA,NA,NA,NA,NA,NA,NA,19.38,19.38,19.38,NA,NA,NA,NA,NA,NA,NA,19.569,19.569,19.569,NA,NA,NA,NA,NA,NA,NA,19.759,19.759,19.759,NA,NA,NA,NA,NA,NA,NA
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,16913.809,13995.629,13994.491,NA,0.339,0.339,NA,NA,0.799,2918.18,15528.558,12647.958,12647.262,NA,0.311,0.311,NA,NA,0.385,2880.6,16244.611,13520.457,13519.633,NA,0.298,0.298,NA,NA,0.526,2724.154,17168.732,14569.486,14567.751,NA,0.458,0.458,NA,NA,1.277,2599.246,17879.42,15061.953,15015.835,NA,0.392,0.392,NA,NA,45.726,2817.467,18738.346,15837.14,15836.117,NA,0.457,0.457,NA,NA,0.566,2901.206,18925.419,15637.555,15627.344,NA,0.477,0.477,NA,NA,9.734,3287.864,19392.23,15409.347,15408.2,NA,0.381,0.381,NA,NA,0.766,3982.883,21033.808,16162.789,16162.015,NA,0.152,0.152,NA,NA,0.622,4871.019,22037.669,16986.868,16986.131,NA,0.151,0.151,NA,NA,0.586,5050.801,22175.969,17057.151,17056.533,NA,0.111,0.111,NA,NA,0.507,5118.818,22177.834,16870.184,16869.513,NA,0.121,0.121,NA,NA,0.55,5307.65
