Descriptores,2008|Total,2008|Financiamiento|Total de residentes,2008|Financiamiento|Hogares,2008|Financiamiento|ISFL,2008|Financiamiento|Total de gobierno,2008|Financiamiento|Niveles de gobierno|Gobierno federal,2008|Financiamiento|Niveles de gobierno|Gobierno estatal,2008|Financiamiento|Niveles de gobierno|Gobierno municipal,2008|Financiamiento|Sociedades no financieras,2008|Financiamiento|Total no residentes,2009|Total,2009|Financiamiento|Total de residentes,2009|Financiamiento|Hogares,2009|Financiamiento|ISFL,2009|Financiamiento|Total de gobierno,2009|Financiamiento|Niveles de gobierno|Gobierno federal,2009|Financiamiento|Niveles de gobierno|Gobierno estatal,2009|Financiamiento|Niveles de gobierno|Gobierno municipal,2009|Financiamiento|Sociedades no financieras,2009|Financiamiento|Total no residentes,2010|Total,2010|Financiamiento|Total de residentes,2010|Financiamiento|Hogares,2010|Financiamiento|ISFL,2010|Financiamiento|Total de gobierno,2010|Financiamiento|Niveles de gobierno|Gobierno federal,2010|Financiamiento|Niveles de gobierno|Gobierno estatal,2010|Financiamiento|Niveles de gobierno|Gobierno municipal,2010|Financiamiento|Sociedades no financieras,2010|Financiamiento|Total no residentes,2011|Total,2011|Financiamiento|Total de residentes,2011|Financiamiento|Hogares,2011|Financiamiento|ISFL,2011|Financiamiento|Total de gobierno,2011|Financiamiento|Niveles de gobierno|Gobierno federal,2011|Financiamiento|Niveles de gobierno|Gobierno estatal,2011|Financiamiento|Niveles de gobierno|Gobierno municipal,2011|Financiamiento|Sociedades no financieras,2011|Financiamiento|Total no residentes,2012|Total,2012|Financiamiento|Total de residentes,2012|Financiamiento|Hogares,2012|Financiamiento|ISFL,2012|Financiamiento|Total de gobierno,2012|Financiamiento|Niveles de gobierno|Gobierno federal,2012|Financiamiento|Niveles de gobierno|Gobierno estatal,2012|Financiamiento|Niveles de gobierno|Gobierno municipal,2012|Financiamiento|Sociedades no financieras,2012|Financiamiento|Total no residentes,2013|Total,2013|Financiamiento|Total de residentes,2013|Financiamiento|Hogares,2013|Financiamiento|ISFL,2013|Financiamiento|Total de gobierno,2013|Financiamiento|Niveles de gobierno|Gobierno federal,2013|Financiamiento|Niveles de gobierno|Gobierno estatal,2013|Financiamiento|Niveles de gobierno|Gobierno municipal,2013|Financiamiento|Sociedades no financieras,2013|Financiamiento|Total no residentes,2014|Total,2014|Financiamiento|Total de residentes,2014|Financiamiento|Hogares,2014|Financiamiento|ISFL,2014|Financiamiento|Total de gobierno,2014|Financiamiento|Niveles de gobierno|Gobierno federal,2014|Financiamiento|Niveles de gobierno|Gobierno estatal,2014|Financiamiento|Niveles de gobierno|Gobierno municipal,2014|Financiamiento|Sociedades no financieras,2014|Financiamiento|Total no residentes,2015|Total,2015|Financiamiento|Total de residentes,2015|Financiamiento|Hogares,2015|Financiamiento|ISFL,2015|Financiamiento|Total de gobierno,2015|Financiamiento|Niveles de gobierno|Gobierno federal,2015|Financiamiento|Niveles de gobierno|Gobierno estatal,2015|Financiamiento|Niveles de gobierno|Gobierno municipal,2015|Financiamiento|Sociedades no financieras,2015|Financiamiento|Total no residentes,2016|Total,2016|Financiamiento|Total de residentes,2016|Financiamiento|Hogares,2016|Financiamiento|ISFL,2016|Financiamiento|Total de gobierno,2016|Financiamiento|Niveles de gobierno|Gobierno federal,2016|Financiamiento|Niveles de gobierno|Gobierno estatal,2016|Financiamiento|Niveles de gobierno|Gobierno municipal,2016|Financiamiento|Sociedades no financieras,2016|Financiamiento|Total no residentes,2017|Total,2017|Financiamiento|Total de residentes,2017|Financiamiento|Hogares,2017|Financiamiento|ISFL,2017|Financiamiento|Total de gobierno,2017|Financiamiento|Niveles de gobierno|Gobierno federal,2017|Financiamiento|Niveles de gobierno|Gobierno estatal,2017|Financiamiento|Niveles de gobierno|Gobierno municipal,2017|Financiamiento|Sociedades no financieras,2017|Financiamiento|Total no residentes,2018|Total<P>,2018|Financiamiento|Total de residentes<P>,2018|Financiamiento|Hogares<P>,2018|Financiamiento|ISFL<P>,2018|Financiamiento|Total de gobierno<P>,2018|Financiamiento|Niveles de gobierno|Gobierno federal<P>,2018|Financiamiento|Niveles de gobierno|Gobierno estatal<P>,2018|Financiamiento|Niveles de gobierno|Gobierno municipal<P>,2018|Financiamiento|Sociedades no financieras<P>,2018|Financiamiento|Total no residentes<P>,2019|Total<P>,2019|Financiamiento|Total de residentes<P>,2019|Financiamiento|Hogares<P>,2019|Financiamiento|ISFL<P>,2019|Financiamiento|Total de gobierno<P>,2019|Financiamiento|Niveles de gobierno|Gobierno federal<P>,2019|Financiamiento|Niveles de gobierno|Gobierno estatal<P>,2019|Financiamiento|Niveles de gobierno|Gobierno municipal<P>,2019|Financiamiento|Sociedades no financieras<P>,2019|Financiamiento|Total no residentes<P>
Millones de pesos a precios de 2013|Total cultura,600831.451,584980.607,475554.623,4320.315,69166.259,50722.65,18443.609,NA,35939.41,15850.844,584172.299,568336.093,464931.838,4057.088,67042.879,48554.126,18488.753,NA,32304.288,15836.206,600612.838,585464.803,479114.529,4378.329,67982.191,49426.481,18555.711,NA,33989.753,15148.035,619089.879,604640.467,491609.945,4375.765,72329.305,52861.251,19468.054,NA,36325.452,14449.412,664939.973,649068.313,536952.5,4599.383,71967.437,52325.577,19641.859,NA,35548.994,15871.66,677247.015,661051.057,554693.783,4619.568,67991.865,48861.057,19130.808,NA,33745.841,16195.958,677688.524,659507.514,555680.006,4511.429,65781.702,45311.758,20469.944,NA,33534.412,18181.01,739455.854,717653.88,608249.908,4623.874,68292.215,46971.214,21321.001,NA,36487.902,21801.974,790799.493,763714.841,652061.998,4746.992,69492.148,47967.64,21524.508,NA,37413.703,27084.652,829136.715,801157.477,692654.282,4771.254,68010.431,46929.65,21080.781,NA,35721.51,27979.238,862739.161,833971.351,716304.128,5181.18,71310.959,49965.567,21345.392,NA,41175.084,28767.81,873504.027,843801.555,730382.46,5174.037,66943.398,45643.975,21299.422,NA,41301.661,29702.472
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios,450934.53,435083.686,379638.183,3963.637,15542.456,15542.456,NA,NA,35939.41,15850.844,442274.991,426438.785,376396.589,3693.988,14043.92,14043.92,NA,NA,32304.288,15836.206,452748.255,437600.22,385997.367,4030.201,13582.899,13582.899,NA,NA,33989.753,15148.035,463284.678,448835.266,393800.421,4028.34,14681.053,14681.053,NA,NA,36325.452,14449.412,506578.937,490707.277,436927.434,4227.342,14003.507,14003.507,NA,NA,35548.994,15871.66,521771.065,505575.107,454227.466,4261.781,13340.019,13340.019,NA,NA,33745.841,16195.958,523490.518,505309.508,455097.636,4150.055,12527.44,12527.44,NA,NA,33534.412,18181.01,579342.194,557540.22,504811.351,4276.434,11964.552,11964.552,NA,NA,36487.902,21801.974,623796.762,596712.11,543342.595,4418.849,11536.963,11536.963,NA,NA,37413.703,27084.652,660647.532,632668.294,580773.09,4445.959,11727.735,11727.735,NA,NA,35721.51,27979.238,685460.653,656692.843,598634.806,4670.248,12212.705,12212.705,NA,NA,41175.084,28767.81,701505.846,671803.374,613629.345,4665.238,12207.13,12207.13,NA,NA,41301.661,29702.472
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,307633.65,291839.044,237898.121,3963.637,15531.462,15531.462,NA,NA,34445.824,15794.606,285207.005,269426.513,220954.945,3693.988,14021.061,14021.061,NA,NA,30756.519,15780.492,297828.489,282735.122,232731.43,4030.201,13530.163,13530.163,NA,NA,32443.328,15093.367,310787.15,296394.227,243057.789,4028.34,14639.651,14639.651,NA,NA,34668.447,14392.923,320713.567,304897.924,252959.374,4227.342,14002.824,14002.824,NA,NA,33708.384,15815.643,322387.089,306248.918,256739.679,4261.781,13333.933,13333.933,NA,NA,31913.525,16138.171,316512.049,298388.949,250193.041,4150.055,12514.819,12514.819,NA,NA,31531.069,18123.1,335855.365,314113.561,263565.886,4276.434,11963.501,11963.501,NA,NA,34307.759,21741.804,339609.471,312587.247,261977.138,4418.849,11536.945,11536.945,NA,NA,34654.315,27022.224,348720.091,320805.949,271070.159,4445.959,11727.725,11727.725,NA,NA,33562.106,27914.142,362446.162,333741.406,278041.568,4670.248,12212.704,12212.704,NA,NA,38816.886,28704.756,357027.974,327384.718,271378.015,4665.238,12207.129,12207.129,NA,NA,39134.336,29643.256
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,181959.946,170707.926,122859.246,3963.637,14867.549,14867.549,NA,NA,29017.494,11252.02,161504.405,150216.893,107598.105,3693.988,13398.422,13398.422,NA,NA,25526.378,11287.512,168328.887,157476.91,113454.572,4030.201,12911.859,12911.859,NA,NA,27080.278,10851.977,176315.124,165972.565,118864.547,4028.34,13992.109,13992.109,NA,NA,29087.569,10342.559,182410.158,170990.663,125704.081,4227.342,13194.317,13194.317,NA,NA,27864.923,11419.495,180281.828,168650.523,126420.374,4261.781,12592.298,12592.298,NA,NA,25376.07,11631.305,173278.691,160221.992,120008.475,4150.055,11544.229,11544.229,NA,NA,24519.233,13056.699,183343.269,167711.15,125534.257,4276.434,10948.473,10948.473,NA,NA,26951.986,15632.119,185764.17,166117.143,124409.152,4418.849,10769.896,10769.896,NA,NA,26519.246,19647.027,187869.969,167570.038,126275.446,4445.959,10914.106,10914.106,NA,NA,25934.527,20299.931,199422.649,178433.186,130885.111,4670.248,11445.311,11445.311,NA,NA,31432.516,20989.463,199613.275,177940.463,130690.306,4665.238,11757.319,11757.319,NA,NA,30827.6,21672.812
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,128215.882,117997.911,86136.064,3963.637,7269.735,7269.735,NA,NA,20628.475,10217.971,120670.391,110416.327,80269.56,3693.988,6798.044,6798.044,NA,NA,19654.735,10254.064,130005.979,120101.581,87541.729,4030.201,7459.437,7459.437,NA,NA,21070.214,9904.398,129634.054,120189.249,87484.34,4028.34,7481.815,7481.815,NA,NA,21194.754,9444.805,136037.598,125585.407,91476.208,4227.342,8217.304,8217.304,NA,NA,21664.553,10452.191,136427.357,125749.433,92412.098,4261.781,8164.262,8164.262,NA,NA,20911.292,10677.924,134513.935,122520.733,90069.633,4150.055,7800.245,7800.245,NA,NA,20500.8,11993.202,141013.63,126679.851,92868.549,4276.434,7960.311,7960.311,NA,NA,21574.557,14333.779,148356.819,130296.927,95330.656,4418.849,8921.777,8921.777,NA,NA,21625.645,18059.892,149225.588,130557.554,95859.318,4445.959,9044.937,9044.937,NA,NA,21207.34,18668.034,156492.365,137139.644,100242.969,4670.248,9993.928,9993.928,NA,NA,22232.499,19352.721,156438.701,136456.867,100204.33,4665.238,9980.571,9980.571,NA,NA,21606.728,19981.834
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,572.375,440.048,95.32600000000001,NA,8.658999999999999,8.658999999999999,NA,NA,336.063,132.327,651.097,516.809,99.233,NA,8.036000000000001,8.036000000000001,NA,NA,409.54,134.288,1291.936,1169.071,190.10999999999999,NA,15.263,15.263,NA,NA,963.698,122.865,2509.116,2389.181,477.77799999999996,NA,15.277000000000001,15.277000000000001,NA,NA,1896.126,119.935,2485.06,2365.313,495.442,NA,43.588,43.588,NA,NA,1826.283,119.747,1971.366,1883.534,461.17699999999996,NA,30.342,30.342,NA,NA,1392.015,87.832,1223.25,1151.897,244.974,NA,11.748999999999999,11.748999999999999,NA,NA,895.174,71.353,1128.631,1057.569,155.677,NA,4.702,4.702,NA,NA,897.1899999999999,71.062,1358.824,1287.935,209.14999999999998,NA,0.025,0.025,NA,NA,1078.76,70.889,1359.034,1296.191,222.5,NA,0.013,0.013,NA,NA,1073.678,62.843,6175.365,6102.403,989.0989999999999,NA,NA,NA,NA,NA,5113.304,72.962,5873.683,5812.681,743.621,NA,NA,NA,NA,NA,5069.0599999999995,61.002
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,24305.478,24206.908,15310.871,NA,4203.086,4203.086,NA,NA,4692.951,98.57,15258.963,15161.465,9075.754,NA,2840.5649999999996,2840.5649999999996,NA,NA,3245.146,97.498,16498.281,16408.377,10866.268,NA,2887.982,2887.982,NA,NA,2654.1270000000004,89.904,22071.97,21986.921,15094.551,NA,3221.552,3221.552,NA,NA,3670.8179999999998,85.049,20522.983,20430.66,16511.499,NA,2154.1330000000003,2154.1330000000003,NA,NA,1765.028,92.323,18140.058,18047.668,15359.073999999999,NA,1678.0170000000003,1678.0170000000003,NA,NA,1010.577,92.39,13981.039,13876.794,11776.797,NA,1216.321,1216.321,NA,NA,883.6759999999999,104.245,16197.362,16067.966,14293.238999999998,NA,960.421,960.421,NA,NA,814.306,129.396,13422.904,13260.233,12497.599,NA,43.294000000000004,43.294000000000004,NA,NA,719.34,162.671,13854.692,13687.531,13156.204000000002,NA,18.483,18.483,NA,NA,512.844,167.161,14549.991,14382.729,13913.026000000002,NA,0.777,0.777,NA,NA,468.926,167.262,15480.786,15297.224,14929.965,NA,0.7959999999999999,0.7959999999999999,NA,NA,366.463,183.562
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",4023.662,4023.662,1127.528,NA,NA,NA,NA,NA,2896.134,NA,2719.77,2719.77,970.673,NA,NA,NA,NA,NA,1749.097,NA,3372.092,3372.092,1352.745,NA,NA,NA,NA,NA,2019.347,NA,3261.488,3261.488,1355.941,NA,NA,NA,NA,NA,1905.547,NA,3231.215,3231.215,1236.306,NA,NA,NA,NA,NA,1994.909,NA,4108.313,4108.313,2622.783,NA,NA,NA,NA,NA,1485.53,NA,4708.75,4708.75,2882.914,NA,NA,NA,NA,NA,1825.836,NA,6573.194,6573.194,3421.049,NA,NA,NA,NA,NA,3152.145,NA,5382.252,5382.252,2682.963,NA,NA,NA,NA,NA,2699.289,NA,5451.659,5451.659,2681.749,NA,NA,NA,NA,NA,2769.91,NA,6020.36,6020.36,2787.769,NA,NA,NA,NA,NA,3232.591,NA,6323.926,6323.926,2980.364,NA,NA,NA,NA,NA,3343.562,NA
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,3263.431,3263.431,2265.862,NA,533.705,533.705,NA,NA,463.864,NA,3109.428,3109.428,2301.182,NA,340.388,340.388,NA,NA,467.858,NA,2601.118,2601.118,2102.34,NA,125.889,125.889,NA,NA,372.889,NA,2796.23,2796.23,2196.438,NA,179.639,179.639,NA,NA,420.153,NA,3513.527,3513.527,2508.999,NA,390.386,390.386,NA,NA,614.142,NA,3275.552,3275.552,2531.472,NA,167.438,167.438,NA,NA,576.642,NA,3042.167,3042.167,2619.891,NA,8.533,8.533,NA,NA,413.743,NA,3484.011,3484.011,2965.959,NA,4.269,4.269,NA,NA,513.783,NA,3184.45,3184.45,2788.152,NA,0.087,0.087,NA,NA,396.211,NA,3174.876,3174.876,2804.078,NA,0.044,0.044,NA,NA,370.754,NA,3588.185,3588.185,3202.99,NA,NA,NA,NA,NA,385.195,NA,3608.647,3608.647,3166.86,NA,NA,NA,NA,NA,441.787,NA
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",21397.144,20593.992,17741.621,NA,2852.364,2852.364,NA,NA,0.007,803.1519999999999,18918.828,18117.166,14705.775,NA,3411.389,3411.389,NA,NA,0.002,801.6619999999999,14373.652,13638.842,11215.551,NA,2423.288,2423.288,NA,NA,0.003,734.81,15849.052,15156.282,12062.285,NA,3093.826,3093.826,NA,NA,0.171,692.77,16409.245,15654.011,13265.097,NA,2388.906,2388.906,NA,NA,0.008,755.234,16164.85,15391.691,12839.438,NA,2552.239,2552.239,NA,NA,0.014,773.159,15620.29,14732.391,12225.006,NA,2507.381,2507.381,NA,NA,0.004,887.899,14746.659,13648.777,11630.002,NA,2018.77,2018.77,NA,NA,0.005,1097.8819999999998,13859.401,12505.826,10701.112,NA,1804.713,1804.713,NA,NA,0.001,1353.575,14599.416,13197.523,11346.893,NA,1850.629,1850.629,NA,NA,0.001,1401.893,12388.083,10991.565,9540.958,NA,1450.606,1450.606,NA,NA,0.001,1396.518,11688.62,10242.206,8466.254,NA,1775.952,1775.952,NA,NA,NA,1446.414
