Descriptores,2008|Total,2008|Usuario/Beneficiario|Total de residentes,2008|Usuario/Beneficiario|Hogares,2008|Usuario/Beneficiario|ISFL,2008|Usuario/Beneficiario|Total de gobierno,2008|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2008|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2008|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2008|Usuario/Beneficiario|Sociedades no financieras,2008|Usuario/Beneficiario|Total no residentes,2009|Total,2009|Usuario/Beneficiario|Total de residentes,2009|Usuario/Beneficiario|Hogares,2009|Usuario/Beneficiario|ISFL,2009|Usuario/Beneficiario|Total de gobierno,2009|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2009|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2009|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2009|Usuario/Beneficiario|Sociedades no financieras,2009|Usuario/Beneficiario|Total no residentes,2010|Total,2010|Usuario/Beneficiario|Total de residentes,2010|Usuario/Beneficiario|Hogares,2010|Usuario/Beneficiario|ISFL,2010|Usuario/Beneficiario|Total de gobierno,2010|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2010|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2010|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2010|Usuario/Beneficiario|Sociedades no financieras,2010|Usuario/Beneficiario|Total no residentes,2011|Total,2011|Usuario/Beneficiario|Total de residentes,2011|Usuario/Beneficiario|Hogares,2011|Usuario/Beneficiario|ISFL,2011|Usuario/Beneficiario|Total de gobierno,2011|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2011|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2011|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2011|Usuario/Beneficiario|Sociedades no financieras,2011|Usuario/Beneficiario|Total no residentes,2012|Total,2012|Usuario/Beneficiario|Total de residentes,2012|Usuario/Beneficiario|Hogares,2012|Usuario/Beneficiario|ISFL,2012|Usuario/Beneficiario|Total de gobierno,2012|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2012|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2012|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2012|Usuario/Beneficiario|Sociedades no financieras,2012|Usuario/Beneficiario|Total no residentes,2013|Total,2013|Usuario/Beneficiario|Total de residentes,2013|Usuario/Beneficiario|Hogares,2013|Usuario/Beneficiario|ISFL,2013|Usuario/Beneficiario|Total de gobierno,2013|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2013|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2013|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2013|Usuario/Beneficiario|Sociedades no financieras,2013|Usuario/Beneficiario|Total no residentes,2014|Total,2014|Usuario/Beneficiario|Total de residentes,2014|Usuario/Beneficiario|Hogares,2014|Usuario/Beneficiario|ISFL,2014|Usuario/Beneficiario|Total de gobierno,2014|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2014|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2014|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2014|Usuario/Beneficiario|Sociedades no financieras,2014|Usuario/Beneficiario|Total no residentes,2015|Total,2015|Usuario/Beneficiario|Total de residentes,2015|Usuario/Beneficiario|Hogares,2015|Usuario/Beneficiario|ISFL,2015|Usuario/Beneficiario|Total de gobierno,2015|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2015|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2015|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2015|Usuario/Beneficiario|Sociedades no financieras,2015|Usuario/Beneficiario|Total no residentes,2016|Total,2016|Usuario/Beneficiario|Total de residentes,2016|Usuario/Beneficiario|Hogares,2016|Usuario/Beneficiario|ISFL,2016|Usuario/Beneficiario|Total de gobierno,2016|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2016|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2016|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2016|Usuario/Beneficiario|Sociedades no financieras,2016|Usuario/Beneficiario|Total no residentes,2017|Total,2017|Usuario/Beneficiario|Total de residentes,2017|Usuario/Beneficiario|Hogares,2017|Usuario/Beneficiario|ISFL,2017|Usuario/Beneficiario|Total de gobierno,2017|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2017|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2017|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2017|Usuario/Beneficiario|Sociedades no financieras,2017|Usuario/Beneficiario|Total no residentes,2018|Total<P>,2018|Usuario/Beneficiario|Total de residentes<P>,2018|Usuario/Beneficiario|Hogares<P>,2018|Usuario/Beneficiario|ISFL<P>,2018|Usuario/Beneficiario|Total de gobierno<P>,2018|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal<P>,2018|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal<P>,2018|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal<P>,2018|Usuario/Beneficiario|Sociedades no financieras<P>,2018|Usuario/Beneficiario|Total no residentes<P>,2019|Total<P>,2019|Usuario/Beneficiario|Total de residentes<P>,2019|Usuario/Beneficiario|Hogares<P>,2019|Usuario/Beneficiario|ISFL<P>,2019|Usuario/Beneficiario|Total de gobierno<P>,2019|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal<P>,2019|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal<P>,2019|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal<P>,2019|Usuario/Beneficiario|Sociedades no financieras<P>,2019|Usuario/Beneficiario|Total no residentes<P>
Millones de pesos a precios corrientes|Total cultura,532004.649,519419.876,476242.038,NA,12290.944,12290.944,NA,NA,30886.895,12584.773,550863.733,537611.81,492677.752,NA,15211.431,15211.431,NA,NA,29722.628,13251.923,582568.593,569236.64,523344.59,NA,15437.583,15437.583,NA,NA,30454.467,13331.953,614179.134,600756.041,549479.38,NA,17725.84,17725.84,NA,NA,33550.821,13423.093,658731.615,643499.31,588575.207,NA,20517.418,20517.418,NA,NA,34406.685,15232.305,677247.011,661051.054,607469.518,NA,19835.697,19835.697,NA,NA,33745.843,16195.957,692348.768,673377.468,617449.141,NA,21552.993,21552.993,NA,NA,34375.333,18971.3,734472.504,710961.606,647131.29,NA,23485.37,23485.37,NA,NA,40344.947,23510.898,759178.808,728925.677,658468.341,NA,26783.186,26783.186,NA,NA,43674.153,30253.131,811886.791,778633.453,706855.001,NA,26411.985,26411.985,NA,NA,45366.469,33253.338,890956.412,855125.736,775696.625,NA,27003.631,27003.631,NA,NA,52425.481,35830.676,909863.982,871285.303,791407.517,NA,25733.941,25733.941,NA,NA,54143.845,38578.679
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas,456654.055,444069.282,400891.444,NA,12290.944,12290.944,NA,NA,30886.895,12584.773,477661.045,464409.122,419475.064,NA,15211.431,15211.431,NA,NA,29722.628,13251.923,501480.331,488148.378,442256.328,NA,15437.583,15437.583,NA,NA,30454.467,13331.953,523806.9,510383.807,459107.146,NA,17725.84,17725.84,NA,NA,33550.821,13423.093,562517.404,547285.099,492360.996,NA,20517.418,20517.418,NA,NA,34406.685,15232.305,576780.694,560584.737,507003.201,NA,19835.697,19835.697,NA,NA,33745.843,16195.957,587779.424,568808.124,512879.797,NA,21552.993,21552.993,NA,NA,34375.333,18971.3,621388.612,597877.714,534047.398,NA,23485.37,23485.37,NA,NA,40344.947,23510.898,632630.499,602377.368,531920.032,NA,26783.186,26783.186,NA,NA,43674.153,30253.131,673100.634,639847.296,568068.844,NA,26411.985,26411.985,NA,NA,45366.469,33253.338,739503.514,703672.838,624243.727,NA,27003.631,27003.631,NA,NA,52425.481,35830.676,752260.297,713681.618,633803.832,NA,25733.941,25733.941,NA,NA,54143.845,38578.679
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,7127.59,6957.096,6093.87,NA,435.578,435.578,NA,NA,427.648,170.494,7222.316,7027.867,6133.796,NA,578.403,578.403,NA,NA,315.668,194.449,7948.003,7763.765,6655.252,NA,644.985,644.985,NA,NA,463.528,184.238,9261.125,9081.797,7124.823,NA,710.768,710.768,NA,NA,1246.206,179.328,9199.055,9004.424,7294.596,NA,853.392,853.392,NA,NA,856.436,194.631,8216.807,8045.399,6689.203,NA,714.904,714.904,NA,NA,641.293,171.408,7699.605,7531.261,6515.76,NA,465.117,465.117,NA,NA,550.384,168.344,8714.708,8522.086,7182.836,NA,573.344,573.344,NA,NA,765.906,192.622,11232.368,10994.474,8529.767,NA,721.294,721.294,NA,NA,1743.413,237.894,10095.138,9842.595,8091.442,NA,645.537,645.537,NA,NA,1105.616,252.543,17278.808,17006.939,11281.146,NA,882.24,882.24,NA,NA,4843.553,271.869,16473.51,16195.653,10973.917,NA,885.655,885.655,NA,NA,4336.081,277.857
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,181.224,165.814,152.398,NA,NA,NA,NA,NA,13.416,15.41,187.957,171.796,166.094,NA,NA,NA,NA,NA,5.702,16.161,225.4,209.829,197.853,NA,NA,NA,NA,NA,11.976,15.571,223.394,207.363,195.993,NA,NA,NA,NA,NA,11.37,16.031,199.415,182.3,171.472,NA,NA,NA,NA,NA,10.828,17.115,192.553,174.676,164.753,NA,NA,NA,NA,NA,9.923,17.877,204.202,184.989,177.221,NA,NA,NA,NA,NA,7.768,19.213,294.145,271.58,257.547,NA,NA,NA,NA,NA,14.033,22.565,368.331,343.296,322.761,NA,NA,NA,NA,NA,20.535,25.035,360.685,331.725,312.899,NA,NA,NA,NA,NA,18.826,28.96,584.567,555.71,533.583,NA,NA,NA,NA,NA,22.127,28.857,617.04,589.541,571.24,NA,NA,NA,NA,NA,18.301,27.499
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,4725.28,4570.695,4165.874,NA,NA,NA,NA,NA,404.821,154.585,4603.744,4426.051,4121.658,NA,NA,NA,NA,NA,304.393,177.693,4988.585,4820.474,4369.9,NA,NA,NA,NA,NA,450.574,168.111,6063.789,5900.982,4676.414,NA,NA,NA,NA,NA,1224.568,162.807,5707.458,5530.462,4695.91,NA,NA,NA,NA,NA,834.552,176.996,5262.51,5109.601,4483.65,NA,NA,NA,NA,NA,625.951,152.909,5274.13,5125.795,4627.654,NA,NA,NA,NA,NA,498.141,148.335,5612.098,5443.09,4790.207,NA,NA,NA,NA,NA,652.883,169.008,6338.055,6126.623,5184.773,NA,NA,NA,NA,NA,941.85,211.432,6573.076,6351.105,5338.563,NA,NA,NA,NA,NA,1012.542,221.971,12155.697,11914.263,7457.041,NA,NA,NA,NA,NA,4457.222,241.434,11344.436,11095.925,7022.22,NA,NA,NA,NA,NA,4073.705,248.511
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,825.902,825.403,815.992,NA,NA,NA,NA,NA,9.411,0.499,807.846,807.251,801.678,NA,NA,NA,NA,NA,5.573,0.595,928.479,927.923,926.945,NA,NA,NA,NA,NA,0.978,0.556,1053.148,1052.658,1042.39,NA,NA,NA,NA,NA,10.268,0.49,1064.938,1064.418,1053.362,NA,NA,NA,NA,NA,11.056,0.52,1028.159,1027.537,1022.118,NA,NA,NA,NA,NA,5.419,0.622,1179.309,1178.513,1134.038,NA,NA,NA,NA,NA,44.475,0.796,1538.943,1537.894,1438.904,NA,NA,NA,NA,NA,98.99,1.049,3052.351,3050.924,2269.896,NA,NA,NA,NA,NA,781.028,1.427,1815.599,1813.987,1739.739,NA,NA,NA,NA,NA,74.248,1.612,2541.613,2540.035,2175.831,NA,NA,NA,NA,NA,364.204,1.578,2532.996,2531.149,2287.074,NA,NA,NA,NA,NA,244.075,1.847
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,1395.184,1395.184,959.6063511298303,NA,435.5781242458645,435.5781242458645,NA,NA,NA,NA,1622.769,1622.769,1044.3655090709321,NA,578.4033296228707,578.4033296228707,NA,NA,NA,NA,1805.539,1805.539,1160.5535039555168,NA,644.9850482874092,644.9850482874092,NA,NA,NA,NA,1920.794,1920.794,1210.0259079026641,NA,710.7677480666995,710.7677480666995,NA,NA,NA,NA,2227.244,2227.244,1373.8521485815884,NA,853.391612110807,853.391612110807,NA,NA,NA,NA,1733.585,1733.585,1018.6818114367164,NA,714.9035425200767,714.9035425200767,NA,NA,NA,NA,1041.964,1041.964,576.8467175645899,NA,465.11736998510423,465.11736998510423,NA,NA,NA,NA,1269.522,1269.522,696.1784178647912,NA,573.3435047911811,573.3435047911811,NA,NA,NA,NA,1473.631,1473.631,752.3369744576722,NA,721.2935943608414,721.2935943608414,NA,NA,NA,NA,1345.778,1345.778,700.240897744842,NA,645.5372197649799,645.5372197649799,NA,NA,NA,NA,1996.931,1996.931,1114.6908610315832,NA,882.2401869536125,882.2401869536125,NA,NA,NA,NA,1979.038,1979.038,1093.3826769244984,NA,885.6550037479326,885.6550037479326,NA,NA,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,23730.75,21215.943,20548.776,NA,666.451,666.451,NA,NA,0.716,2514.807,23162.981,20565.169,19806.894,NA,757.849,757.849,NA,NA,0.425,2597.812,25402.369,22828.051,21954.204,NA,873.343,873.343,NA,NA,0.504,2574.318,26871.625,24319.045,23353.841,NA,963.807,963.807,NA,NA,1.397,2552.58,29061.611,26189.979,25001.844,NA,1146.488,1146.488,NA,NA,41.646,2871.632,31212.988,28142.353,26918.348,NA,1223.44,1223.44,NA,NA,0.566,3070.635,32511.354,28876.074,27613.19,NA,1252.954,1252.954,NA,NA,9.93,3635.28,34408.924,29876.151,28551.41,NA,1323.891,1323.891,NA,NA,0.85,4532.773,38641.738,32915.384,31368.874,NA,1545.78,1545.78,NA,NA,0.731,5726.354,41713.174,35395.237,33935.81,NA,1458.666,1458.666,NA,NA,0.761,6317.937,44409.918,37674.652,36338.034,NA,1335.884,1335.884,NA,NA,0.735,6735.266,46758.566,39504.794,38107.419,NA,1396.682,1396.682,NA,NA,0.693,7253.772
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,14.621,14.621,14.621,NA,NA,NA,NA,NA,NA,NA,15.529,15.529,15.529,NA,NA,NA,NA,NA,NA,NA,16.503,16.503,16.503,NA,NA,NA,NA,NA,NA,NA,17.033,17.033,17.033,NA,NA,NA,NA,NA,NA,NA,18.054,18.054,18.054,NA,NA,NA,NA,NA,NA,NA,18.981,18.981,18.981,NA,NA,NA,NA,NA,NA,NA,19.684,19.684,19.684,NA,NA,NA,NA,NA,NA,NA,20.424,20.424,20.424,NA,NA,NA,NA,NA,NA,NA,21.449,21.449,21.449,NA,NA,NA,NA,NA,NA,NA,22.531,22.531,22.531,NA,NA,NA,NA,NA,NA,NA,23.594,23.594,23.594,NA,NA,NA,NA,NA,NA,NA,25.055,25.055,25.055,NA,NA,NA,NA,NA,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,13906.558,11530.526,11529.692,NA,0.118,0.118,NA,NA,0.716,2376.032,13236.26,10783.373,10782.791,NA,0.157,0.157,NA,NA,0.425,2452.887,14568.436,12137.335,12136.693,NA,0.138,0.138,NA,NA,0.504,2431.101,15852.346,13440.421,13438.845,NA,0.179,0.179,NA,NA,1.397,2411.925,17085.115,14372.343,14330.555,NA,0.142,0.142,NA,NA,41.646,2712.772,18738.346,15837.14,15836.418,NA,0.156,0.156,NA,NA,0.566,2901.206,19778.992,16343.429,16333.344,NA,0.155,0.155,NA,NA,9.93,3435.563,20561.634,16280.609,16279.613,NA,0.146,0.146,NA,NA,0.85,4281.025,22970.418,17563.716,17562.822,NA,0.163,0.163,NA,NA,0.731,5406.702,25409.854,19443.899,19442.976,NA,0.162,0.162,NA,NA,0.761,5965.955,26768.549,20406.665,20405.806,NA,0.124,0.124,NA,NA,0.735,6361.884,27716.647,20863.673,20862.832,NA,0.148,0.148,NA,NA,0.693,6852.974
