Descriptores,2008|Total,2008|Usuario/Beneficiario|Total de residentes,2008|Usuario/Beneficiario|Hogares,2008|Usuario/Beneficiario|ISFL,2008|Usuario/Beneficiario|Total de gobierno,2008|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2008|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2008|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2008|Usuario/Beneficiario|Sociedades no financieras,2008|Usuario/Beneficiario|Total no residentes,2009|Total,2009|Usuario/Beneficiario|Total de residentes,2009|Usuario/Beneficiario|Hogares,2009|Usuario/Beneficiario|ISFL,2009|Usuario/Beneficiario|Total de gobierno,2009|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2009|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2009|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2009|Usuario/Beneficiario|Sociedades no financieras,2009|Usuario/Beneficiario|Total no residentes,2010|Total,2010|Usuario/Beneficiario|Total de residentes,2010|Usuario/Beneficiario|Hogares,2010|Usuario/Beneficiario|ISFL,2010|Usuario/Beneficiario|Total de gobierno,2010|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2010|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2010|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2010|Usuario/Beneficiario|Sociedades no financieras,2010|Usuario/Beneficiario|Total no residentes,2011|Total,2011|Usuario/Beneficiario|Total de residentes,2011|Usuario/Beneficiario|Hogares,2011|Usuario/Beneficiario|ISFL,2011|Usuario/Beneficiario|Total de gobierno,2011|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2011|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2011|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2011|Usuario/Beneficiario|Sociedades no financieras,2011|Usuario/Beneficiario|Total no residentes,2012|Total,2012|Usuario/Beneficiario|Total de residentes,2012|Usuario/Beneficiario|Hogares,2012|Usuario/Beneficiario|ISFL,2012|Usuario/Beneficiario|Total de gobierno,2012|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2012|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2012|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2012|Usuario/Beneficiario|Sociedades no financieras,2012|Usuario/Beneficiario|Total no residentes,2013|Total,2013|Usuario/Beneficiario|Total de residentes,2013|Usuario/Beneficiario|Hogares,2013|Usuario/Beneficiario|ISFL,2013|Usuario/Beneficiario|Total de gobierno,2013|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2013|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2013|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2013|Usuario/Beneficiario|Sociedades no financieras,2013|Usuario/Beneficiario|Total no residentes,2014|Total,2014|Usuario/Beneficiario|Total de residentes,2014|Usuario/Beneficiario|Hogares,2014|Usuario/Beneficiario|ISFL,2014|Usuario/Beneficiario|Total de gobierno,2014|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2014|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2014|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2014|Usuario/Beneficiario|Sociedades no financieras,2014|Usuario/Beneficiario|Total no residentes,2015|Total,2015|Usuario/Beneficiario|Total de residentes,2015|Usuario/Beneficiario|Hogares,2015|Usuario/Beneficiario|ISFL,2015|Usuario/Beneficiario|Total de gobierno,2015|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2015|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2015|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2015|Usuario/Beneficiario|Sociedades no financieras,2015|Usuario/Beneficiario|Total no residentes,2016|Total,2016|Usuario/Beneficiario|Total de residentes,2016|Usuario/Beneficiario|Hogares,2016|Usuario/Beneficiario|ISFL,2016|Usuario/Beneficiario|Total de gobierno,2016|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2016|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2016|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2016|Usuario/Beneficiario|Sociedades no financieras,2016|Usuario/Beneficiario|Total no residentes,2017|Total,2017|Usuario/Beneficiario|Total de residentes,2017|Usuario/Beneficiario|Hogares,2017|Usuario/Beneficiario|ISFL,2017|Usuario/Beneficiario|Total de gobierno,2017|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2017|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2017|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2017|Usuario/Beneficiario|Sociedades no financieras,2017|Usuario/Beneficiario|Total no residentes,2018|Total<P>,2018|Usuario/Beneficiario|Total de residentes<P>,2018|Usuario/Beneficiario|Hogares<P>,2018|Usuario/Beneficiario|ISFL<P>,2018|Usuario/Beneficiario|Total de gobierno<P>,2018|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal<P>,2018|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal<P>,2018|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal<P>,2018|Usuario/Beneficiario|Sociedades no financieras<P>,2018|Usuario/Beneficiario|Total no residentes<P>,2019|Total<P>,2019|Usuario/Beneficiario|Total de residentes<P>,2019|Usuario/Beneficiario|Hogares<P>,2019|Usuario/Beneficiario|ISFL<P>,2019|Usuario/Beneficiario|Total de gobierno<P>,2019|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal<P>,2019|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal<P>,2019|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal<P>,2019|Usuario/Beneficiario|Sociedades no financieras<P>,2019|Usuario/Beneficiario|Total no residentes<P>
Millones de pesos a precios de 2013|Total cultura,600831.449,584980.607,533501.428,NA,15539.773,15539.773,NA,NA,35939.407,15850.842,584172.301,568336.093,517631.262,NA,18400.54,18400.54,NA,NA,32304.289,15836.208,600612.841,585464.807,533668.93,NA,17806.124,17806.124,NA,NA,33989.75,15148.034,619089.886,604640.473,548456.684,NA,19858.336,19858.336,NA,NA,36325.453,14449.413,664939.975,649068.313,593962.241,NA,19557.077,19557.077,NA,NA,35548.994,15871.662,677247.011,661051.054,607469.518,NA,19835.697,19835.697,NA,NA,33745.843,16195.957,677688.56,659507.552,605754.805,NA,20218.336,20218.336,NA,NA,33534.411,18181.008,739455.881,717653.906,659223.843,NA,21942.161,21942.161,NA,NA,36487.903,21801.975,790799.493,763714.841,702068.756,NA,24232.382,24232.382,NA,NA,37413.7,27084.652,829136.718,801157.485,742311.462,NA,23124.51,23124.51,NA,NA,35721.512,27979.233,862739.155,833971.341,770391.605,NA,22404.653,22404.653,NA,NA,41175.082,28767.814,873504.04,843801.568,781795.152,NA,20704.746,20704.746,NA,NA,41301.669,29702.472
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas,504915.009,489064.167,437584.988,NA,15539.773,15539.773,NA,NA,35939.407,15850.842,495637.052,479800.844,429096.013,NA,18400.54,18400.54,NA,NA,32304.289,15836.208,507495.679,492347.645,440551.768,NA,17806.124,17806.124,NA,NA,33989.75,15148.034,521280.362,506830.949,450647.16,NA,19858.336,19858.336,NA,NA,36325.453,14449.413,564914.909,549043.247,493937.175,NA,19557.077,19557.077,NA,NA,35548.994,15871.662,576780.694,560584.737,507003.201,NA,19835.697,19835.697,NA,NA,33745.843,16195.957,577106.19,558925.182,505172.435,NA,20218.336,20218.336,NA,NA,33534.411,18181.008,636017.324,614215.349,555785.286,NA,21942.161,21942.161,NA,NA,36487.903,21801.975,682080.09,654995.438,593349.353,NA,24232.382,24232.382,NA,NA,37413.7,27084.652,717255.526,689276.293,630430.27,NA,23124.51,23124.51,NA,NA,35721.512,27979.233,745069.833,716302.019,652722.283,NA,22404.653,22404.653,NA,NA,41175.082,28767.814,756750.925,727048.453,665042.037,NA,20704.746,20704.746,NA,NA,41301.669,29702.472
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,8409.926,8192.478,7435.71,NA,534.945,534.945,NA,NA,221.823,217.448,7825.217,7606.58,6771.809,NA,647.328,647.328,NA,NA,187.443,218.637,8333.797,8131.602,7059.08,NA,642.363,642.363,NA,NA,430.158,202.195,9852.548,9658.444,7478.237,NA,715.235,715.235,NA,NA,1464.972,194.104,8936.304,8737.336,7224.592,NA,714.105,714.105,NA,NA,798.639,198.968,8216.807,8045.399,6689.203,NA,714.904,714.904,NA,NA,641.293,171.408,7552.259,7387.524,6335.081,NA,432.578,432.578,NA,NA,619.865,164.735,8196.995,8012.394,6718.383,NA,536.959,536.959,NA,NA,757.052,184.601,9769.081,9560.269,7495.098,NA,659.064,659.064,NA,NA,1406.107,208.812,8767.81,8560.483,6991.167,NA,571.775,571.775,NA,NA,997.541,207.327,15305.617,15085.314,9172.908,NA,741.127,741.127,NA,NA,5171.279,220.303,15084.026,14871.91,9016.075,NA,725.7,725.7,NA,NA,5130.135,212.116
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,290.02,271.381,256.624,NA,NA,NA,NA,NA,14.757,18.639,273.454,254.816,249.139,NA,NA,NA,NA,NA,5.677,18.638,263.239,246.085,234.427,NA,NA,NA,NA,NA,11.658,17.154,258.435,241.34,229.528,NA,NA,NA,NA,NA,11.812,17.095,222.053,204.437,194.196,NA,NA,NA,NA,NA,10.241,17.616,192.553,174.676,164.753,NA,NA,NA,NA,NA,9.923,17.877,216.444,197.826,189.89,NA,NA,NA,NA,NA,7.936,18.618,299.286,278.029,266.448,NA,NA,NA,NA,NA,11.581,21.257,329.95,306.957,292.048,NA,NA,NA,NA,NA,14.909,22.993,325.125,299.592,286.097,NA,NA,NA,NA,NA,13.495,25.533,543.906,519.405,503.013,NA,NA,NA,NA,NA,16.392,24.501,618.644,596.229,582.811,NA,NA,NA,NA,NA,13.418,22.415
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,5319.448,5121.426,4921.174,NA,NA,NA,NA,NA,200.252,198.022,4869.22,4670.035,4491.239,NA,NA,NA,NA,NA,178.796,199.185,5271.961,5087.659,4662.844,NA,NA,NA,NA,NA,424.815,184.302,6545.097,6368.729,4923.021,NA,NA,NA,NA,NA,1445.708,176.368,5704.05,5523.34,4743.089,NA,NA,NA,NA,NA,780.251,180.71,5262.51,5109.601,4483.65,NA,NA,NA,NA,NA,625.951,152.909,5203.521,5058.114,4491.296,NA,NA,NA,NA,NA,566.818,145.407,5360.482,5198.13,4526.393,NA,NA,NA,NA,NA,671.737,162.352,5814.226,5629.634,4743.705,NA,NA,NA,NA,NA,885.929,184.592,5816.882,5636.453,4696.359,NA,NA,NA,NA,NA,940.094,180.429,11121.483,10926.95,6008.223,NA,NA,NA,NA,NA,4918.727,194.533,10879.782,10691.491,5722.223,NA,NA,NA,NA,NA,4969.268,188.291
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,1073.925,1073.138,1066.324,NA,NA,NA,NA,NA,6.814,0.787,1001.323,1000.509,997.539,NA,NA,NA,NA,NA,2.97,0.814,1024.6,1023.861,1030.176,NA,NA,NA,NA,NA,-6.315,0.739,1157.953,1157.312,1149.86,NA,NA,NA,NA,NA,7.452,0.641,1112.87,1112.228,1104.081,NA,NA,NA,NA,NA,8.147,0.642,1028.159,1027.537,1022.118,NA,NA,NA,NA,NA,5.419,0.622,1153.374,1152.664,1107.553,NA,NA,NA,NA,NA,45.111,0.71,1363.505,1362.513,1288.779,NA,NA,NA,NA,NA,73.734,0.992,2297.491,2296.264,1790.995,NA,NA,NA,NA,NA,505.269,1.227,1468.897,1467.532,1423.58,NA,NA,NA,NA,NA,43.952,1.365,1997.678,1996.409,1760.249,NA,NA,NA,NA,NA,236.16,1.269,2001.11,1999.7,1852.251,NA,NA,NA,NA,NA,147.449,1.41
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,1726.533,1726.533,1191.5876193908957,NA,534.945145493244,534.945145493244,NA,NA,NA,NA,1681.22,1681.22,1033.8917564896965,NA,647.328353993416,647.328353993416,NA,NA,NA,NA,1773.997,1773.997,1131.6334942367337,NA,642.3631280195495,642.3631280195495,NA,NA,NA,NA,1891.063,1891.063,1175.827838337629,NA,715.2350257610763,715.2350257610763,NA,NA,NA,NA,1897.331,1897.331,1183.225822924855,NA,714.1047125760564,714.1047125760564,NA,NA,NA,NA,1733.585,1733.585,1018.6818114367164,NA,714.9035425200767,714.9035425200767,NA,NA,NA,NA,978.92,978.92,546.3417533777144,NA,432.57814572436905,432.57814572436905,NA,NA,NA,NA,1173.722,1173.722,636.7629439705054,NA,536.9586131153922,536.9586131153922,NA,NA,NA,NA,1327.414,1327.414,668.3499207727917,NA,659.0641603744535,659.0641603744535,NA,NA,NA,NA,1156.906,1156.906,585.1309662683791,NA,571.7745491645635,571.7745491645635,NA,NA,NA,NA,1642.55,1642.55,901.4234410412788,NA,741.1265739055094,741.1265739055094,NA,NA,NA,NA,1584.49,1584.49,858.7903109929257,NA,725.6995063681534,725.6995063681534,NA,NA,NA,NA
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,29242.16,26153.363,25249.185,NA,903.379,903.379,NA,NA,0.799,3088.797,27478.176,24427.514,23323.547,NA,1103.583,1103.583,NA,NA,0.385,3050.662,28568.852,25684.505,24594.246,NA,1089.733,1089.733,NA,NA,0.526,2884.347,29334.349,26583.735,25383.379,NA,1199.079,1199.079,NA,NA,1.277,2750.614,30341.375,27359.144,26110.517,NA,1202.901,1202.901,NA,NA,45.726,2982.231,31212.988,28142.353,26918.348,NA,1223.44,1223.44,NA,NA,0.566,3070.635,31166.083,27686.593,26509.31,NA,1167.549,1167.549,NA,NA,9.734,3479.49,32430.218,28212.836,26967.881,NA,1244.189,1244.189,NA,NA,0.766,4217.382,35156.989,29997.524,28583.472,NA,1413.429,1413.429,NA,NA,0.622,5159.465,36215.731,30866.205,29571.132,NA,1294.486,1294.486,NA,NA,0.586,5349.526,36713.956,31294.438,30168.063,NA,1125.868,1125.868,NA,NA,0.507,5419.518,37215.322,31597.763,30441.13,NA,1156.082,1156.082,NA,NA,0.55,5617.559
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,18.058,18.058,18.058,NA,NA,NA,NA,NA,NA,NA,18.222,18.222,18.222,NA,NA,NA,NA,NA,NA,NA,18.386,18.386,18.386,NA,NA,NA,NA,NA,NA,NA,18.549,18.549,18.549,NA,NA,NA,NA,NA,NA,NA,18.759,18.759,18.759,NA,NA,NA,NA,NA,NA,NA,18.981,18.981,18.981,NA,NA,NA,NA,NA,NA,NA,18.773,18.773,18.773,NA,NA,NA,NA,NA,NA,NA,18.981,18.981,18.981,NA,NA,NA,NA,NA,NA,NA,19.19,19.19,19.19,NA,NA,NA,NA,NA,NA,NA,19.38,19.38,19.38,NA,NA,NA,NA,NA,NA,NA,19.569,19.569,19.569,NA,NA,NA,NA,NA,NA,NA,19.759,19.759,19.759,NA,NA,NA,NA,NA,NA,NA
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,16913.809,13995.629,13994.692,NA,0.138,0.138,NA,NA,0.799,2918.18,15528.558,12647.958,12647.374,NA,0.199,0.199,NA,NA,0.385,2880.6,16244.611,13520.457,13519.781,NA,0.15,0.15,NA,NA,0.526,2724.154,17168.732,14569.486,14568.017,NA,0.192,0.192,NA,NA,1.277,2599.246,17879.42,15061.953,15016.088,NA,0.139,0.139,NA,NA,45.726,2817.467,18738.346,15837.14,15836.418,NA,0.156,0.156,NA,NA,0.566,2901.206,18925.419,15637.555,15627.674,NA,0.147,0.147,NA,NA,9.734,3287.864,19392.23,15409.347,15408.445,NA,0.136,0.136,NA,NA,0.766,3982.883,21033.809,16162.79,16162.026,NA,0.142,0.142,NA,NA,0.622,4871.019,22037.67,16986.869,16986.14,NA,0.143,0.143,NA,NA,0.586,5050.801,22175.968,17057.15,17056.539,NA,0.104,0.104,NA,NA,0.507,5118.818,22177.834,16870.184,16869.518,NA,0.116,0.116,NA,NA,0.55,5307.65
