Descriptores,2008|Total,2008|Usuario/Beneficiario|Total de residentes,2008|Usuario/Beneficiario|Hogares,2008|Usuario/Beneficiario|ISFL,2008|Usuario/Beneficiario|Total de gobierno,2008|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2008|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2008|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2008|Usuario/Beneficiario|Sociedades no financieras,2008|Usuario/Beneficiario|Total no residentes,2009|Total,2009|Usuario/Beneficiario|Total de residentes,2009|Usuario/Beneficiario|Hogares,2009|Usuario/Beneficiario|ISFL,2009|Usuario/Beneficiario|Total de gobierno,2009|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2009|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2009|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2009|Usuario/Beneficiario|Sociedades no financieras,2009|Usuario/Beneficiario|Total no residentes,2010|Total,2010|Usuario/Beneficiario|Total de residentes,2010|Usuario/Beneficiario|Hogares,2010|Usuario/Beneficiario|ISFL,2010|Usuario/Beneficiario|Total de gobierno,2010|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2010|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2010|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2010|Usuario/Beneficiario|Sociedades no financieras,2010|Usuario/Beneficiario|Total no residentes,2011|Total,2011|Usuario/Beneficiario|Total de residentes,2011|Usuario/Beneficiario|Hogares,2011|Usuario/Beneficiario|ISFL,2011|Usuario/Beneficiario|Total de gobierno,2011|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2011|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2011|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2011|Usuario/Beneficiario|Sociedades no financieras,2011|Usuario/Beneficiario|Total no residentes,2012|Total,2012|Usuario/Beneficiario|Total de residentes,2012|Usuario/Beneficiario|Hogares,2012|Usuario/Beneficiario|ISFL,2012|Usuario/Beneficiario|Total de gobierno,2012|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2012|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2012|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2012|Usuario/Beneficiario|Sociedades no financieras,2012|Usuario/Beneficiario|Total no residentes,2013|Total,2013|Usuario/Beneficiario|Total de residentes,2013|Usuario/Beneficiario|Hogares,2013|Usuario/Beneficiario|ISFL,2013|Usuario/Beneficiario|Total de gobierno,2013|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2013|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2013|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2013|Usuario/Beneficiario|Sociedades no financieras,2013|Usuario/Beneficiario|Total no residentes,2014|Total,2014|Usuario/Beneficiario|Total de residentes,2014|Usuario/Beneficiario|Hogares,2014|Usuario/Beneficiario|ISFL,2014|Usuario/Beneficiario|Total de gobierno,2014|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2014|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2014|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2014|Usuario/Beneficiario|Sociedades no financieras,2014|Usuario/Beneficiario|Total no residentes,2015|Total,2015|Usuario/Beneficiario|Total de residentes,2015|Usuario/Beneficiario|Hogares,2015|Usuario/Beneficiario|ISFL,2015|Usuario/Beneficiario|Total de gobierno,2015|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2015|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2015|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2015|Usuario/Beneficiario|Sociedades no financieras,2015|Usuario/Beneficiario|Total no residentes,2016|Total,2016|Usuario/Beneficiario|Total de residentes,2016|Usuario/Beneficiario|Hogares,2016|Usuario/Beneficiario|ISFL,2016|Usuario/Beneficiario|Total de gobierno,2016|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2016|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2016|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2016|Usuario/Beneficiario|Sociedades no financieras,2016|Usuario/Beneficiario|Total no residentes,2017|Total,2017|Usuario/Beneficiario|Total de residentes,2017|Usuario/Beneficiario|Hogares,2017|Usuario/Beneficiario|ISFL,2017|Usuario/Beneficiario|Total de gobierno,2017|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2017|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2017|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2017|Usuario/Beneficiario|Sociedades no financieras,2017|Usuario/Beneficiario|Total no residentes,2018|Total<P>,2018|Usuario/Beneficiario|Total de residentes<P>,2018|Usuario/Beneficiario|Hogares<P>,2018|Usuario/Beneficiario|ISFL<P>,2018|Usuario/Beneficiario|Total de gobierno<P>,2018|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal<P>,2018|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal<P>,2018|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal<P>,2018|Usuario/Beneficiario|Sociedades no financieras<P>,2018|Usuario/Beneficiario|Total no residentes<P>,2019|Total<P>,2019|Usuario/Beneficiario|Total de residentes<P>,2019|Usuario/Beneficiario|Hogares<P>,2019|Usuario/Beneficiario|ISFL<P>,2019|Usuario/Beneficiario|Total de gobierno<P>,2019|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal<P>,2019|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal<P>,2019|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal<P>,2019|Usuario/Beneficiario|Sociedades no financieras<P>,2019|Usuario/Beneficiario|Total no residentes<P>
Millones de pesos a precios corrientes|Total cultura,532004.642,519419.871,476242.033,NA,12290.943,10655.84,1635.103,NA,30886.895,12584.771,550863.728,537611.804,492677.746,NA,15211.431,13281.982,1929.449,NA,29722.626,13251.924,582568.594,569236.641,523344.591,NA,15437.582,13325.389,2112.193,NA,30454.468,13331.953,614179.13,600756.041,549479.382,NA,17725.84,15434.927,2290.913,NA,33550.819,13423.089,658731.611,643499.305,588575.205,NA,20517.415,17772.21,2745.205,NA,34406.685,15232.306,677247.016,661051.058,607469.52,NA,19835.697,16948.41,2887.287,NA,33745.841,16195.958,692348.748,673377.467,617449.141,NA,21552.994,17650.157,3902.837,NA,34375.332,18971.281,734472.504,710961.604,647131.288,NA,23485.367,19179.262,4306.105,NA,40344.949,23510.9,759178.806,728925.675,658468.337,NA,26783.185,21930.025,4853.16,NA,43674.153,30253.131,811886.802,778633.464,706855.006,NA,26411.986,21856.158,4555.827,NA,45366.471,33253.338,890956.412,855125.737,775696.624,NA,27003.633,22639.891,4363.742,NA,52425.479,35830.675,909863.958,871285.281,791407.512,NA,25733.942,21289.379,4444.562,NA,54143.827,38578.677
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios,415333.366,402748.595,368056.293,NA,3805.407,3805.407,NA,NA,30886.895,12584.771,431535.152,418283.228,384333.27,NA,4227.332,4227.332,NA,NA,29722.626,13251.924,454457.641,441125.688,406374.118,NA,4297.102,4297.102,NA,NA,30454.468,13331.953,471962.335,458539.246,419860.985,NA,5127.442,5127.442,NA,NA,33550.819,13423.089,503163.138,487930.832,448317.485,NA,5206.662,5206.662,NA,NA,34406.685,15232.306,521771.066,505575.108,466322.869,NA,5506.398,5506.398,NA,NA,33745.841,16195.958,530778.158,511806.877,471660.123,NA,5771.422,5771.422,NA,NA,34375.332,18971.281,559196.754,535685.854,489445.254,NA,5895.651,5895.651,NA,NA,40344.949,23510.9,566936.74,536683.609,486474.282,NA,6535.174,6535.174,NA,NA,43674.153,30253.131,606948.177,573694.839,521472.078,NA,6856.29,6856.29,NA,NA,45366.471,33253.338,666474.749,630644.074,571293.781,NA,6924.814,6924.814,NA,NA,52425.479,35830.675,683008.212,644429.535,582940.317,NA,7345.391,7345.391,NA,NA,54143.827,38578.677
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,250072.859,237534.149,203987.51,NA,3805.407,3805.407,NA,NA,29741.232,12538.71,246818.42,233614.474,200932.227,NA,4227.332,4227.332,NA,NA,28454.915,13203.946,265165.55,251882.854,218542.264,NA,4297.102,4297.102,NA,NA,29043.488,13282.696,289628.615,276258.412,239132.709,NA,5127.442,5127.442,NA,NA,31998.261,13370.203,311617.122,296439.209,258619.858,NA,5206.662,5206.662,NA,NA,32612.689,15177.913,322387.09,306248.919,268828.996,NA,5506.398,5506.398,NA,NA,31913.525,16138.171,329001.06,310089.517,271898.604,NA,5771.422,5771.422,NA,NA,32419.491,18911.543,365280.24,341832.999,298005.544,NA,5895.651,5895.651,NA,NA,37931.804,23447.241,389738.421,359552.635,312580.336,NA,6535.174,6535.174,NA,NA,40437.125,30185.786,421636.695,388456.112,338711.195,NA,6856.29,6856.29,NA,NA,42888.627,33180.583,456290.877,420533.371,364070.298,NA,6924.814,6924.814,NA,NA,49538.259,35757.506,466561.962,428055.199,369241.809,NA,7345.391,7345.391,NA,NA,51467.999,38506.763
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,146099.666,137261.495,108432.237,NA,3564.57,3564.57,NA,NA,25264.688,8838.171,139911.848,130540.919,102685.047,NA,3969.12,3969.12,NA,NA,23886.752,9370.929,148156.958,138665.989,110439.453,NA,4009.043,4009.043,NA,NA,24217.493,9490.969,164619.897,155011.406,123471.568,NA,4751.695,4751.695,NA,NA,26788.143,9608.491,177790.658,166849.796,135392.521,NA,4586.884,4586.884,NA,NA,26870.391,10940.862,180281.829,168650.524,138262.841,NA,5011.613,5011.613,NA,NA,25376.07,11631.305,179865.866,166248.538,136040.499,NA,5052.07,5052.07,NA,NA,25155.969,13617.328,203556.531,186685.899,151648.135,NA,5139.06,5139.06,NA,NA,29898.704,16870.632,219480.804,197495.268,160352.353,NA,5754.923,5754.923,NA,NA,31387.992,21985.536,235596.702,211404.85,172295.81,NA,6088.387,6088.387,NA,NA,33020.653,24191.852,259968.672,233789.986,187985.036,NA,6104.619,6104.619,NA,NA,39700.331,26178.686,268188.777,239977.67,192920.223,NA,6793.164,6793.164,NA,NA,40264.283,28211.107
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,102349.473,94341.997,75522.488,NA,2085.907,2085.907,NA,NA,16733.602,8007.476,99572.526,91089.126,72805.323,NA,2038.665,2038.665,NA,NA,16245.138,8483.4,110399.311,101759.708,81577.079,NA,2322.219,2322.219,NA,NA,17860.41,8639.603,117991.277,109217.922,87676.891,NA,2532.514,2532.514,NA,NA,19008.517,8773.355,130546.623,120543.793,97084.96,NA,2887.576,2887.576,NA,NA,20571.257,10002.83,136427.357,125749.433,101754.496,NA,3083.645,3083.645,NA,NA,20911.292,10677.924,140399.262,127885.674,103674.676,NA,3133.606,3133.606,NA,NA,21077.392,12513.588,154820.604,139343.416,112489.312,NA,3342.521,3342.521,NA,NA,23511.583,15477.188,171223.759,151019.717,122458.069,NA,3698.579,3698.579,NA,NA,24863.069,20204.042,184226.288,161968.286,131478.18,NA,3998.181,3998.181,NA,NA,26491.925,22258.002,201196.733,177049.712,143673.82,NA,4396.651,4396.651,NA,NA,28979.241,24147.021,211194.831,185165.43,150689.674,NA,4645.829,4645.829,NA,NA,29829.927,26029.401
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,723.27,622.606,86.47999999999999,NA,NA,NA,NA,NA,536.126,100.664,800.986,679.086,118.892,NA,NA,NA,NA,NA,560.194,121.9,1262.76,1149.596,191.30599999999998,NA,NA,NA,NA,NA,958.2900000000001,113.164,2158.328,2048.058,445.78999999999996,NA,NA,NA,NA,NA,1602.268,110.27,2549.868,2431.504,519.031,NA,NA,NA,NA,NA,1912.473,118.364,1971.367,1883.535,491.52,NA,NA,NA,NA,NA,1392.015,87.832,1107.655,1036.626,258.73900000000003,NA,NA,NA,NA,NA,777.887,71.029,1112.86,1042.165,184.588,NA,NA,NA,NA,NA,857.5770000000001,70.695,1504.144,1419.307,277.585,NA,NA,NA,NA,NA,1141.722,84.837,1538.052,1455.736,296.965,NA,NA,NA,NA,NA,1158.771,82.316,6318.388,6229.066,1583.4950000000001,NA,NA,NA,NA,NA,4645.571,89.322,5313.806,5231.005,1053.584,NA,NA,NA,NA,NA,4177.421,82.801
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,21361.255,21281.456,15939.703,NA,NA,NA,NA,NA,5341.753,79.799,17747.848,17664.221,13104.106,NA,NA,NA,NA,NA,4560.115000000001,83.627,17153.536,17072.754,14041.66,NA,NA,NA,NA,NA,3031.094,80.782,22257.739,22178.295,18549.778,NA,NA,NA,NA,NA,3628.517,79.444,20493.705,20404.315,18801.834,NA,NA,NA,NA,NA,1602.481,89.39,18140.058,18047.668,17037.091,NA,NA,NA,NA,NA,1010.577,92.39,14003.82,13897.257,13026.216,NA,NA,NA,NA,NA,871.0409999999999,106.563,19122.554,18985.435,17978.049,NA,NA,NA,NA,NA,1007.3860000000001,137.119,18348.588,18173.688,17135.206,NA,NA,NA,NA,NA,1038.4819999999997,174.9,19859.376,19677.509,18928.604,NA,NA,NA,NA,NA,748.9050000000001,181.867,22004.958,21823.623,21090.982,NA,NA,NA,NA,NA,732.641,181.335,21021.053,20814.126,20300.603,NA,NA,NA,NA,NA,513.523,206.927
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",2927.966,2927.966,728.566,NA,NA,NA,NA,NA,2199.4,NA,2990.995,2990.995,962.49,NA,NA,NA,NA,NA,2028.505,NA,3127.061,3127.061,1132.268,NA,NA,NA,NA,NA,1994.793,NA,3615.063,3615.063,1501.592,NA,NA,NA,NA,NA,2113.471,NA,3667.641,3667.641,1540.209,NA,NA,NA,NA,NA,2127.432,NA,4108.313,4108.313,2622.783,NA,NA,NA,NA,NA,1485.53,NA,5126.494,5126.494,3141.865,NA,NA,NA,NA,NA,1984.629,NA,8104.803,8104.803,4202.375,NA,NA,NA,NA,NA,3902.428,NA,7514.511,7514.511,3650.562,NA,NA,NA,NA,NA,3863.949,NA,8250.671,8250.671,4073.927,NA,NA,NA,NA,NA,4176.744,NA,9484.488,9484.488,4594.867,NA,NA,NA,NA,NA,4889.621,NA,10204.374,10204.374,5024.831,NA,NA,NA,NA,NA,5179.543,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,2730.052,2730.052,2276.255,NA,NA,NA,NA,NA,453.797,NA,2791.947,2791.947,2299.149,NA,NA,NA,NA,NA,492.798,NA,2322.751,2322.751,1949.848,NA,NA,NA,NA,NA,372.903,NA,2641.958,2641.958,2206.778,NA,NA,NA,NA,NA,435.18,NA,3520.35,3520.35,2863.612,NA,NA,NA,NA,NA,656.738,NA,3275.553,3275.553,2698.911,NA,NA,NA,NA,NA,576.642,NA,3181.466,3181.466,2736.45,NA,NA,NA,NA,NA,445.016,NA,4010.037,4010.037,3390.313,NA,NA,NA,NA,NA,619.724,NA,3874.877,3874.877,3394.109,NA,NA,NA,NA,NA,480.768,NA,3929.77,3929.77,3485.464,NA,NA,NA,NA,NA,444.306,NA,4405.964,4405.964,3952.709,NA,NA,NA,NA,NA,453.255,NA,4658.043,4658.043,4094.174,NA,NA,NA,NA,NA,563.869,NA
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",15850.207,15199.975,13721.302,NA,1478.663,1478.663,NA,NA,0.01,650.232,15851.937,15169.935,13239.478,NA,1930.455,1930.455,NA,NA,0.002,682.0020000000001,13720.802,13063.382,11376.555,NA,1686.824,1686.824,NA,NA,0.003,657.42,15768.577,15123.155,12903.784000000001,NA,2219.181,2219.181,NA,NA,0.19,645.422,16805.742,16075.464,14376.145999999999,NA,1699.308,1699.308,NA,NA,0.01,730.278,16164.849,15391.69,13463.708,NA,1927.968,1927.968,NA,NA,0.014,773.159,15856.724,14930.576,13012.108,NA,1918.464,1918.464,NA,NA,0.004,926.148,16180.844,14995.214,13198.669,NA,1796.539,1796.539,NA,NA,0.006,1185.63,16795.408,15273.651,13217.305,NA,2056.344,2056.344,NA,NA,0.002,1521.757,17560.842,15891.175,13800.967,NA,2090.206,2090.206,NA,NA,0.002,1669.667,16315.335,14554.327,12846.357,NA,1707.968,1707.968,NA,NA,0.002,1761.008,15553.969,13661.991,11514.656,NA,2147.335,2147.335,NA,NA,NA,1891.9779999999998
