Descriptores,2008|Total,2008|Usuario/Beneficiario|Total de residentes,2008|Usuario/Beneficiario|Hogares,2008|Usuario/Beneficiario|ISFL,2008|Usuario/Beneficiario|Total de gobierno,2008|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2008|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2008|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2008|Usuario/Beneficiario|Sociedades no financieras,2008|Usuario/Beneficiario|Total no residentes,2009|Total,2009|Usuario/Beneficiario|Total de residentes,2009|Usuario/Beneficiario|Hogares,2009|Usuario/Beneficiario|ISFL,2009|Usuario/Beneficiario|Total de gobierno,2009|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2009|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2009|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2009|Usuario/Beneficiario|Sociedades no financieras,2009|Usuario/Beneficiario|Total no residentes,2010|Total,2010|Usuario/Beneficiario|Total de residentes,2010|Usuario/Beneficiario|Hogares,2010|Usuario/Beneficiario|ISFL,2010|Usuario/Beneficiario|Total de gobierno,2010|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2010|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2010|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2010|Usuario/Beneficiario|Sociedades no financieras,2010|Usuario/Beneficiario|Total no residentes,2011|Total,2011|Usuario/Beneficiario|Total de residentes,2011|Usuario/Beneficiario|Hogares,2011|Usuario/Beneficiario|ISFL,2011|Usuario/Beneficiario|Total de gobierno,2011|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2011|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2011|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2011|Usuario/Beneficiario|Sociedades no financieras,2011|Usuario/Beneficiario|Total no residentes,2012|Total,2012|Usuario/Beneficiario|Total de residentes,2012|Usuario/Beneficiario|Hogares,2012|Usuario/Beneficiario|ISFL,2012|Usuario/Beneficiario|Total de gobierno,2012|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2012|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2012|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2012|Usuario/Beneficiario|Sociedades no financieras,2012|Usuario/Beneficiario|Total no residentes,2013|Total,2013|Usuario/Beneficiario|Total de residentes,2013|Usuario/Beneficiario|Hogares,2013|Usuario/Beneficiario|ISFL,2013|Usuario/Beneficiario|Total de gobierno,2013|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2013|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2013|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2013|Usuario/Beneficiario|Sociedades no financieras,2013|Usuario/Beneficiario|Total no residentes,2014|Total,2014|Usuario/Beneficiario|Total de residentes,2014|Usuario/Beneficiario|Hogares,2014|Usuario/Beneficiario|ISFL,2014|Usuario/Beneficiario|Total de gobierno,2014|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2014|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2014|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2014|Usuario/Beneficiario|Sociedades no financieras,2014|Usuario/Beneficiario|Total no residentes,2015|Total,2015|Usuario/Beneficiario|Total de residentes,2015|Usuario/Beneficiario|Hogares,2015|Usuario/Beneficiario|ISFL,2015|Usuario/Beneficiario|Total de gobierno,2015|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2015|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2015|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2015|Usuario/Beneficiario|Sociedades no financieras,2015|Usuario/Beneficiario|Total no residentes,2016|Total,2016|Usuario/Beneficiario|Total de residentes,2016|Usuario/Beneficiario|Hogares,2016|Usuario/Beneficiario|ISFL,2016|Usuario/Beneficiario|Total de gobierno,2016|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2016|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2016|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2016|Usuario/Beneficiario|Sociedades no financieras,2016|Usuario/Beneficiario|Total no residentes,2017|Total,2017|Usuario/Beneficiario|Total de residentes,2017|Usuario/Beneficiario|Hogares,2017|Usuario/Beneficiario|ISFL,2017|Usuario/Beneficiario|Total de gobierno,2017|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal,2017|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal,2017|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal,2017|Usuario/Beneficiario|Sociedades no financieras,2017|Usuario/Beneficiario|Total no residentes,2018|Total<P>,2018|Usuario/Beneficiario|Total de residentes<P>,2018|Usuario/Beneficiario|Hogares<P>,2018|Usuario/Beneficiario|ISFL<P>,2018|Usuario/Beneficiario|Total de gobierno<P>,2018|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal<P>,2018|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal<P>,2018|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal<P>,2018|Usuario/Beneficiario|Sociedades no financieras<P>,2018|Usuario/Beneficiario|Total no residentes<P>,2019|Total<P>,2019|Usuario/Beneficiario|Total de residentes<P>,2019|Usuario/Beneficiario|Hogares<P>,2019|Usuario/Beneficiario|ISFL<P>,2019|Usuario/Beneficiario|Total de gobierno<P>,2019|Usuario/Beneficiario|Niveles de gobierno|Gobierno federal<P>,2019|Usuario/Beneficiario|Niveles de gobierno|Gobierno estatal<P>,2019|Usuario/Beneficiario|Niveles de gobierno|Gobierno municipal<P>,2019|Usuario/Beneficiario|Sociedades no financieras<P>,2019|Usuario/Beneficiario|Total no residentes<P>
Millones de pesos a precios de 2013|Total cultura,600831.448,584980.604,533501.422,NA,15539.772,13415.81,2123.962,NA,35939.41,15850.844,584172.298,568336.092,517631.264,NA,18400.54,15798.206,2602.333,NA,32304.288,15836.206,600612.838,585464.803,533668.926,NA,17806.123,15246.233,2559.89,NA,33989.753,15148.035,619089.88,604640.468,548456.68,NA,19858.337,17060.16,2798.177,NA,36325.452,14449.412,664939.971,649068.311,593962.24,NA,19557.078,16749.055,2808.023,NA,35548.994,15871.66,677247.016,661051.058,607469.52,NA,19835.697,16948.41,2887.287,NA,33745.841,16195.958,677688.56,659507.55,605754.803,NA,20218.335,16565.193,3653.142,NA,33534.412,18181.01,739455.875,717653.901,659223.84,NA,21942.159,17845.529,4096.63,NA,36487.902,21801.974,790799.492,763714.84,702068.755,NA,24232.382,19793.319,4439.063,NA,37413.703,27084.652,829136.716,801157.478,742311.459,NA,23124.51,19079.28,4045.23,NA,35721.51,27979.238,862739.159,833971.349,770391.612,NA,22404.652,18703.981,3700.671,NA,41175.084,28767.81,873504.027,843801.555,781795.148,NA,20704.747,16989.218,3715.529,NA,41301.661,29702.472
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios,450934.528,435083.684,394324.754,NA,4819.52,4819.52,NA,NA,35939.41,15850.844,442274.989,426438.783,388722.188,NA,5412.307,5412.307,NA,NA,32304.288,15836.206,452748.254,437600.219,398687.681,NA,4922.785,4922.785,NA,NA,33989.753,15148.035,463284.68,448835.268,406952.553,NA,5557.263,5557.263,NA,NA,36325.452,14449.412,506578.935,490707.275,449882.816,NA,5275.465,5275.465,NA,NA,35548.994,15871.66,521771.066,505575.108,466322.869,NA,5506.398,5506.398,NA,NA,33745.841,16195.958,523490.554,505309.544,466233.734,NA,5541.398,5541.398,NA,NA,33534.412,18181.01,579342.215,557540.241,515573.168,NA,5479.171,5479.171,NA,NA,36487.902,21801.974,623796.761,596712.109,553564.557,NA,5733.849,5733.849,NA,NA,37413.703,27084.652,660647.533,632668.295,591144.97,NA,5801.815,5801.815,NA,NA,35721.51,27979.238,685460.651,656692.841,609999.229,NA,5518.528,5518.528,NA,NA,41175.084,28767.81,701505.846,671803.374,624902.638,NA,5599.075,5599.075,NA,NA,41301.661,29702.472
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,307633.648,291839.042,252573.698,NA,4819.52,4819.52,NA,NA,34445.824,15794.606,285207.003,269426.511,233257.685,NA,5412.307,5412.307,NA,NA,30756.519,15780.492,297828.489,282735.122,245369.009,NA,4922.785,4922.785,NA,NA,32443.328,15093.367,310787.152,296394.229,256168.519,NA,5557.263,5557.263,NA,NA,34668.447,14392.923,320713.566,304897.923,265914.074,NA,5275.465,5275.465,NA,NA,33708.384,15815.643,322387.09,306248.919,268828.996,NA,5506.398,5506.398,NA,NA,31913.525,16138.171,316512.086,298388.986,261316.519,NA,5541.398,5541.398,NA,NA,31531.069,18123.1,335855.385,314113.581,274326.651,NA,5479.171,5479.171,NA,NA,34307.759,21741.804,339609.471,312587.247,272199.083,NA,5733.849,5733.849,NA,NA,34654.315,27022.224,348720.092,320805.95,281442.029,NA,5801.815,5801.815,NA,NA,33562.106,27914.142,362446.161,333741.405,289405.991,NA,5518.528,5518.528,NA,NA,38816.886,28704.756,357027.974,327384.718,282651.307,NA,5599.075,5599.075,NA,NA,39134.336,29643.256
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,181959.946,170707.926,137125.441,NA,4564.991,4564.991,NA,NA,29017.494,11252.02,161504.403,150216.891,119537.814,NA,5152.699,5152.699,NA,NA,25526.378,11287.512,168328.886,157476.909,125759.41,NA,4637.221,4637.221,NA,NA,27080.278,10851.977,176315.124,165972.565,131691.122,NA,5193.874,5193.874,NA,NA,29087.569,10342.559,182410.157,170990.662,138413.83,NA,4711.909,4711.909,NA,NA,27864.923,11419.495,180281.829,168650.524,138262.841,NA,5011.613,5011.613,NA,NA,25376.07,11631.305,173278.691,160221.992,130871.129,NA,4831.63,4831.63,NA,NA,24519.233,13056.699,183343.27,167711.151,136040.599,NA,4718.566,4718.566,NA,NA,26951.986,15632.119,185764.17,166117.143,134631.082,NA,4966.815,4966.815,NA,NA,26519.246,19647.027,187869.969,167570.038,136640.877,NA,4994.634,4994.634,NA,NA,25934.527,20299.931,199422.649,178433.186,142236.571,NA,4764.099,4764.099,NA,NA,31432.516,20989.463,199613.275,177940.463,141951.284,NA,5161.579,5161.579,NA,NA,30827.6,21672.812
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,128215.882,117997.911,94635.99,NA,2733.446,2733.446,NA,NA,20628.475,10217.971,120670.39,110416.326,88197.839,NA,2563.752,2563.752,NA,NA,19654.735,10254.064,130005.979,120101.581,96225.274,NA,2806.093,2806.093,NA,NA,21070.214,9904.398,129634.054,120189.249,96180.845,NA,2813.65,2813.65,NA,NA,21194.754,9444.805,136037.598,125585.407,100932.219,NA,2988.635,2988.635,NA,NA,21664.553,10452.191,136427.357,125749.433,101754.496,NA,3083.645,3083.645,NA,NA,20911.292,10677.924,134513.935,122520.733,99086.902,NA,2933.031,2933.031,NA,NA,20500.8,11993.202,141013.63,126679.851,102104.352,NA,3000.942,3000.942,NA,NA,21574.557,14333.779,148356.818,130296.926,105504.644,NA,3166.637,3166.637,NA,NA,21625.645,18059.892,149225.588,130557.554,106151.935,NA,3198.279,3198.279,NA,NA,21207.34,18668.034,156492.364,137139.643,111507.065,NA,3400.079,3400.079,NA,NA,22232.499,19352.721,156438.701,136456.867,111387.457,NA,3462.682,3462.682,NA,NA,21606.728,19981.834
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,572.376,440.049,103.986,NA,NA,NA,NA,NA,336.063,132.327,651.097,516.809,107.26899999999999,NA,NA,NA,NA,NA,409.54,134.288,1291.936,1169.071,205.373,NA,NA,NA,NA,NA,963.698,122.865,2509.116,2389.181,493.05499999999995,NA,NA,NA,NA,NA,1896.126,119.935,2485.06,2365.313,539.03,NA,NA,NA,NA,NA,1826.283,119.747,1971.367,1883.535,491.52,NA,NA,NA,NA,NA,1392.015,87.832,1223.25,1151.897,256.723,NA,NA,NA,NA,NA,895.174,71.353,1128.631,1057.569,160.379,NA,NA,NA,NA,NA,897.1899999999999,71.062,1358.826,1287.937,209.177,NA,NA,NA,NA,NA,1078.76,70.889,1359.034,1296.191,222.513,NA,NA,NA,NA,NA,1073.678,62.843,6175.365,6102.403,989.0989999999999,NA,NA,NA,NA,NA,5113.304,72.962,5873.683,5812.681,743.621,NA,NA,NA,NA,NA,5069.0599999999995,61.002
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,24305.477,24206.907,19513.956,NA,NA,NA,NA,NA,4692.951,98.57,15258.962,15161.464,11916.318,NA,NA,NA,NA,NA,3245.146,97.498,16498.281,16408.377,13754.25,NA,NA,NA,NA,NA,2654.1270000000004,89.904,22071.969,21986.92,18316.102,NA,NA,NA,NA,NA,3670.8179999999998,85.049,20522.983,20430.66,18665.632,NA,NA,NA,NA,NA,1765.028,92.323,18140.058,18047.668,17037.091,NA,NA,NA,NA,NA,1010.577,92.39,13981.039,13876.794,12993.117999999999,NA,NA,NA,NA,NA,883.6759999999999,104.245,16197.362,16067.966,15253.66,NA,NA,NA,NA,NA,814.306,129.396,13422.903,13260.232,12540.892,NA,NA,NA,NA,NA,719.34,162.671,13854.692,13687.531,13174.687000000002,NA,NA,NA,NA,NA,512.844,167.161,14549.992,14382.73,13913.804,NA,NA,NA,NA,NA,468.926,167.262,15480.786,15297.224,14930.761,NA,NA,NA,NA,NA,366.463,183.562
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",4023.662,4023.662,1127.528,NA,NA,NA,NA,NA,2896.134,NA,2719.77,2719.77,970.673,NA,NA,NA,NA,NA,1749.097,NA,3372.092,3372.092,1352.745,NA,NA,NA,NA,NA,2019.347,NA,3261.488,3261.488,1355.941,NA,NA,NA,NA,NA,1905.547,NA,3231.215,3231.215,1236.306,NA,NA,NA,NA,NA,1994.909,NA,4108.313,4108.313,2622.783,NA,NA,NA,NA,NA,1485.53,NA,4708.75,4708.75,2882.914,NA,NA,NA,NA,NA,1825.836,NA,6573.194,6573.194,3421.049,NA,NA,NA,NA,NA,3152.145,NA,5382.252,5382.252,2682.963,NA,NA,NA,NA,NA,2699.289,NA,5451.659,5451.659,2681.749,NA,NA,NA,NA,NA,2769.91,NA,6020.36,6020.36,2787.769,NA,NA,NA,NA,NA,3232.591,NA,6323.926,6323.926,2980.364,NA,NA,NA,NA,NA,3343.562,NA
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,3263.431,3263.431,2799.567,NA,NA,NA,NA,NA,463.864,NA,3109.428,3109.428,2641.57,NA,NA,NA,NA,NA,467.858,NA,2601.117,2601.117,2228.228,NA,NA,NA,NA,NA,372.889,NA,2796.231,2796.231,2376.078,NA,NA,NA,NA,NA,420.153,NA,3513.527,3513.527,2899.385,NA,NA,NA,NA,NA,614.142,NA,3275.553,3275.553,2698.911,NA,NA,NA,NA,NA,576.642,NA,3042.167,3042.167,2628.424,NA,NA,NA,NA,NA,413.743,NA,3484.011,3484.011,2970.228,NA,NA,NA,NA,NA,513.783,NA,3184.45,3184.45,2788.239,NA,NA,NA,NA,NA,396.211,NA,3174.876,3174.876,2804.122,NA,NA,NA,NA,NA,370.754,NA,3588.185,3588.185,3202.99,NA,NA,NA,NA,NA,385.195,NA,3608.647,3608.647,3166.86,NA,NA,NA,NA,NA,441.787,NA
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",21397.144,20593.992,18762.44,NA,1831.545,1831.545,NA,NA,0.007,803.1519999999999,18918.828,18117.166,15528.217,NA,2588.947,2588.947,NA,NA,0.002,801.6619999999999,14373.652,13638.842,11807.711,NA,1831.128,1831.128,NA,NA,0.003,734.81,15849.052,15156.282,12775.886999999999,NA,2380.224,2380.224,NA,NA,0.171,692.77,16409.244,15654.01,13930.728,NA,1723.274,1723.274,NA,NA,0.008,755.234,16164.849,15391.69,13463.708,NA,1927.968,1927.968,NA,NA,0.014,773.159,15620.29,14732.391,12833.787999999999,NA,1898.599,1898.599,NA,NA,0.004,887.899,14746.66,13648.778,11931.149000000001,NA,1717.624,1717.624,NA,NA,0.005,1097.8819999999998,13859.401,12505.826,10705.646999999999,NA,1800.178,1800.178,NA,NA,0.001,1353.575,14599.416,13197.523,11401.167,NA,1796.355,1796.355,NA,NA,0.001,1401.893,12388.083,10991.565,9627.544,NA,1364.02,1364.02,NA,NA,0.001,1396.518,11688.62,10242.206,8543.309000000001,NA,1698.897,1698.897,NA,NA,NA,1446.414
