Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total cultura,2317.191,2597.691,2251.976,2611.21,2172.175,2570.92,2775.985,2954.054,3019.451,3010.274,2895.688,3277.392
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas,2317.191,2597.691,2251.976,2611.21,2172.175,2570.92,2775.985,2954.054,3019.451,3010.274,2895.688,3277.392
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,32.453,34.261,34.15,37.113,34.151,35.736,43.138,46.741,50.312,47.735,48.617,50.776
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,1.512,1.609,1.629,1.844,1.702,1.779,1.888,2.404,2.476,2.507,2.453,2.389
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,13.338,14.227,13.207,15.132,12.481,12.862,14.586,15.44,15.767,15.42,15.724,16.672
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,4.29,4.254,4.512,4.73,4.698,4.741,4.86,6.006,6.498,6.539,6.731,6.663
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,11.058,11.722,12.763,14.872,13.207,14.353,17.225,19.344,21.691,23.039,23.128,23.397
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,2.255,2.449,2.039,0.535,2.063,2.001,4.579,3.547,3.88,0.23,0.581,1.655
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,305.973,344.627,357.441,360.608,317.966,368.932,424.963,460.389,514.493,515.439,532.759,574.789
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,0.304,0.365,0.368,0.382,0.325,0.371,0.43,0.442,0.453,0.456,0.444,0.471
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,44.423,49.394,52.686,55.825,49.822,57.858,64.128,65.801,71.033,75.028,73.733,74.509
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,229.282,258.462,266.475,272.369,235.722,268.323,313.147,347.736,393.444,397.662,416.871,451.741
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,3.072,3.65,3.701,3.873,3.32,3.788,4.393,4.521,4.68,4.684,4.544,4.859
