Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total cultura,2317.188,2597.689,2251.976,2611.208,2172.17,2570.919,2775.985,2954.049,3019.456,3010.266,2895.686,3277.39
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios,2161.355,2326.093,2076.919,2381.682,2005.067,2309.184,2572.534,2768.802,2835.522,2853.229,2807.426,3160.42
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,1267.777,1398.222,1278.753,1489.352,1256.434,1337.568,1482.128,1602.872,1637.453,1651.957,1671.843,1845.026
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,644.378,689.748,559.264,740.003,606.896,610.86,647.255,716.677,684.239,680.736,688.735,823.443
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,4.537,4.776,3.747,5.052,3.999,4.026,4.29,4.584,4.191000000000001,4.003,4.044,5.067
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,549.41,601.945,475.35699999999997,652.536,509.89099999999996,515.11,548.098,593.759,544.662,520.787,530.4960000000001,665.413
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",35.575,25.959,22.457,20.212,23.32,25.009,28.217,47.245,61.989,78.973,80.559,84.043
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,4.453,5.08,5.432,6.321,6.427,6.486,6.954,7.787,8.586,9.235,9.803,10.015
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",48.233999999999995,49.831,49.898999999999994,53.239,60.29,57.404,56.884,60.265,61.571,64.304,60.213,55.274
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",2.169,2.157,2.372,2.643,2.969,2.825,2.812,3.037,3.24,3.434,3.62,3.631
