Descriptores,2008|Oferta|Producción bruta a precios productor,2008|Oferta|Importaciones C.I.F.,2008|Oferta|Márgenes de comercio y transporte,2008|Oferta y utilización,2008|Utilización|Demanda intermedia,2008|Utilización|Demanda final|Consumo privado,2008|Utilización|Demanda final|Consumo de gobierno,2008|Utilización|Demanda final|Formación bruta de capital fijo,2008|Utilización|Demanda final|Variación de existencias,2008|Utilización|Demanda final|Exportaciones de bienes FOB,2009|Oferta|Producción bruta a precios productor,2009|Oferta|Importaciones C.I.F.,2009|Oferta|Márgenes de comercio y transporte,2009|Oferta y utilización,2009|Utilización|Demanda intermedia,2009|Utilización|Demanda final|Consumo privado,2009|Utilización|Demanda final|Consumo de gobierno,2009|Utilización|Demanda final|Formación bruta de capital fijo,2009|Utilización|Demanda final|Variación de existencias,2009|Utilización|Demanda final|Exportaciones de bienes FOB,2010|Oferta|Producción bruta a precios productor,2010|Oferta|Importaciones C.I.F.,2010|Oferta|Márgenes de comercio y transporte,2010|Oferta y utilización,2010|Utilización|Demanda intermedia,2010|Utilización|Demanda final|Consumo privado,2010|Utilización|Demanda final|Consumo de gobierno,2010|Utilización|Demanda final|Formación bruta de capital fijo,2010|Utilización|Demanda final|Variación de existencias,2010|Utilización|Demanda final|Exportaciones de bienes FOB,2011|Oferta|Producción bruta a precios productor,2011|Oferta|Importaciones C.I.F.,2011|Oferta|Márgenes de comercio y transporte,2011|Oferta y utilización,2011|Utilización|Demanda intermedia,2011|Utilización|Demanda final|Consumo privado,2011|Utilización|Demanda final|Consumo de gobierno,2011|Utilización|Demanda final|Formación bruta de capital fijo,2011|Utilización|Demanda final|Variación de existencias,2011|Utilización|Demanda final|Exportaciones de bienes FOB,2012|Oferta|Producción bruta a precios productor,2012|Oferta|Importaciones C.I.F.,2012|Oferta|Márgenes de comercio y transporte,2012|Oferta y utilización,2012|Utilización|Demanda intermedia,2012|Utilización|Demanda final|Consumo privado,2012|Utilización|Demanda final|Consumo de gobierno,2012|Utilización|Demanda final|Formación bruta de capital fijo,2012|Utilización|Demanda final|Variación de existencias,2012|Utilización|Demanda final|Exportaciones de bienes FOB,2013|Oferta|Producción bruta a precios productor,2013|Oferta|Importaciones C.I.F.,2013|Oferta|Márgenes de comercio y transporte,2013|Oferta y utilización,2013|Utilización|Demanda intermedia,2013|Utilización|Demanda final|Consumo privado,2013|Utilización|Demanda final|Consumo de gobierno,2013|Utilización|Demanda final|Formación bruta de capital fijo,2013|Utilización|Demanda final|Variación de existencias,2013|Utilización|Demanda final|Exportaciones de bienes FOB,2014|Oferta|Producción bruta a precios productor,2014|Oferta|Importaciones C.I.F.,2014|Oferta|Márgenes de comercio y transporte,2014|Oferta y utilización,2014|Utilización|Demanda intermedia,2014|Utilización|Demanda final|Consumo privado,2014|Utilización|Demanda final|Consumo de gobierno,2014|Utilización|Demanda final|Formación bruta de capital fijo,2014|Utilización|Demanda final|Variación de existencias,2014|Utilización|Demanda final|Exportaciones de bienes FOB,2015|Oferta|Producción bruta a precios productor,2015|Oferta|Importaciones C.I.F.,2015|Oferta|Márgenes de comercio y transporte,2015|Oferta y utilización,2015|Utilización|Demanda intermedia,2015|Utilización|Demanda final|Consumo privado,2015|Utilización|Demanda final|Consumo de gobierno,2015|Utilización|Demanda final|Formación bruta de capital fijo,2015|Utilización|Demanda final|Variación de existencias,2015|Utilización|Demanda final|Exportaciones de bienes FOB,2016|Oferta|Producción bruta a precios productor,2016|Oferta|Importaciones C.I.F.,2016|Oferta|Márgenes de comercio y transporte,2016|Oferta y utilización,2016|Utilización|Demanda intermedia,2016|Utilización|Demanda final|Consumo privado,2016|Utilización|Demanda final|Consumo de gobierno,2016|Utilización|Demanda final|Formación bruta de capital fijo,2016|Utilización|Demanda final|Variación de existencias,2016|Utilización|Demanda final|Exportaciones de bienes FOB,2017|Oferta|Producción bruta a precios productor,2017|Oferta|Importaciones C.I.F.,2017|Oferta|Márgenes de comercio y transporte,2017|Oferta y utilización,2017|Utilización|Demanda intermedia,2017|Utilización|Demanda final|Consumo privado,2017|Utilización|Demanda final|Consumo de gobierno,2017|Utilización|Demanda final|Formación bruta de capital fijo,2017|Utilización|Demanda final|Variación de existencias,2017|Utilización|Demanda final|Exportaciones de bienes FOB,2018|Oferta|Producción bruta a precios productor<P>,2018|Oferta|Importaciones C.I.F.<P>,2018|Oferta|Márgenes de comercio y transporte<P>,2018|Oferta y utilización<P>,2018|Utilización|Demanda intermedia<P>,2018|Utilización|Demanda final|Consumo privado<P>,2018|Utilización|Demanda final|Consumo de gobierno<P>,2018|Utilización|Demanda final|Formación bruta de capital fijo<P>,2018|Utilización|Demanda final|Variación de existencias<P>,2018|Utilización|Demanda final|Exportaciones de bienes FOB<P>,2019|Oferta|Producción bruta a precios productor<P>,2019|Oferta|Importaciones C.I.F.<P>,2019|Oferta|Márgenes de comercio y transporte<P>,2019|Oferta y utilización<P>,2019|Utilización|Demanda intermedia<P>,2019|Utilización|Demanda final|Consumo privado<P>,2019|Utilización|Demanda final|Consumo de gobierno<P>,2019|Utilización|Demanda final|Formación bruta de capital fijo<P>,2019|Utilización|Demanda final|Variación de existencias<P>,2019|Utilización|Demanda final|Exportaciones de bienes FOB<P>
Millones de pesos a precios corrientes|Total cultura,709503.32,52443.885,58180.408,820127.613,275575.526,483322.203,26348.166,22334.275,665.563,11881.878,736740.14,52101.397,56409.078,845250.615,282482.451,498754.885,30173.489,21935.36,702.859,11201.576,772526.983,52188.429,58201.309,882916.721,289622.76,530847.369,30364.12,21357.108,1549.852,9175.516,810397.767,57989.967,64201.63,932589.364,305447.008,556731.548,33988.407,23459.177,1726.474,11236.74,865877.447,57158.052,67145.805,990181.304,318961.444,596102.613,39571.92,23057.08,1088.841,11399.404,887701.484,44758.645,63767.166,996227.295,306227.032,621033.823,35603.28,20609.911,1449.709,11303.536,913217.35,43455.335,63650.582,1020323.267,312706.284,634959.955,35841.605,21547.19,1421.703,13846.526,959857.854,52938.326,72670.798,1085466.978,331844.096,668918.069,40195.476,25358.959,2268.113,16882.263,993378.662,60099.152,78719.816,1132197.63,354555.796,688916.786,43023.125,27238.9,1103.42,17359.6,1060431.692,63292.347,85314.588,1209038.627,375019.023,741783.423,42759.199,27344.174,1920.711,20212.099,1131895.717,73657.048,92288.239,1297841.004,386812.622,811202.567,46598.454,33155.386,1755.243,18316.727,1157457.295,73746.911,94626.835,1325831.041,392014.328,833470.487,43324.791,33068.703,-109.66,24062.41
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas,634152.726,52443.885,58180.408,744777.019,275575.526,407971.609,26348.166,22334.275,665.563,11881.878,663537.452,52101.397,56409.078,772047.927,282482.451,425552.197,30173.489,21935.36,702.859,11201.576,691438.721,52188.429,58201.309,801828.459,289622.76,449759.107,30364.12,21357.108,1549.852,9175.516,720025.533,57989.967,64201.63,842217.13,305447.008,466359.314,33988.407,23459.177,1726.474,11236.74,769663.236,57158.052,67145.805,893967.093,318961.444,499888.402,39571.92,23057.08,1088.841,11399.404,787235.167,44758.645,63767.166,895760.978,306227.032,520567.506,35603.28,20609.911,1449.709,11303.536,808648.006,43455.335,63650.582,915753.923,312706.284,530390.611,35841.605,21547.19,1421.703,13846.526,846773.962,52938.326,72670.798,972383.086,331844.096,555834.177,40195.476,25358.959,2268.113,16882.263,866830.353,60099.152,78719.816,1005649.321,354555.796,562368.477,43023.125,27238.9,1103.42,17359.6,921645.535,63292.347,85314.588,1070252.47,375019.023,602997.266,42759.199,27344.174,1920.711,20212.099,980442.819,73657.048,92288.239,1146388.106,386812.622,659749.669,46598.454,33155.386,1755.243,18316.727,999853.61,73746.911,94626.835,1168227.356,392014.328,675866.802,43324.791,33068.703,-109.66,24062.41
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,8923.922,7446.813,3135.497,19506.232,9051.295,5272.277,1336.337,518.976,-13.238,3340.584,8867.28,6794.707,2816.605,18478.592,8610.925,5225.432,1577.278,419.604,2.086,2643.269,9483.636,6651.282,2744.412,18879.33,8932.194,5629.441,1737.715,580.846,0.163,1998.97,10018.087,7366.046,3053.805,20437.938,9577.337,6039.723,1856.821,1364.58,21.072,1578.405,10552.397,6564.88,2803.863,19921.14,9348.996,6055.672,2129.122,1014.259,10.191,1362.898,9950.25,5555.548,2410.498,17916.296,8962.809,5817.506,1680.994,718.308,32.821,703.856,9678.089,5348.448,2330.905,17357.442,8902.918,6104.309,1032.522,562.774,35.76,719.16,10579.601,6356.3,2776.928,19712.829,9993.882,6678.855,1253.666,782.187,44.977,959.264,11381.458,9669.056,3848.778,24899.292,12884.766,8014.851,1456.593,1760.923,40.881,741.279,11682.011,7787.549,3318.936,22788.496,12006.559,7643.453,1336.17,1115.515,38.289,648.511,13362.34,15780.527,5744.001,34886.868,16762.243,10437.911,1976.317,4864.58,69.317,776.5,13377.856,14396.905,5311.809,33086.57,15435.062,10157.705,1952.291,4363.515,53.575,1124.423
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,896.708,178.785,130.12,1205.613,828.845,167.808,NA,13.416,-0.33,195.874,855.029,150.902,128.426,1134.357,776.222,182.254,NA,5.702,-0.209,170.388,893.089,197.376,147.072,1237.537,834.108,213.424,NA,11.976,1.764,176.265,994.865,195.993,161.753,1352.611,878.013,212.024,NA,11.37,2.067,249.137,1043.109,208.774,159.655,1411.538,933.722,188.587,NA,10.828,0.419,277.982,1065.288,173.499,146.469,1385.256,955.933,182.63,NA,9.923,0.971,235.798,1101.155,179.735,152.816,1433.706,972.671,196.434,NA,7.768,0.049,256.783,1261.746,257.281,204.193,1723.22,1114.797,280.112,NA,14.033,2.521,311.758,1288.475,305.021,228.766,1822.262,1168.603,347.796,NA,20.535,0.98,284.349,1364.231,275.049,222.028,1861.308,1223.881,341.859,NA,18.826,1.784,274.959,1373.742,640.441,337.321,2351.504,1497.093,562.44,NA,22.127,2.664,267.18,1273.812,698.033,359.304,2331.149,1425.047,598.739,NA,18.301,-1.632,290.695
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,5450.18,6932.737,2448.759,14831.676,7176.303,4287.979,NA,437.302,-22.42,2952.512,5218.279,6405.786,2203.783,13827.848,6886.936,4240.905,NA,362.838,2.872,2334.297,5477.185,6142.826,2049.212,13669.223,7009.026,4488.516,NA,500.069,-8.962,1680.574,5700.693,6770.787,2270.682,14742.162,7458.371,4784.819,NA,1278.97,14.384,1205.619,5880.335,5884.508,1976.612,13741.455,7086.914,4813.202,NA,894.254,10.115,936.97,5759.837,4927.041,1628.338,12315.216,6753.539,4612.135,NA,650.375,26.91,272.256,6060.328,4627.68,1505.362,12193.37,6559.601,4773.042,NA,501.089,31.93,327.71,6390.133,5251.096,1720.278,13361.507,7288.949,4958.79,NA,653.308,25.3,435.161,6815.53,6632.937,2129.579,15578.046,8919.516,5395.732,NA,942.323,41.06,279.416,7101.538,6534.528,2122.993,15759.059,8933.068,5560.243,NA,1012.833,25.845,227.07,8079.637,13088.453,4078.101,25246.191,12699.479,7698.062,NA,4457.635,58.262,332.754,8226.208,11623.489,3618.089,23467.786,11385.701,7270.044,NA,4074.392,56.08,681.569
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,1181.85,335.291,556.618,2073.759,1046.147,816.49,NA,9.411,9.512,192.198,1171.203,238.019,484.396,1893.618,947.767,802.273,NA,5.573,-0.577,138.584,1307.823,311.08,548.128,2167.031,1089.06,927.501,NA,0.978,7.361,142.131,1401.735,399.266,621.37,2422.371,1240.953,1042.88,NA,10.268,4.621,123.649,1401.709,471.598,667.596,2540.903,1328.36,1053.883,NA,11.056,-0.343,147.946,1391.54,455.008,635.691,2482.239,1253.337,1022.741,NA,5.419,4.94,195.802,1474.642,541.033,672.727,2688.402,1370.646,1134.833,NA,44.475,3.781,134.667,1658.2,847.923,852.457,3358.58,1590.136,1439.953,NA,98.99,17.156,212.345,1803.822,2731.098,1490.433,6025.353,2796.647,2271.323,NA,781.028,-1.159,177.514,1870.464,977.972,973.915,3822.351,1849.61,1741.351,NA,74.248,10.66,146.482,1912.03,2051.633,1328.579,5292.242,2565.671,2177.409,NA,364.204,8.391,176.566,1898.798,2075.383,1334.416,5308.597,2624.314,2288.922,NA,244.075,-0.873,152.159
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,1395.1844753756948,NA,NA,1395.184,NA,NA,1336.3373828592378,58.847092516456996,NA,NA,1622.7688386938028,NA,NA,1622.769,NA,NA,1577.2781344639002,45.49070422990263,NA,NA,1805.538552242926,NA,NA,1805.539,NA,NA,1737.715386179775,67.82316606315102,NA,NA,1920.7936559693637,NA,NA,1920.794,NA,NA,1856.8214937644336,63.97216220493016,NA,NA,2227.2437606923954,NA,NA,2227.244,NA,NA,2129.1223499490598,98.12141074333576,NA,NA,1733.5853539567931,NA,NA,1733.585,NA,NA,1680.9941917359708,52.59116222082219,NA,NA,1041.964087549694,NA,NA,1041.964,NA,NA,1032.5218238937694,9.442263655924707,NA,NA,1269.5219226559723,NA,NA,1269.522,NA,NA,1253.6658350806902,15.856087575282126,NA,NA,1473.6305688185137,NA,NA,1473.631,NA,NA,1456.5934047204948,17.037164098018735,NA,NA,1345.7781175098219,NA,NA,1345.778,NA,NA,1336.1703988267939,9.607718683028075,NA,NA,1996.9310479851956,NA,NA,1996.931,NA,NA,1976.3171217146764,20.613926270519176,NA,NA,1979.037680672431,NA,NA,1979.038,NA,NA,1952.2908226188215,26.746858053609568,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,29541.111,6.958,18.375,29566.444,5829.904,21595.604,1956.283,178.863,-0.033,5.823,29066.192,8.534,20.203,29094.929,5927.725,21036.61,1981.025,145.345,0.046,4.178,31547.8,24.612,25.221,31597.633,6187.634,22957.317,2112.784,332.27,0.789,6.841,33483.12,58.848,35.95,33577.918,6697.399,24265.912,2317.214,288.499,1.376,7.517,36367.579,344.236,35.187,36747.002,7688.407,26027.999,2783.114,250.499,-5.084,2.064,38558.611,25.982,29.72,38614.313,7399.703,28245.891,2823.26,143.837,0.56,1.063,40023.89,87.104,28.117,40139.111,7624.844,29694.716,2745.258,71.381,2.735,0.177,42785.149,20.45,28.593,42834.192,8423.565,31476.822,2865.03,67.071,0.061,1.643,47410.226,20.159,30.548,47460.933,8817.163,35483.075,3092.039,66.626,0.257,1.774,51268.246,17.181,30.885,51316.312,9600.875,38671.631,2992.121,49.422,0.516,1.746,54812.651,13.334,30.578,54856.563,10443.354,41385.582,2963.813,60.523,0.402,2.889,57095.38,16.822,30.864,57143.066,10379.324,43637.082,3063.76,57.723,-0.006,5.18
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,14.621,NA,NA,14.621,NA,14.621,NA,NA,NA,NA,15.529,NA,NA,15.529,NA,15.529,NA,NA,NA,NA,16.503,NA,NA,16.503,NA,16.503,NA,NA,NA,NA,17.033,NA,NA,17.033,NA,17.033,NA,NA,NA,NA,18.054,NA,NA,18.054,NA,18.054,NA,NA,NA,NA,18.981,NA,NA,18.981,NA,18.981,NA,NA,NA,NA,19.684,NA,NA,19.684,NA,19.684,NA,NA,NA,NA,20.424,NA,NA,20.424,NA,20.424,NA,NA,NA,NA,21.449,NA,NA,21.449,NA,21.449,NA,NA,NA,NA,22.531,NA,NA,22.531,NA,22.531,NA,NA,NA,NA,23.594,NA,NA,23.594,NA,23.594,NA,NA,NA,NA,25.055,NA,NA,25.055,NA,25.055,NA,NA,NA,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,19148.658,4.138,17.454,19170.25,5257.915,13905.719,0.123,0.716,-0.046,5.823,18580.189,0.542,17.575,18598.306,5357.846,13235.671,0.164,0.425,0.023,4.178,20158.661,4.278,18.606,20181.545,5606.509,14567.788,0.145,0.504,0.29,6.31,21877.279,12.742,20.922,21910.943,6050.616,15850.763,0.187,1.397,0.647,7.333,23748.055,305.464,22.553,24076.072,6994.597,17043.321,0.148,41.646,-4.893,1.252,25404.409,0.153,21.311,25425.873,6685.92,18737.616,0.164,0.566,0.577,1.031,26593.734,64.51,20.869,26679.113,6897.521,19768.897,0.165,9.93,2.424,0.177,28201.097,2.246,22.668,28226.011,7663.021,20560.626,0.158,0.85,0.052,1.305,30938.957,NA,24.002,30962.959,7991.798,22969.508,0.18,0.731,0.187,0.556,34084.882,NA,25.274,34110.156,8699.777,25408.914,0.179,0.761,0.375,0.15,36274.936,0.281,26.335,36301.552,9531.17,26767.675,0.139,0.735,0.464,1.369,37154.095,3.985,26.679,37184.759,9463.221,27715.785,0.169,0.693,-0.062,4.953
