Descriptores,2008|Oferta|Producción bruta a precios productor,2008|Oferta|Importaciones C.I.F.,2008|Oferta|Márgenes de comercio y transporte,2008|Oferta y utilización,2008|Utilización|Demanda intermedia,2008|Utilización|Demanda final|Consumo privado,2008|Utilización|Demanda final|Consumo de gobierno,2008|Utilización|Demanda final|Formación bruta de capital fijo,2008|Utilización|Demanda final|Variación de existencias,2008|Utilización|Demanda final|Exportaciones de bienes FOB,2009|Oferta|Producción bruta a precios productor,2009|Oferta|Importaciones C.I.F.,2009|Oferta|Márgenes de comercio y transporte,2009|Oferta y utilización,2009|Utilización|Demanda intermedia,2009|Utilización|Demanda final|Consumo privado,2009|Utilización|Demanda final|Consumo de gobierno,2009|Utilización|Demanda final|Formación bruta de capital fijo,2009|Utilización|Demanda final|Variación de existencias,2009|Utilización|Demanda final|Exportaciones de bienes FOB,2010|Oferta|Producción bruta a precios productor,2010|Oferta|Importaciones C.I.F.,2010|Oferta|Márgenes de comercio y transporte,2010|Oferta y utilización,2010|Utilización|Demanda intermedia,2010|Utilización|Demanda final|Consumo privado,2010|Utilización|Demanda final|Consumo de gobierno,2010|Utilización|Demanda final|Formación bruta de capital fijo,2010|Utilización|Demanda final|Variación de existencias,2010|Utilización|Demanda final|Exportaciones de bienes FOB,2011|Oferta|Producción bruta a precios productor,2011|Oferta|Importaciones C.I.F.,2011|Oferta|Márgenes de comercio y transporte,2011|Oferta y utilización,2011|Utilización|Demanda intermedia,2011|Utilización|Demanda final|Consumo privado,2011|Utilización|Demanda final|Consumo de gobierno,2011|Utilización|Demanda final|Formación bruta de capital fijo,2011|Utilización|Demanda final|Variación de existencias,2011|Utilización|Demanda final|Exportaciones de bienes FOB,2012|Oferta|Producción bruta a precios productor,2012|Oferta|Importaciones C.I.F.,2012|Oferta|Márgenes de comercio y transporte,2012|Oferta y utilización,2012|Utilización|Demanda intermedia,2012|Utilización|Demanda final|Consumo privado,2012|Utilización|Demanda final|Consumo de gobierno,2012|Utilización|Demanda final|Formación bruta de capital fijo,2012|Utilización|Demanda final|Variación de existencias,2012|Utilización|Demanda final|Exportaciones de bienes FOB,2013|Oferta|Producción bruta a precios productor,2013|Oferta|Importaciones C.I.F.,2013|Oferta|Márgenes de comercio y transporte,2013|Oferta y utilización,2013|Utilización|Demanda intermedia,2013|Utilización|Demanda final|Consumo privado,2013|Utilización|Demanda final|Consumo de gobierno,2013|Utilización|Demanda final|Formación bruta de capital fijo,2013|Utilización|Demanda final|Variación de existencias,2013|Utilización|Demanda final|Exportaciones de bienes FOB,2014|Oferta|Producción bruta a precios productor,2014|Oferta|Importaciones C.I.F.,2014|Oferta|Márgenes de comercio y transporte,2014|Oferta y utilización,2014|Utilización|Demanda intermedia,2014|Utilización|Demanda final|Consumo privado,2014|Utilización|Demanda final|Consumo de gobierno,2014|Utilización|Demanda final|Formación bruta de capital fijo,2014|Utilización|Demanda final|Variación de existencias,2014|Utilización|Demanda final|Exportaciones de bienes FOB,2015|Oferta|Producción bruta a precios productor,2015|Oferta|Importaciones C.I.F.,2015|Oferta|Márgenes de comercio y transporte,2015|Oferta y utilización,2015|Utilización|Demanda intermedia,2015|Utilización|Demanda final|Consumo privado,2015|Utilización|Demanda final|Consumo de gobierno,2015|Utilización|Demanda final|Formación bruta de capital fijo,2015|Utilización|Demanda final|Variación de existencias,2015|Utilización|Demanda final|Exportaciones de bienes FOB,2016|Oferta|Producción bruta a precios productor,2016|Oferta|Importaciones C.I.F.,2016|Oferta|Márgenes de comercio y transporte,2016|Oferta y utilización,2016|Utilización|Demanda intermedia,2016|Utilización|Demanda final|Consumo privado,2016|Utilización|Demanda final|Consumo de gobierno,2016|Utilización|Demanda final|Formación bruta de capital fijo,2016|Utilización|Demanda final|Variación de existencias,2016|Utilización|Demanda final|Exportaciones de bienes FOB,2017|Oferta|Producción bruta a precios productor,2017|Oferta|Importaciones C.I.F.,2017|Oferta|Márgenes de comercio y transporte,2017|Oferta y utilización,2017|Utilización|Demanda intermedia,2017|Utilización|Demanda final|Consumo privado,2017|Utilización|Demanda final|Consumo de gobierno,2017|Utilización|Demanda final|Formación bruta de capital fijo,2017|Utilización|Demanda final|Variación de existencias,2017|Utilización|Demanda final|Exportaciones de bienes FOB,2018|Oferta|Producción bruta a precios productor<P>,2018|Oferta|Importaciones C.I.F.<P>,2018|Oferta|Márgenes de comercio y transporte<P>,2018|Oferta y utilización<P>,2018|Utilización|Demanda intermedia<P>,2018|Utilización|Demanda final|Consumo privado<P>,2018|Utilización|Demanda final|Consumo de gobierno<P>,2018|Utilización|Demanda final|Formación bruta de capital fijo<P>,2018|Utilización|Demanda final|Variación de existencias<P>,2018|Utilización|Demanda final|Exportaciones de bienes FOB<P>,2019|Oferta|Producción bruta a precios productor<P>,2019|Oferta|Importaciones C.I.F.<P>,2019|Oferta|Márgenes de comercio y transporte<P>,2019|Oferta y utilización<P>,2019|Utilización|Demanda intermedia<P>,2019|Utilización|Demanda final|Consumo privado<P>,2019|Utilización|Demanda final|Consumo de gobierno<P>,2019|Utilización|Demanda final|Formación bruta de capital fijo<P>,2019|Utilización|Demanda final|Variación de existencias<P>,2019|Utilización|Demanda final|Exportaciones de bienes FOB<P>
Millones de pesos a precios de 2013|Total cultura,788158.684,61349.456,70373.519,919881.659,305849.54,542012.122,35116.138,23703.187,883.944,12316.735,775596.732,56205.084,64430.739,896232.555,300660.374,528064.19,35058.38,21049.728,666.963,10732.922,793886.408,56951.985,68094.522,918932.915,307274.003,542914.37,36107.344,21591.129,1665.465,9380.606,823551.29,60418.324,70715.708,954685.322,322327.507,556163.241,38935.412,23991.236,1828.263,11439.664,874817.498,55653.026,67536.04,998006.564,320451.831,603797.47,38560.174,22582.331,1176.988,11437.772,887701.484,44758.645,63767.166,996227.295,306227.032,621033.823,35603.28,20609.911,1449.709,11303.536,898339.263,42879.351,62877.309,1004095.923,311430.735,622714.886,33802.668,21171.012,1393.493,13583.135,965819.991,44668.812,66251.709,1076740.512,318944.06,679323.008,37275.931,22856.941,2118.345,16222.231,1031755.663,44388.7,66837.247,1142981.61,336810.195,728748.468,38761.469,23289.558,684.162,14687.756,1080571.345,44553.165,68178.423,1193302.933,347320.787,771033.533,36896.472,21206.715,1586.287,15259.14,1123259.76,52618.637,71494.431,1247372.828,369715.982,798049.377,38402.373,26287.4,1375.096,13542.601,1126855.549,55025.787,71444.958,1253326.294,361030.705,812961.297,34731.93,25810.814,-59.786,18851.34
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas,692242.244,61349.456,70373.519,823965.219,305849.54,446095.682,35116.138,23703.187,883.944,12316.735,687061.483,56205.084,64430.739,807697.306,300660.374,439528.941,35058.38,21049.728,666.963,10732.922,700769.246,56951.985,68094.522,825815.753,307274.003,449797.208,36107.344,21591.129,1665.465,9380.606,725741.766,60418.324,70715.708,856875.798,322327.507,458353.717,38935.412,23991.236,1828.263,11439.664,774792.432,55653.026,67536.04,897981.498,320451.831,503772.404,38560.174,22582.331,1176.988,11437.772,787235.167,44758.645,63767.166,895760.978,306227.032,520567.506,35603.28,20609.911,1449.709,11303.536,797756.893,42879.351,62877.309,903513.553,311430.735,522132.516,33802.668,21171.012,1393.493,13583.135,862381.434,44668.812,66251.709,973301.955,318944.06,575884.451,37275.931,22856.941,2118.345,16222.231,923036.26,44388.7,66837.247,1034262.207,336810.195,620029.065,38761.469,23289.558,684.162,14687.756,968690.153,44553.165,68178.423,1081421.741,347320.787,659152.341,36896.472,21206.715,1586.287,15259.14,1005590.438,52618.637,71494.431,1129703.506,369715.982,680380.055,38402.373,26287.4,1375.096,13542.601,1010102.434,55025.787,71444.958,1136573.179,361030.705,696208.182,34731.93,25810.814,-59.786,18851.34
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,10555.997,9530.419,3936.709,24023.125,11585.067,6419.734,1674.656,315.536,-39.114,4067.248,9859.113,7639.136,3185.508,20683.757,10076.157,5895.484,1629.449,300.285,3.02,2779.364,10192.643,7093.89,3003.598,20290.131,9768.033,6088.515,1720.693,524.588,-1.246,2189.548,10560.781,8060.701,3372.925,21994.407,10447.718,6446.982,1836.512,1569.054,19.905,1674.233,10436.809,6581.63,2819.915,19838.354,9486.512,6189.419,1841.891,904.992,10.537,1405.002,9950.25,5555.548,2410.498,17916.296,8962.809,5817.506,1680.994,718.308,32.821,703.856,9401.351,5462.339,2402.995,17266.685,8941.983,5950.317,970.064,631.88,34.953,737.489,9882.542,5926.852,2606.918,18416.312,9220.967,6265.849,1159.281,771.865,37.766,960.582,10233.783,7833.312,3185.491,21252.586,10847.059,7035.196,1312.084,1421.802,30.968,605.474,10087.68,6294.05,2701.194,19082.924,9784.698,6613.122,1148.605,1006.084,29.005,501.412,11123.564,13630.629,4935.807,29690,13614.847,8491.341,1625.558,5188.719,49.758,719.778,10880.077,13451.804,4829.202,29161.083,12724.544,8368.664,1562.861,5152.502,40.272,1312.242
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,1119.289,170.582,167.006,1456.877,1001.855,275.262,NA,14.757,-0.558,165.562,1013.592,140.761,153.451,1307.804,905.486,267.778,NA,5.677,-0.298,129.162,991.553,182.197,156.466,1330.216,927.968,251.581,NA,11.658,2.078,136.93,1056.588,183.004,167.937,1407.529,936.867,246.623,NA,11.812,2.29,209.936,1068.815,199.997,162.646,1431.458,963.316,211.811,NA,10.241,0.373,245.716,1065.288,173.499,146.469,1385.256,955.933,182.63,NA,9.923,0.971,235.798,1086.283,197.382,157.187,1440.852,989.708,208.509,NA,7.936,0.021,234.679,1152.866,251.905,188.313,1593.084,1072.525,287.706,NA,11.581,2.518,218.754,1117.568,264.151,191.198,1572.917,1071.141,315.041,NA,14.909,0.886,170.939,1159.41,245.193,182.873,1587.476,1098.085,311.63,NA,13.495,1.562,162.705,1136.408,601.555,293.446,2031.409,1348.906,527.514,NA,16.392,2.425,136.171,1038.156,712.899,329.292,2080.347,1308.71,605.226,NA,13.418,-1.485,154.478
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,6217.491,9021.455,3131.378,18370.324,9417.774,5077.361,NA,242.088,-44.243,3677.345,5731.839,7272.562,2451.191,15455.592,8098.004,4629.353,NA,239.867,3.622,2484.746,5933.536,6621.983,2233.625,14789.144,7653.07,4806.019,NA,465.941,-9.081,1873.195,6029.349,7500.729,2536.603,16066.681,8177.102,5049.859,NA,1495.238,12.89,1331.59,5987.712,5930.668,1993.118,13911.498,7183.677,4872.885,NA,831.164,10.639,1013.133,5759.837,4927.041,1628.338,12315.216,6753.539,4612.135,NA,650.375,26.91,272.256,5917.17,4682.704,1562.639,12162.513,6556.539,4633.544,NA,569.977,31.228,371.225,6059.863,4892.04,1632.599,12584.502,6649.889,4688.372,NA,672.11,19.708,554.423,6275.659,5476.155,1789.78,13541.594,7393.744,4927.933,NA,886.294,30.523,303.099,6254.843,5212.21,1706.674,13173.727,7112.361,4876.546,NA,940.336,18.803,225.681,6857.691,11437.631,3599.413,21894.735,10259.414,6202.309,NA,4919.175,40.263,473.576,6808.578,11029.65,3432.899,21271.127,9283.88,5909.777,NA,4970.006,42.432,1065.033
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,1492.684,338.382,638.325,2469.391,1165.438,1067.111,NA,6.814,5.687,224.341,1432.462,225.813,580.866,2239.141,1072.667,998.353,NA,2.97,-0.304,165.456,1493.557,289.71,613.507,2396.774,1186.995,1030.915,NA,-6.315,5.757,179.423,1583.781,376.968,668.385,2629.134,1333.749,1150.5,NA,7.453,4.725,132.707,1482.951,450.965,664.151,2598.067,1339.519,1104.723,NA,8.147,-0.475,146.153,1391.54,455.008,635.691,2482.239,1253.337,1022.741,NA,5.419,4.94,195.802,1418.978,582.253,683.169,2684.4,1395.736,1108.264,NA,45.111,3.704,131.585,1496.091,782.907,786.006,3065.004,1498.553,1289.771,NA,73.734,15.54,187.405,1513.142,2093.006,1204.513,4810.661,2382.174,1792.222,NA,505.269,-0.441,131.436,1516.521,836.647,811.647,3164.815,1574.252,1424.946,NA,43.952,8.64,113.026,1486.915,1591.443,1042.948,4121.306,2006.527,1761.518,NA,236.16,7.07,110.031,1448.853,1709.255,1067.011,4225.119,2131.954,1853.661,NA,147.449,-0.675,92.731
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,1726.5327648841396,NA,NA,1726.533,NA,NA,1674.656026586961,51.876738297178676,NA,NA,1681.2201104831124,NA,NA,1681.22,NA,NA,1629.4489901244933,51.77112035861902,NA,NA,1773.9966222562832,NA,NA,1773.997,NA,NA,1720.6925426603864,53.304079595896745,NA,NA,1891.0628640987052,NA,NA,1891.063,NA,NA,1836.5119050079647,54.550959090740356,NA,NA,1897.3305355009113,NA,NA,1897.331,NA,NA,1841.8909122809573,55.439623219954086,NA,NA,1733.5853539567931,NA,NA,1733.585,NA,NA,1680.9941917359708,52.59116222082219,NA,NA,978.9198991020835,NA,NA,978.92,NA,NA,970.0642173140025,8.855681788081021,NA,NA,1173.7215570858975,NA,NA,1173.722,NA,NA,1159.281414171105,14.44014291479236,NA,NA,1327.4140811472453,NA,NA,1327.414,NA,NA,1312.0836931224876,15.330388024757761,NA,NA,1156.9055154329426,NA,NA,1156.906,NA,NA,1148.6046729077527,8.300842525189752,NA,NA,1642.5500149467882,NA,NA,1642.55,NA,NA,1625.5579977826492,16.992017164139156,NA,NA,1584.489817361079,NA,NA,1584.49,NA,NA,1562.8613065624404,21.628510798638636,NA,NA
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,36153.042,8.812,21.476,36183.33,6935.753,26326.01,2774.025,142.124,-0.076,5.494,34163.692,10.47,22.621,34196.783,6714.966,24611.911,2724.843,141.422,0.035,3.607,35284.763,27.198,28.028,35339.989,6763.418,25559.097,2864.016,145.739,0.882,6.837,36283.908,62.32,38.509,36384.737,7040.505,26163.047,3021.417,149.887,1.397,8.485,37752.563,332.03,35.877,38120.47,7782.718,27099.841,3044.777,196.757,-5.574,1.951,38558.611,25.982,29.72,38614.313,7399.703,28245.891,2823.26,143.837,0.56,1.063,38523.192,88.414,28.927,38640.533,7471.535,28514.375,2584.342,67.367,2.749,0.165,40304.175,19.065,27.56,40350.8,7919.197,29709.969,2659.176,61.074,0.054,1.33,43126.447,18.921,27.861,43173.229,8014.857,32309.722,2787.351,59.916,0.222,1.162,44417.134,15.119,26.992,44459.245,8242.067,33596.065,2577.037,42.628,0.394,1.054,45293.219,12.082,26.174,45331.475,8615.244,34218.314,2445.851,49.79,0.3,1.976,45412.204,14.751,25.16,45452.115,8232.7,34690.707,2477.948,46.667,-0.002,4.094
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,18.058,NA,NA,18.058,NA,18.058,NA,NA,NA,NA,18.222,NA,NA,18.222,NA,18.222,NA,NA,NA,NA,18.386,NA,NA,18.386,NA,18.386,NA,NA,NA,NA,18.549,NA,NA,18.549,NA,18.549,NA,NA,NA,NA,18.759,NA,NA,18.759,NA,18.759,NA,NA,NA,NA,18.981,NA,NA,18.981,NA,18.981,NA,NA,NA,NA,18.773,NA,NA,18.773,NA,18.773,NA,NA,NA,NA,18.981,NA,NA,18.981,NA,18.981,NA,NA,NA,NA,19.19,NA,NA,19.19,NA,19.19,NA,NA,NA,NA,19.38,NA,NA,19.38,NA,19.38,NA,NA,NA,NA,19.569,NA,NA,19.569,NA,19.569,NA,NA,NA,NA,19.759,NA,NA,19.759,NA,19.759,NA,NA,NA,NA
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,23160.192,4.822,20.177,23185.191,6265.982,16912.866,0.143,0.799,-0.094,5.494,21585.236,0.567,19.397,21605.2,6073.028,15527.965,0.208,0.385,0.007,3.607,22362.742,4.359,20.592,22387.693,6136.432,16243.927,0.158,0.526,0.335,6.315,23502.485,12.154,22.177,23536.816,6359.138,17167.254,0.201,1.277,0.627,8.32,24630.1,292.303,22.944,24945.347,7070.081,17833.548,0.146,45.726,-5.381,1.227,25404.409,0.153,21.311,25425.873,6685.92,18737.616,0.164,0.566,0.577,1.031,25600.25,64.045,20.993,25685.288,6757.289,18915.53,0.156,9.734,2.415,0.165,26562.059,1.981,21.998,26586.038,7192.654,19391.317,0.147,0.766,0.046,1.108,28253.405,NA,21.701,28275.106,7240.714,21033.03,0.158,0.622,0.156,0.426,29440.674,NA,22.07,29462.744,7424.671,22036.926,0.158,0.586,0.281,0.122,29964.68,0.255,22.324,29987.259,7809.833,22175.344,0.117,0.507,0.349,1.109,29602.221,3.748,21.578,29627.547,7445.793,22177.152,0.132,0.55,-0.046,3.965
