Descriptores,2008|Oferta|Producción bruta a precios productor,2008|Oferta|Importaciones C.I.F.,2008|Oferta|Márgenes de comercio y transporte,2008|Oferta y utilización,2008|Utilización|Demanda intermedia,2008|Utilización|Demanda final|Consumo privado,2008|Utilización|Demanda final|Consumo de gobierno,2008|Utilización|Demanda final|Formación bruta de capital fijo,2008|Utilización|Demanda final|Variación de existencias,2008|Utilización|Demanda final|Exportaciones de bienes FOB,2009|Oferta|Producción bruta a precios productor,2009|Oferta|Importaciones C.I.F.,2009|Oferta|Márgenes de comercio y transporte,2009|Oferta y utilización,2009|Utilización|Demanda intermedia,2009|Utilización|Demanda final|Consumo privado,2009|Utilización|Demanda final|Consumo de gobierno,2009|Utilización|Demanda final|Formación bruta de capital fijo,2009|Utilización|Demanda final|Variación de existencias,2009|Utilización|Demanda final|Exportaciones de bienes FOB,2010|Oferta|Producción bruta a precios productor,2010|Oferta|Importaciones C.I.F.,2010|Oferta|Márgenes de comercio y transporte,2010|Oferta y utilización,2010|Utilización|Demanda intermedia,2010|Utilización|Demanda final|Consumo privado,2010|Utilización|Demanda final|Consumo de gobierno,2010|Utilización|Demanda final|Formación bruta de capital fijo,2010|Utilización|Demanda final|Variación de existencias,2010|Utilización|Demanda final|Exportaciones de bienes FOB,2011|Oferta|Producción bruta a precios productor,2011|Oferta|Importaciones C.I.F.,2011|Oferta|Márgenes de comercio y transporte,2011|Oferta y utilización,2011|Utilización|Demanda intermedia,2011|Utilización|Demanda final|Consumo privado,2011|Utilización|Demanda final|Consumo de gobierno,2011|Utilización|Demanda final|Formación bruta de capital fijo,2011|Utilización|Demanda final|Variación de existencias,2011|Utilización|Demanda final|Exportaciones de bienes FOB,2012|Oferta|Producción bruta a precios productor,2012|Oferta|Importaciones C.I.F.,2012|Oferta|Márgenes de comercio y transporte,2012|Oferta y utilización,2012|Utilización|Demanda intermedia,2012|Utilización|Demanda final|Consumo privado,2012|Utilización|Demanda final|Consumo de gobierno,2012|Utilización|Demanda final|Formación bruta de capital fijo,2012|Utilización|Demanda final|Variación de existencias,2012|Utilización|Demanda final|Exportaciones de bienes FOB,2013|Oferta|Producción bruta a precios productor,2013|Oferta|Importaciones C.I.F.,2013|Oferta|Márgenes de comercio y transporte,2013|Oferta y utilización,2013|Utilización|Demanda intermedia,2013|Utilización|Demanda final|Consumo privado,2013|Utilización|Demanda final|Consumo de gobierno,2013|Utilización|Demanda final|Formación bruta de capital fijo,2013|Utilización|Demanda final|Variación de existencias,2013|Utilización|Demanda final|Exportaciones de bienes FOB,2014|Oferta|Producción bruta a precios productor,2014|Oferta|Importaciones C.I.F.,2014|Oferta|Márgenes de comercio y transporte,2014|Oferta y utilización,2014|Utilización|Demanda intermedia,2014|Utilización|Demanda final|Consumo privado,2014|Utilización|Demanda final|Consumo de gobierno,2014|Utilización|Demanda final|Formación bruta de capital fijo,2014|Utilización|Demanda final|Variación de existencias,2014|Utilización|Demanda final|Exportaciones de bienes FOB,2015|Oferta|Producción bruta a precios productor,2015|Oferta|Importaciones C.I.F.,2015|Oferta|Márgenes de comercio y transporte,2015|Oferta y utilización,2015|Utilización|Demanda intermedia,2015|Utilización|Demanda final|Consumo privado,2015|Utilización|Demanda final|Consumo de gobierno,2015|Utilización|Demanda final|Formación bruta de capital fijo,2015|Utilización|Demanda final|Variación de existencias,2015|Utilización|Demanda final|Exportaciones de bienes FOB,2016|Oferta|Producción bruta a precios productor,2016|Oferta|Importaciones C.I.F.,2016|Oferta|Márgenes de comercio y transporte,2016|Oferta y utilización,2016|Utilización|Demanda intermedia,2016|Utilización|Demanda final|Consumo privado,2016|Utilización|Demanda final|Consumo de gobierno,2016|Utilización|Demanda final|Formación bruta de capital fijo,2016|Utilización|Demanda final|Variación de existencias,2016|Utilización|Demanda final|Exportaciones de bienes FOB,2017|Oferta|Producción bruta a precios productor,2017|Oferta|Importaciones C.I.F.,2017|Oferta|Márgenes de comercio y transporte,2017|Oferta y utilización,2017|Utilización|Demanda intermedia,2017|Utilización|Demanda final|Consumo privado,2017|Utilización|Demanda final|Consumo de gobierno,2017|Utilización|Demanda final|Formación bruta de capital fijo,2017|Utilización|Demanda final|Variación de existencias,2017|Utilización|Demanda final|Exportaciones de bienes FOB,2018|Oferta|Producción bruta a precios productor<P>,2018|Oferta|Importaciones C.I.F.<P>,2018|Oferta|Márgenes de comercio y transporte<P>,2018|Oferta y utilización<P>,2018|Utilización|Demanda intermedia<P>,2018|Utilización|Demanda final|Consumo privado<P>,2018|Utilización|Demanda final|Consumo de gobierno<P>,2018|Utilización|Demanda final|Formación bruta de capital fijo<P>,2018|Utilización|Demanda final|Variación de existencias<P>,2018|Utilización|Demanda final|Exportaciones de bienes FOB<P>,2019|Oferta|Producción bruta a precios productor<P>,2019|Oferta|Importaciones C.I.F.<P>,2019|Oferta|Márgenes de comercio y transporte<P>,2019|Oferta y utilización<P>,2019|Utilización|Demanda intermedia<P>,2019|Utilización|Demanda final|Consumo privado<P>,2019|Utilización|Demanda final|Consumo de gobierno<P>,2019|Utilización|Demanda final|Formación bruta de capital fijo<P>,2019|Utilización|Demanda final|Variación de existencias<P>,2019|Utilización|Demanda final|Exportaciones de bienes FOB<P>
Millones de pesos a precios corrientes|Total cultura,709503.322,52443.885,58180.409,820127.616,275575.523,483322.2,26348.167,22334.276,665.565,11881.878,736740.14,52101.396,56409.078,845250.614,282482.454,498754.886,30173.49,21935.357,702.857,11201.576,772526.983,52188.428,58201.307,882916.718,289622.756,530847.368,30364.118,21357.111,1549.852,9175.516,810397.758,57989.968,64201.63,932589.356,305447.006,556731.551,33988.408,23459.175,1726.475,11236.74,865877.448,57158.052,67145.804,990181.304,318961.443,596102.611,39571.92,23057.08,1088.842,11399.404,887701.488,44758.646,63767.162,996227.296,306227.026,621033.826,35603.281,20609.909,1449.709,11303.536,913217.357,43455.334,63650.583,1020323.274,312706.28,634959.956,35841.605,21547.188,1421.706,13846.526,959857.853,52938.326,72670.801,1085466.98,331844.094,668918.067,40195.476,25358.961,2268.116,16882.263,993378.664,60099.149,78719.814,1132197.627,354555.799,688916.782,43023.125,27238.899,1103.421,17359.6,1060431.697,63292.346,85314.588,1209038.631,375019.02,741783.424,42759.199,27344.177,1920.712,20212.097,1131895.724,73657.048,92288.239,1297841.011,386812.625,811202.568,46598.455,33155.388,1755.244,18316.731,1157457.294,73746.911,94626.838,1325831.043,392014.326,833470.483,43324.791,33068.686,-109.66,24062.413
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios,592143.001,52443.885,58180.409,702767.295,274886.476,393830.636,1812.745,19689.987,665.565,11881.878,616628.047,52101.396,56409.078,725138.521,281698.938,410243.307,2308.045,18983.804,702.857,11201.576,643607.649,52188.428,58201.307,753997.384,288814.374,433922.512,2091.843,18443.29,1549.852,9175.516,667243.502,57989.968,64201.63,789435.1,304509.545,448560.931,2721.576,20679.832,1726.475,11236.74,709264.524,57158.052,67145.804,833568.38,317916.992,480493.26,2432.123,20237.755,1088.842,11399.404,731201.668,44758.646,63767.162,839727.476,305203.157,500305.31,2552.437,18913.319,1449.709,11303.536,750503.197,43455.334,63650.583,857609.114,311562.709,508743.52,2801.497,19233.142,1421.706,13846.526,783310.477,52938.326,72670.801,908919.604,330572.467,532590.227,2751.441,23855.087,2268.116,16882.263,799751.916,60099.149,78719.814,938570.879,353171.116,538042.183,3111.737,25782.821,1103.421,17359.6,854044.818,63292.346,85314.588,1002651.752,373570.765,577613.368,3150.556,26184.253,1920.712,20212.097,905849.728,73657.048,92288.239,1071795.015,385248.292,632168.867,2814.239,31491.643,1755.244,18316.731,929115.335,73746.911,94626.838,1097489.084,390528.113,647704.817,3080.907,32222.49,-109.66,24062.413
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,322796.282,49523.479,57552.727,429872.488,169862.481,229715.791,1812.745,18544.324,693.664,9243.476,325314.629,49047.124,55792.763,430154.516,173520.693,226794.286,2308.045,17716.093,783.125,9032.281,344209.722,50212.618,57496.947,451919.287,177748.546,246041.401,2091.843,17032.31,1407.49,7597.708,369863.484,55750.378,63427.892,489041.754,188496.489,267779.767,2721.576,19127.274,1503.243,9413.399,395143.685,53843.624,66339.951,515327.26,193266.2,290741.238,2432.123,18443.759,1117.676,9326.262,407886.677,42106.863,62997.153,512990.693,179677.594,302753.651,2552.437,17081.003,1288.989,9637.016,425296.09,40625.713,62828.19,528749.993,186276.151,308922.261,2801.497,17277.301,1230.463,12242.313,461871.104,49364.692,71605.716,582841.512,200305.007,341086.858,2751.441,21441.942,2164.817,15091.444,491952.496,53896.617,76992.365,622841.478,216344.429,364080.891,3111.737,22545.793,909.55,15849.075,531280.539,59023.971,84126.715,674431.225,232012.16,394779.731,3150.556,23706.409,1825.13,18957.239,564559.839,66877.872,90629.978,722067.689,246873.658,424872.215,2814.239,28604.423,1720.156,17182.994,574565.869,62505.225,92942.255,730013.349,240625.211,433934.395,3080.907,29546.662,-57.135,22883.308
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,130429.084,48497.018,57552.727,236478.829,80471.818,130490.124,1541.762,14067.78,693.664,9213.679,131063.332,46291.567,55792.763,233147.662,83452.439,124746.38,2017.541,13147.93,783.125,9000.251,136417.926,46557.153,57496.947,240472.026,83371.307,134178.552,1772.092,12206.315,1407.49,7536.275,149776.281,51355.186,63427.892,264559.359,89080.817,148388.366,2314.376,13917.156,1503.243,9355.402,158937.992,49546.422,66339.951,274824.365,86650.494,163312.634,1776.563,12701.461,1117.676,9265.538,161477.87,38906.656,62997.153,263381.679,72211.747,167712.934,2025.349,10543.548,1288.989,9599.114,167300.405,36899.098,62828.19,267027.693,73727.856,167813.681,2038.404,10013.779,1230.463,12203.508,185594.291,45521.348,71605.716,302721.355,81957.334,188207.763,1939.928,13408.842,2164.817,15042.669,198569.649,49510.387,76992.365,325072.401,88863.79,203720.727,2263.416,13496.66,909.55,15818.256,214576.957,53637.624,84126.715,352341.296,95984.478,219446.827,2311.44,13838.435,1825.13,18934.982,226951.751,61585.018,90629.978,379166.747,100490.123,239284.713,1917.465,18766.495,1720.156,16987.792,238095.379,57292.137,92942.255,388329.771,97501.02,247397.872,2447.961,18342.946,-57.135,22697.107
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,96328.094,NA,30433.494,126761.588,23462.346,96845.212,NA,5504.261,949.77,NA,95088.077,NA,29819.235,124907.312,24635.059,94124.912,NA,5447.614,699.727,NA,104212.686,NA,32781.086,136993.772,25818.786,104599.406,NA,5799.905,775.676,NA,111918.647,NA,35384.595,147303.242,28894.736,111908.418,NA,6082.859,417.229,NA,122969.86,NA,38818.43,161788.29,30723.529,124204.684,NA,6341.94,518.137,NA,127418.441,NA,40058.364,167476.805,30162.75,130372.592,NA,6054.765,886.699,NA,132295.32,NA,40912.624,173207.944,32084.949,134466.98,NA,5932.282,723.733,NA,146363.725,NA,45684.069,192047.794,35334.851,147799.31,NA,7021.294,1892.339,NA,158432.325,NA,49601.618,208033.943,36355.807,164252.497,NA,6971.263,454.376,NA,173902.975,NA,54903.206,228806.181,43309.589,176916.889,NA,7309.399,1270.303,NA,187176.177,NA,59143.619,246319.796,44047.017,193151.742,NA,8044.992,1076.046,NA,195378.796,NA,61841.744,257220.54,46264.516,203286.93,NA,7907.903,-238.809,NA
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,229.18599999999998,6888.737,2475.288,9593.211,5827.191999999999,154.73700000000002,NA,568.534,-28.232,3070.9800000000005,197.06799999999998,6518.898,2352.308,9068.274,5771.053000000001,182.09700000000004,NA,618.889,-9.29,2505.527,158.70999999999998,6586.309,2314.357,9059.376,5936.9490000000005,255.148,NA,1007.6120000000001,-12.93,1872.5990000000002,184.90300000000002,7156.458,2485.427,9826.788,6306.867000000001,501.396,NA,1656.932,-4.237,1365.829,169.287,7225.711,2489.418,9884.416,6269.539,577.013,NA,1972.854,-2.585,1067.5950000000003,158.79,6028.372,2069.846,8257.008,5852.062000000001,555.3489999999999,NA,1416.018,19.91,413.669,164.833,4909.013,1688.323,6762.169,5263.217,326.851,NA,780.803,30.406000000000002,360.89300000000003,164.73000000000002,5287.401,1842.0409999999997,7294.172,5754.201,254.85899999999998,NA,858.0020000000001,16.538999999999998,410.57,150.703,6550.407,2253.3860000000004,8954.496,7186.598999999999,361.948,NA,1142.1950000000002,39.012,224.73999999999998,140.139,6436.709,2216.2010000000005,8793.049,7045.0199999999995,378.991,NA,1159.062,23.645,186.32999999999998,129.441,13042.191,4193.343,17364.975,10683.019999999999,1672.405,NA,4645.9839999999995,40.25300000000001,323.31399999999996,155.77100000000002,11444.759,3692.527,15293.057,9240.386,1135.698,NA,4178.108,53.002,685.863
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,17952.293999999998,27862.751999999997,14148.806,59963.852,35907.157999999996,16019.477,NA,5341.778,-122.21000000000001,2817.648,20190.688000000002,26441.266,14463.985,61095.939,40136.479999999996,13187.728,NA,4560.122,80.68100000000001,3130.9300000000003,16898.928,27666.065000000002,13557.627,58122.62,37711.179,14122.437000000002,NA,3031.099,193.08899999999997,3064.817,21959.8,30399.265,15808.115000000002,68167.18,40107.939,18629.22,NA,3628.518,622.1110000000001,5179.393,18255.296,28711.253999999997,14229.07,61195.62,34538.42599999999,18891.218999999997,NA,1602.486,619.4200000000001,5544.0689999999995,17425.254,20257.769,11411.524000000001,49094.547,23851.497,17129.481,NA,1010.578,231.509,6871.481999999999,18191.239,18057.763000000003,10590.649000000001,46839.651,23810.164,13132.775000000001,NA,871.045,241.71800000000002,8783.948,20341.328,24072.126,13141.557,57555.011,27304.272000000004,18115.167,NA,1007.3870000000001,80.876,11047.307999999999,19782.227,27133.915,13920.836000000001,60836.978,31516.220000000005,17310.105,NA,1038.483,151.576,10820.593,18528.648,30786.743,14956.992000000002,64272.383,30043.975000000002,19110.454,NA,748.922,156.199,14212.833999999999,18379.803,29589.304999999997,14722.147,62691.255,28118.547,21272.317,NA,732.641,529.7429999999999,12038.005,22155.943,26496.032,14946.574,63598.549,24905.597999999998,20507.53,NA,513.523,187.28199999999998,17484.617000000002
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",2497.962,4605.7,2117.497,9221.159,4982.98,728.566,NA,2199.4,35.161,1275.052,1833.479,4777.146,1984.26,8594.885,4188.716,962.49,NA,2028.505,82.626,1332.548,1576.827,3793.789,1593.877,6964.493,3291.584,1132.268,NA,1994.793,32.394,513.454,1423.891,4337.939,1713.45,7475.28,3105.973,1501.592,NA,2113.471,10.675,743.569,1640.111,3615.888,1562.646,6818.645,2497.88,1540.209,NA,2127.432,63.094,590.031,1757.89,3157.723,1460.093,6375.706,1822.554,2622.783,NA,1485.53,53.432,391.407,1972.353,4080.77,1770.577,7823.7,2310.632,3141.865,NA,1984.629,78.226,308.347,3308.349,5688.946,2671.596,11668.891,2801.022,4202.375,NA,3902.428,129.167,633.899,4301.557,4457.982,2594.66,11354.199,2610.339,3650.562,NA,3863.949,66.682,1162.667,5440.67,4564.638,2981.417,12986.725,3557.706,4073.927,NA,4176.744,52.665,1125.682,5500.438,5858.095,3368.308,14726.841,4031.795,4594.867,NA,4889.621,33.778,1176.78,5758.848,6391.974,3614.089,15764.911,4421.664,5024.831,NA,5179.543,-72.877,1211.749
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,951.407,1112.59,759.647,2823.644,243.63,2276.255,NA,453.797,-159.559,9.521,1075.02,1093.861,803.289,2972.17,245.977,2299.149,NA,492.798,-83.805,18.052,1138.91,1019.749,791.402,2950.061,212.789,1949.848,NA,372.903,397.566,16.955,1330.581,1098.098,892.004,3320.683,237.795,2206.778,NA,435.18,419.386,21.543,1352.803,1366.427,998.454,3717.684,291.257,2863.612,NA,656.738,-114.283,20.36,1388.915,1281.102,979.589,3649.606,285.25,2698.911,NA,576.642,70.149,18.654,1470.597,1176.901,957.94,3605.438,276.588,2736.45,NA,445.016,118.202,29.182,1638.898,1556.286,1171.899,4367.083,327.744,3390.313,NA,619.724,1.32,27.981,1762.195,1664.207,1253.98,4680.382,304.995,3394.109,NA,480.768,158.658,341.852,1895.384,1669.028,1311.497,4875.909,312.645,3485.464,NA,444.306,303.627,329.867,2011.981,1788.586,1392.307,5192.874,340.964,3952.709,NA,453.255,14.533,431.412,2027.661,1951.834,1461.812,5441.307,371.156,4094.174,NA,563.869,14.102,398.007
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",12347.89,8027.2390000000005,7577.908,27953.037,10043.623,14308.434,1541.762,0.01,18.728,2040.478,12557.823,7460.396,6329.683999999999,26347.903,8469.712,13834.395,2017.541,0.002,13.058,2013.194,12298.57,7491.241,6415.07,26204.881,10393.814,11948.707999999999,1772.092,0.003,21.815,2068.45,12811.052,8363.426,7096.072,28270.55,10418.984,13454.007000000001,2314.376,0.196,37.92,2045.068,14388.042000000001,8627.142,8188.75,31203.934,12320.764,15029.168,1776.563,0.011,33.945,2043.483,13175.190999999999,8181.6900000000005,6967.608,28324.489,10228.464,14139.486,2025.349,0.015,27.274,1903.902,13054.515000000001,8674.651,6859.275,28588.441,9972.428,13818.315,2038.404,0.004,38.150999999999996,2721.138,13615.128999999999,8916.589,7041.585000000001,29573.303,10425.035,14240.91,1939.928,0.007,44.512,2922.9109999999996,13966.852,9703.876,7311.238,30981.966,10879.051,14531.989000000001,2263.416,0.002,39.105000000000004,3268.404,14485.841,10180.506,7697.313999999999,32363.661,11703.927,15249.399,2311.44,0.002,18.622,3080.2690000000002,13561.100999999999,11306.841,7747.341,32615.283,13255.993999999999,14397.867,1917.465,0.002,25.671999999999997,3018.281,12426.317,11007.538,7322.665,30756.52,12285.666000000001,13106.008,2447.961,NA,0.01399999999999979,2916.871
