Descriptores,2008|Oferta|Producción bruta a precios productor,2008|Oferta|Importaciones C.I.F.,2008|Oferta|Márgenes de comercio y transporte,2008|Oferta y utilización,2008|Utilización|Demanda intermedia,2008|Utilización|Demanda final|Consumo privado,2008|Utilización|Demanda final|Consumo de gobierno,2008|Utilización|Demanda final|Formación bruta de capital fijo,2008|Utilización|Demanda final|Variación de existencias,2008|Utilización|Demanda final|Exportaciones de bienes FOB,2009|Oferta|Producción bruta a precios productor,2009|Oferta|Importaciones C.I.F.,2009|Oferta|Márgenes de comercio y transporte,2009|Oferta y utilización,2009|Utilización|Demanda intermedia,2009|Utilización|Demanda final|Consumo privado,2009|Utilización|Demanda final|Consumo de gobierno,2009|Utilización|Demanda final|Formación bruta de capital fijo,2009|Utilización|Demanda final|Variación de existencias,2009|Utilización|Demanda final|Exportaciones de bienes FOB,2010|Oferta|Producción bruta a precios productor,2010|Oferta|Importaciones C.I.F.,2010|Oferta|Márgenes de comercio y transporte,2010|Oferta y utilización,2010|Utilización|Demanda intermedia,2010|Utilización|Demanda final|Consumo privado,2010|Utilización|Demanda final|Consumo de gobierno,2010|Utilización|Demanda final|Formación bruta de capital fijo,2010|Utilización|Demanda final|Variación de existencias,2010|Utilización|Demanda final|Exportaciones de bienes FOB,2011|Oferta|Producción bruta a precios productor,2011|Oferta|Importaciones C.I.F.,2011|Oferta|Márgenes de comercio y transporte,2011|Oferta y utilización,2011|Utilización|Demanda intermedia,2011|Utilización|Demanda final|Consumo privado,2011|Utilización|Demanda final|Consumo de gobierno,2011|Utilización|Demanda final|Formación bruta de capital fijo,2011|Utilización|Demanda final|Variación de existencias,2011|Utilización|Demanda final|Exportaciones de bienes FOB,2012|Oferta|Producción bruta a precios productor,2012|Oferta|Importaciones C.I.F.,2012|Oferta|Márgenes de comercio y transporte,2012|Oferta y utilización,2012|Utilización|Demanda intermedia,2012|Utilización|Demanda final|Consumo privado,2012|Utilización|Demanda final|Consumo de gobierno,2012|Utilización|Demanda final|Formación bruta de capital fijo,2012|Utilización|Demanda final|Variación de existencias,2012|Utilización|Demanda final|Exportaciones de bienes FOB,2013|Oferta|Producción bruta a precios productor,2013|Oferta|Importaciones C.I.F.,2013|Oferta|Márgenes de comercio y transporte,2013|Oferta y utilización,2013|Utilización|Demanda intermedia,2013|Utilización|Demanda final|Consumo privado,2013|Utilización|Demanda final|Consumo de gobierno,2013|Utilización|Demanda final|Formación bruta de capital fijo,2013|Utilización|Demanda final|Variación de existencias,2013|Utilización|Demanda final|Exportaciones de bienes FOB,2014|Oferta|Producción bruta a precios productor,2014|Oferta|Importaciones C.I.F.,2014|Oferta|Márgenes de comercio y transporte,2014|Oferta y utilización,2014|Utilización|Demanda intermedia,2014|Utilización|Demanda final|Consumo privado,2014|Utilización|Demanda final|Consumo de gobierno,2014|Utilización|Demanda final|Formación bruta de capital fijo,2014|Utilización|Demanda final|Variación de existencias,2014|Utilización|Demanda final|Exportaciones de bienes FOB,2015|Oferta|Producción bruta a precios productor,2015|Oferta|Importaciones C.I.F.,2015|Oferta|Márgenes de comercio y transporte,2015|Oferta y utilización,2015|Utilización|Demanda intermedia,2015|Utilización|Demanda final|Consumo privado,2015|Utilización|Demanda final|Consumo de gobierno,2015|Utilización|Demanda final|Formación bruta de capital fijo,2015|Utilización|Demanda final|Variación de existencias,2015|Utilización|Demanda final|Exportaciones de bienes FOB,2016|Oferta|Producción bruta a precios productor,2016|Oferta|Importaciones C.I.F.,2016|Oferta|Márgenes de comercio y transporte,2016|Oferta y utilización,2016|Utilización|Demanda intermedia,2016|Utilización|Demanda final|Consumo privado,2016|Utilización|Demanda final|Consumo de gobierno,2016|Utilización|Demanda final|Formación bruta de capital fijo,2016|Utilización|Demanda final|Variación de existencias,2016|Utilización|Demanda final|Exportaciones de bienes FOB,2017|Oferta|Producción bruta a precios productor,2017|Oferta|Importaciones C.I.F.,2017|Oferta|Márgenes de comercio y transporte,2017|Oferta y utilización,2017|Utilización|Demanda intermedia,2017|Utilización|Demanda final|Consumo privado,2017|Utilización|Demanda final|Consumo de gobierno,2017|Utilización|Demanda final|Formación bruta de capital fijo,2017|Utilización|Demanda final|Variación de existencias,2017|Utilización|Demanda final|Exportaciones de bienes FOB,2018|Oferta|Producción bruta a precios productor<P>,2018|Oferta|Importaciones C.I.F.<P>,2018|Oferta|Márgenes de comercio y transporte<P>,2018|Oferta y utilización<P>,2018|Utilización|Demanda intermedia<P>,2018|Utilización|Demanda final|Consumo privado<P>,2018|Utilización|Demanda final|Consumo de gobierno<P>,2018|Utilización|Demanda final|Formación bruta de capital fijo<P>,2018|Utilización|Demanda final|Variación de existencias<P>,2018|Utilización|Demanda final|Exportaciones de bienes FOB<P>,2019|Oferta|Producción bruta a precios productor<P>,2019|Oferta|Importaciones C.I.F.<P>,2019|Oferta|Márgenes de comercio y transporte<P>,2019|Oferta y utilización<P>,2019|Utilización|Demanda intermedia<P>,2019|Utilización|Demanda final|Consumo privado<P>,2019|Utilización|Demanda final|Consumo de gobierno<P>,2019|Utilización|Demanda final|Formación bruta de capital fijo<P>,2019|Utilización|Demanda final|Variación de existencias<P>,2019|Utilización|Demanda final|Exportaciones de bienes FOB<P>
Millones de pesos a precios de 2013|Total cultura,788158.689,61349.456,70373.52,919881.665,305849.541,542012.12,35116.139,23703.191,883.943,12316.733,775596.732,56205.081,64430.74,896232.553,300660.374,528064.191,35058.377,21049.73,666.961,10732.923,793886.403,56951.983,68094.524,918932.91,307274.006,542914.367,36107.343,21591.129,1665.462,9380.606,823551.283,60418.323,70715.707,954685.313,322327.505,556163.237,38935.411,23991.235,1828.262,11439.662,874817.503,55653.027,67536.04,998006.57,320451.828,603797.471,38560.173,22582.331,1176.987,11437.772,887701.488,44758.646,63767.162,996227.296,306227.026,621033.826,35603.281,20609.909,1449.709,11303.536,898339.262,42879.352,62877.307,1004095.921,311430.735,622714.884,33802.666,21171.012,1393.493,13583.135,965819.992,44668.812,66251.705,1076740.509,318944.055,679323.005,37275.931,22856.942,2118.343,16222.231,1031755.662,44388.696,66837.246,1142981.604,336810.196,728748.467,38761.468,23289.559,684.164,14687.756,1080571.343,44553.163,68178.423,1193302.929,347320.787,771033.531,36896.472,21206.711,1586.285,15259.141,1123259.766,52618.635,71494.433,1247372.834,369715.982,798049.382,38402.376,26287.401,1375.095,13542.602,1126855.549,55025.787,71444.958,1253326.294,361030.706,812961.293,34731.934,25810.803,-59.788,18851.343
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios,637338.102,61349.456,70373.52,769061.078,304925.875,426714.757,2190.124,22029.648,883.943,12316.733,632725.324,56205.081,64430.74,753361.145,299686.275,419899.497,2995.898,19379.594,666.961,10732.923,645075.546,56951.983,68094.524,770122.053,306327.733,430629.345,2247.369,19871.541,1665.462,9380.606,666729.411,60418.323,70715.707,797863.441,321310.834,438169.705,2883.556,22231.422,1828.262,11439.662,715401.953,55653.027,67536.04,838591.02,319397.315,483381.766,2403.323,20793.849,1176.987,11437.772,731201.668,44758.646,63767.162,839727.476,305203.157,500305.31,2552.437,18913.319,1449.709,11303.536,743063.529,42879.352,62877.307,848820.188,310353.008,501730.635,2759.2,19000.72,1393.493,13583.135,804562.759,44668.812,66251.705,915483.276,317800.483,555195.29,2659.564,21487.363,2118.343,16222.231,863533.086,44388.696,66837.246,974759.028,335590.351,599003.434,2813.979,21979.35,684.164,14687.756,910841.955,44553.163,68178.423,1023573.541,346080.582,637594.388,2848.579,20204.564,1586.285,15259.141,944712.865,52618.635,71494.433,1068825.933,368447.589,658195.391,2349.281,24915.979,1375.095,13542.602,953661.522,55025.787,71444.958,1080132.267,359834.86,673944.783,2434.528,25126.537,-59.788,18851.343
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,394799.385,57818.148,69601.277,522218.81,203965.656,284907.462,2190.124,20536.062,933.098,9686.409,374926.16,52978.356,63710.552,491615.068,197081.133,264379.279,2995.898,17831.825,765.629,8561.31,387079.434,54899.191,67328.495,509307.12,202155.29,277256.005,2247.369,18325.116,1522.599,7800.742,398411.142,58150.482,69892.153,526453.777,204443.895,287329.182,2883.556,20574.417,1578.327,9644.401,406425.821,52401.546,66713.17,525540.537,194207.987,299357.006,2403.323,18953.239,1213.126,9405.849,407886.677,42106.863,62997.153,512990.693,179677.594,302753.651,2552.437,17081.003,1288.989,9637.016,411214.779,40142.747,62048.49,513406.016,183660.521,296755.507,2759.2,16997.377,1210.689,12022.723,431216.83,41715.839,65287.979,538220.648,186572.52,313888.603,2659.564,19307.22,2027.009,13765.732,437740.49,39953.163,65458.565,543152.218,190272.466,317575.53,2813.979,19219.962,523.444,12746.839,449854.58,41556.961,67210.053,558621.594,194680.412,327826.351,2848.579,18045.16,1508.203,13712.894,458075.908,47864.642,70184.931,576125.481,200116.895,337539.099,2349.281,22557.781,1345.794,12216.629,446907.089,47213.912,70072.481,564193.482,189701.589,331634.236,2434.528,22959.212,-20.431,17484.345
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,163532.959,56538.797,69601.277,289673.033,97133.115,164949.147,1903.068,15107.732,933.098,9646.875,151320.871,50137.003,63710.552,265168.426,94375.54,146199.22,2703.498,12601.684,765.629,8522.856,157424.938,50951.214,67328.495,275704.647,98122.625,153436.091,1930.73,12962.066,1522.599,7730.536,162745.297,53507.573,69892.153,286145.023,98670.89,158831.169,2490.418,14993.539,1578.327,9580.681,163705.392,48160.771,66713.17,278579.333,85613.579,167493.33,1807.049,13109.778,1213.126,9342.466,161477.87,38906.656,62997.153,263381.679,72211.747,167712.934,2025.349,10543.548,1288.989,9599.114,161858.841,36621.335,62048.49,260528.666,74054.099,161279.197,2013.952,9985.541,1210.689,11985.189,170511.668,38656.209,65287.979,274455.856,75364.412,169535.066,1856.757,11951.447,2027.009,13721.165,171599.981,37048.548,65458.565,274107.094,75099.163,172682.251,1997.025,11084.893,523.444,12720.321,175248.493,38131.79,67210.053,280590.336,77517.011,175464.043,1988.344,10417.581,1508.203,13695.155,177012.238,44498.917,70184.931,291696.086,78866.587,182709.172,1540.066,15173.411,1345.794,12061.057,177613.212,43898.903,70072.481,291584.596,74655.801,183019.145,1941.653,14652.476,-20.431,17335.951
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,120729.995,NA,38089.713,158819.708,29405.686,121539.081,NA,6676.802,1198.139,NA,114488.609,NA,36209.362,150697.971,29278.649,114001.922,NA,6668.468,748.932,NA,122000.286,NA,38525.7,160525.986,29652.321,123094.996,NA,6910.984,867.685,NA,122277.516,NA,38651.626,160929.142,30853.478,122583.14,NA,7050.914,441.61,NA,127708.95,NA,40377.2,168086.15,31513.071,129179.607,NA,6857.99,535.482,NA,127418.441,NA,40058.364,167476.805,30162.75,130372.592,NA,6054.765,886.699,NA,126970.409,NA,39879.682,166850.091,31629.041,128549.955,NA,5963.979,707.116,NA,134366.736,NA,42195.993,176562.729,33770.135,134439.985,NA,6573.645,1778.964,NA,137516.293,NA,43388.627,180904.92,32421.142,142165.89,NA,6190.928,126.962,NA,141319.676,NA,44673.492,185993.168,35702.115,143535.446,NA,5690.142,1065.466,NA,145379.838,NA,46269.626,191649.464,34318.59,150519.417,NA,5972.947,838.509,NA,144438.144,NA,45947.347,190385.491,34144.436,151007.834,NA,5430.866,-197.646,NA
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,240.115,8940.962,3202.543,12383.62,8050.198,194.41799999999998,NA,377.958,-54.118,3815.164,183.51999999999998,7269.923,2599.228,10052.671,6759,179.99,NA,471.107,-12.388,2654.9610000000002,210.97199999999998,7099.304,2517.6490000000003,9827.925,6470.255,287.224,NA,1004.712,-13.017,2078.7509999999997,224.777,7983.7210000000005,2782.3630000000003,10990.861,6979.666,563.186,NA,1945.93,-4.624,1506.704,194.97,7254.973,2508.828,9958.771,6315.25,607.364,NA,1877.696,-2.41,1160.8690000000001,158.79,6028.372,2069.846,8257.008,5852.062000000001,555.3489999999999,NA,1416.018,19.91,413.669,167.166,5060.023,1759.987,6987.176,5316.07,324.95000000000005,NA,898.3,30.874,416.983,160.902,5043.951,1753.224,6958.077,5252.384999999999,231.069,NA,897.5619999999999,14.161,562.901,125.00399999999999,5517.375,1895.8249999999998,7538.204,5856.530000000001,279.701,NA,1079.124,29.533,293.317,106.5,5224.582,1783.486,7114.568,5502.249000000001,285.114,NA,1073.92,17.157,236.128,91.741,11575.104,3704.172,15371.017,8640.876,1061.614,NA,5113.751,30.016,524.7579999999999,108.868,11012.138,3508.4939999999997,14629.5,7536.987999999999,803.885,NA,5069.798,39.843999999999994,1178.9869999999999
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,22565.511,30494.04,16325.367,69384.918,42362.213,19612.510000000002,NA,4692.967,-89.08599999999998,2806.314,18760.486,27706.11,14200.251,60666.847,42516.81,12013.811,NA,3245.152,41.00900000000001,2850.0670000000005,18060.675,30439.516000000003,16385.594,64885.785,45023.414000000004,13844.150000000001,NA,2654.1310000000003,175.74900000000002,3188.341,23891.221999999998,31491.317000000003,18628.343,74010.882,45657.708999999995,18401.150999999998,NA,3670.819,646.1240000000001,5635.0779999999995,18710.137000000002,27549.615,13934.443,60194.195,33174.867000000006,18757.951,NA,1765.032,713.21,5783.132,17425.254,20257.769,11411.524000000001,49094.547,23851.497,17129.481,NA,1010.578,231.509,6871.481999999999,18909.656,17540.101000000002,10747.771,47197.528,24030.656,13097.36,NA,883.6789999999999,241.72799999999998,8944.106,19222.564,19595.245000000003,11401.856,50219.665,23625.438000000002,15383.055,NA,814.307,80.02,10316.844000000001,17074.5,19141.425,10707.085,46923.01,24223.084,12703.562999999998,NA,719.34,138.96699999999998,9138.055,16088.92,20483.804,10995.609,47568.333,23094.02,13341.838,NA,512.854,128.28300000000002,10491.339,15124.323,19407.845,10554.822,45086.99,21284.036,14081.066,NA,468.926,417.54600000000005,8835.417,18108.475,18790.65,11250.298999999999,48149.424,19163.341999999997,15114.323,NA,366.463,174.531,13330.766
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",3061.715,6010.517,2694.719,11766.951,6494.5,1127.528,NA,2896.134,44.092,1204.698,2134.211,5366.854,2228.082,9729.147,5774.546,970.673,NA,1749.097,73.569,1161.262,1762.212,4562.598,1878.632,8203.442,4345.573,1352.745,NA,2019.347,30.223,455.553,1538.861,4959.452,1930.177,8428.49,4476.547,1355.941,NA,1905.547,8.719,681.736,1702.54,3686.161,1600.651,6989.352,3136.083,1236.306,NA,1994.909,54.771,567.283,1757.89,3157.723,1460.093,6375.706,1822.554,2622.783,NA,1485.53,53.432,391.407,1896.763,3928.706,1730.33,7555.799,2485.966,2882.914,NA,1825.836,71.473,289.609,2923.371,4543.942,2218.009,9685.322,2467.539,3421.049,NA,3152.145,107.568,537.02,3448.98,3022.897,1922.303,8394.18,2114.053,2682.963,NA,2699.289,55.486,842.39,3494.685,3191.108,1985.857,8671.65,2485.169,2681.749,NA,2769.91,35.902,698.921,3448.98,3921.653,2189.403,9560.036,2845.519,2787.769,NA,3232.591,23.055,671.103,3593.127,4212.851,2318.663,10124.641,3066.839,2980.364,NA,3343.562,-48.656,782.531
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,1313.913,1167.185,910.278,3391.376,304.125,2799.567,NA,463.864,-187.264,11.085,1372.248,1052.848,889.732,3314.828,288.921,2641.57,NA,467.858,-100.728,17.207,1361.136,1051.563,885.184,3297.883,238.901,2228.228,NA,372.889,439.737,18.128,1462.527,1113.256,945.017,3520.8,252.848,2376.078,NA,420.153,448.876,22.845,1456.972,1260.008,996.82,3713.8,301.447,2899.385,NA,614.142,-119.764,18.59,1388.915,1281.102,979.589,3649.606,285.25,2698.911,NA,576.642,70.149,18.654,1439.533,1089.42,927.835,3456.788,268.943,2628.424,NA,413.743,118.413,27.265,1492.284,1293.348,1022.007,3807.639,299.739,2970.228,NA,513.783,1.244,22.646,1498.777,1328.663,1037.346,3864.786,264.356,2788.239,NA,396.211,135.658,280.321,1535.245,1339.311,1054.632,3929.188,260.297,2804.122,NA,370.754,244.398,249.616,1592.884,1461.486,1120.603,4174.973,287.204,3202.99,NA,385.195,11.708,287.877,1576.946,1481.767,1122.197,4180.91,298.971,3166.86,NA,441.787,10.771,262.52
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",15480.132,9926.093,8332.387999999999,33738.613,10510.527,19494.069,1903.068,0.007,21.328000000000003,1809.614,14244.360999999999,8741.268,7538.981,30524.61,9751.325,16215.326000000001,2703.498,0.002,15.100000000000001,1839.359,13884.551,7798.233,7088.314,28771.098,12385.335,12442.919,1930.73,0.003,22.348,1989.763,13197.925,7959.826999999999,6904.799,28062.551,10441.717,13358.458999999999,2490.418,0.176,37.464,1734.318,13766.315999999999,8410.014,7241.139,29417.469,11163.743,14602.187,1807.049,0.009,31.887999999999998,1812.5919999999999,13175.190999999999,8181.6900000000005,6967.608,28324.489,10228.464,14139.486,2025.349,0.015,27.274,1903.902,12325.298999999999,9003.085,6953.8589999999995,28282.243,10313.669,13606.334,2013.952,0.004,41.058,2307.2259999999997,12187.82,8179.723,6645.2570000000005,27012.8,9939.392,12889.898,1856.757,0.005,44.994,2281.754,11778.436,8038.188,6455.746,26272.37,10210.025000000001,11862.375,1997.025,0.001,36.707,2166.238,12541.641,7892.985,6664.091,27098.717,10463.206,12611.07,1988.344,0.001,16.944,2019.151,11209.425000000001,8132.829000000001,6292.366,25634.62,11479.775,10848.016,1540.066,0.001,24.860999999999997,1741.902,9630.121000000001,8401.497,5873.9980000000005,23905.616,10435.238,9746.966999999999,1941.653,NA,0.6109999999999998,1781.147
