Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total del país,25438305.621,24549787.526,27452160.601,30404922.558,33036601.074,33560663.817,35965281.346,38798720.333,42807210.33,47077853.481,50901924.052,51898117.039
Millones de pesos a precios corrientes|Total cultura,820127.613,845250.615,882916.721,932589.364,990181.304,996227.295,1020323.267,1085466.978,1132197.63,1209038.627,1297841.004,1325831.041
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas,744777.019,772047.927,801828.459,842217.13,893967.093,895760.978,915753.923,972383.086,1005649.321,1070252.47,1146388.106,1168227.356
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,19506.232,18478.592,18879.33,20437.938,19921.14,17916.296,17357.442,19712.829,24899.292,22788.496,34886.868,33086.57
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,1205.613,1134.357,1237.537,1352.611,1411.538,1385.256,1433.706,1723.22,1822.262,1861.308,2351.504,2331.149
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,14831.676,13827.848,13669.223,14742.162,13741.455,12315.216,12193.37,13361.507,15578.046,15759.059,25246.191,23467.786
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,2073.759,1893.618,2167.031,2422.371,2540.903,2482.239,2688.402,3358.58,6025.353,3822.351,5292.242,5308.597
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,1395.184,1622.769,1805.539,1920.794,2227.244,1733.585,1041.964,1269.522,1473.631,1345.778,1996.931,1979.038
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,29566.444,29094.929,31597.633,33577.918,36747.002,38614.313,40139.111,42834.192,47460.933,51316.312,54856.563,57143.066
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,14.621,15.529,16.503,17.033,18.054,18.981,19.684,20.424,21.449,22.531,23.594,25.055
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,19170.25,18598.306,20181.545,21910.943,24076.072,25425.873,26679.113,28226.011,30962.959,34110.156,36301.552,37184.759
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,7125.447,7220.465,7752.522,7748.438,8245.788,8728.434,9131.684,10091.315,11624.199,12295.426,13621.263,14818.656
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,169.221,178.193,206.397,252.599,248.591,247.54,250.951,261.134,271.443,284.306,289.039,299.229
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",540.763,550.017,610.909,639.053,714.239,758.391,762.816,795.386,867.487,953.196,972.917,1067.511
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,411.835,406.637,385.352,405.723,452.439,468.727,488.32,508.829,555.642,610.094,624.736,627.235
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,2134.307,2125.782,2444.405,2604.129,2991.819,2966.367,2806.543,2931.093,3157.754,3040.603,3023.462,3120.621
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos,18924.972,19202.132,19737.13,21314.405,17063.875,13628.309,14233.031,15408.273,15951.751,16408.393,17778.714,18696.041
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Instrumentos musicales,2827.121,2975.509,2953.68,3324.49,3721.43,3654.01,3610.001,4372.211,4685.551,4881.678,5198.895,5447.816
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Música,11559.021,11517.415,11733.207,12709.63,7680.414,4142.008,4921.444,5107.296,4903.059,4961.444,5716.451,5860.758
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Conciertos,2455.759,2608.001,2772.555,2860.967,3032.882,3187.612,3305.532,3429.856,3602.009,3783.728,3962.225,4207.65
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Propiedad intelectual en música,382.897,414.781,408.444,437.135,426.127,465.027,407.829,427.825,456.192,477.583,542.687,699.866
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Gestión pública en música y conciertos,1700.174,1686.426,1869.244,1982.183,2203.022,2179.652,1988.225,2071.085,2304.94,2303.96,2358.456,2479.951
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa",61046.828,60552.493,60639.734,64964.586,70523.118,65614.795,66867.32,70499.45,73581.513,74924.839,74854.748,68092.952
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Agencias noticiosas",160.173,177.749,178.208,176.075,178.606,184.148,188.199,203.852,195.566,193.725,180.835,171.628
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Libros",24678.198,24198.419,23651.704,25219.688,27346.116,26013.699,26477.04,27943.382,29174.054,30710.365,29674.074,28763.555
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Periódicos",14159.648,13667.963,13825.552,14558.48,15044.82,14727.298,14818.713,15524.959,15477.329,15145.741,14560.643,12459.466
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Revistas",6116.053,5808.169,5674.175,5807.835,6205.334,5849.799,5699.364,5740.459,6070.926,6198.233,5802.583,5191.9
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Otros productos editoriales e impresos",7596.287,6707.202,7759.13,8993.651,10133.477,9367.72,10012.011,9941.439,10703.819,10754.144,12624.624,11968.665
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Publicaciones digitales",1560.604,1540.48,1429.317,1353.204,1536.773,1448.076,1665.622,1830.428,1888.55,1590.738,1004.561,829.9
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Propiedad intelectual en libros",402.304,403.932,406.915,422.227,436.677,444.14,456.381,494.073,481.062,495.058,465.651,444.083
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Gestión pública en libros, impresiones y prensa",6373.561,8048.579,7714.733,8433.426,9641.315,7579.915,7549.99,8820.858,9590.207,9836.835,10541.777,8263.755
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales,393418.598,422261.398,434017.371,447964.373,471925.227,475138.869,478352.766,498264.665,494605.781,526428.412,557315.087,572655.539
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Cine,20749.426,22395.987,25038.837,26846.396,30454.085,31175.113,31294.695,35231.571,40494.417,42916.499,44005.866,47892.545
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Internet,253458.818,275264.391,281167.876,278077.79,294311.801,302240.182,302670.301,296895.186,282206.513,296040.433,313945.989,330567.234
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Radio,38501.222,37431.29,37794.394,42963.113,41512.863,37182.376,39162.61,50889.976,55579.162,59302.736,55334.563,54815.077
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Televisión,58996.11,65398.656,69664.035,78541.435,80601.63,81174.711,83464.311,90620.131,90050.575,99357.925,111082.438,106681.624
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Videojuegos,12736.749,12038.75,10010.042,10464.25,11425.751,10372.683,7642.356,8923.477,10122.728,13510.651,15760.967,15749.504
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Propiedad intelectual en medios audiovisuales,5106.306,5126.799,5521.687,5852.099,6485.18,7117.675,7309.501,8087.513,8511.194,8449.551,9040.141,9109.653
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Gestión pública en audiovisuales,3869.967,4605.525,4820.5,5219.29,7133.917,5876.129,6808.992,7616.811,7641.192,6850.617,8145.123,7839.902
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías,127028.88,125224.664,137296.975,147684.864,162172.155,167888.069,173780.669,192632.394,208496.619,229276.264,246857.554,257625.936
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Alfarería y cerámica,3195.874,3193.354,3791.704,4017.188,4140.012,3726.041,3861.29,4024.01,3488.419,4798.825,3992.432,6865.757
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Fibras vegetales y textiles,33605.818,33408.767,37358.517,40213.647,42533.482,45398.824,45890.541,51926.711,60613.894,63253.869,71237.083,74094.307
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Madera, maque y laca, instrumentos musicales y juguetería",31065.807,29398.982,32132.896,33719.697,37847.856,36995.617,37780.244,43660.586,44290.537,45915.498,51361.317,51570.351
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Cartón y papel, plástica popular, cerería y pirotecnia",5461.384,5815.58,6103.006,6724.502,7291.068,7500.006,8245.4,8936.202,8626.869,9552.93,11431.655,11039.559
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Metalistería, joyería y orfebrería",4061.59,4447.849,4985.636,5688.174,6172.274,5982.394,6377.961,6522.736,10446.485,12135.848,14717.945,14812.352
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Lapidaria, cantería y vidrio",12326.405,11997.299,11735.562,12585.357,12976.218,14156.902,15722,17577.326,16354.533,22500.328,18744.941,20159.836
