Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios de 2013|Total del país,31292219.694,28839019.581,30890946.832,31988850.173,33236393.311,33560663.817,34717573.92,35901996.047,36645119.885,37671233.786,38596241.135,38547842.24
Millones de pesos a precios de 2013|Total cultura,919881.659,896232.555,918932.915,954685.322,998006.564,996227.295,1004095.923,1076740.512,1142981.61,1193302.933,1247372.828,1253326.294
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas,823965.219,807697.306,825815.753,856875.798,897981.498,895760.978,903513.553,973301.955,1034262.207,1081421.741,1129703.506,1136573.179
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,24023.125,20683.757,20290.131,21994.407,19838.354,17916.296,17266.685,18416.312,21252.586,19082.924,29690,29161.083
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,1456.877,1307.804,1330.216,1407.529,1431.458,1385.256,1440.852,1593.084,1572.917,1587.476,2031.409,2080.347
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,18370.324,15455.592,14789.144,16066.681,13911.498,12315.216,12162.513,12584.502,13541.594,13173.727,21894.735,21271.127
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,2469.391,2239.141,2396.774,2629.134,2598.067,2482.239,2684.4,3065.004,4810.661,3164.815,4121.306,4225.119
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,1726.533,1681.22,1773.997,1891.063,1897.331,1733.585,978.92,1173.722,1327.414,1156.906,1642.55,1584.49
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,36183.33,34196.783,35339.989,36384.737,38120.47,38614.313,38640.533,40350.8,43173.229,44459.245,45331.475,45452.115
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,18.058,18.222,18.386,18.549,18.759,18.981,18.773,18.981,19.19,19.38,19.569,19.759
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,23185.191,21605.2,22387.693,23536.816,24945.347,25425.873,25685.288,26586.038,28275.106,29462.744,29987.259,29627.547
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,8724.323,8409.028,8612.849,8277.432,8497.84,8728.434,8828.955,9542.777,10463.857,10715.815,11221.759,11651.251
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,206.888,208.32,229.696,273.766,258.845,247.54,250.856,249.151,252.955,252.889,247.65,244.948
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",657.17,637.085,669.849,685.064,741.586,758.391,739.294,748.336,795.312,832.584,804.093,838.804
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,476.493,453.256,412.445,423.284,462.431,468.727,475.548,486.18,520.322,556.911,556.127,545.873
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,2915.207,2865.672,3009.071,3169.826,3195.662,2966.367,2641.819,2719.337,2846.487,2618.922,2495.018,2523.933
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos,20489.654,20086.523,21197.803,22258.721,17145.223,13628.309,13894.429,13910.583,13743.334,13702.712,14496.638,14993.413
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Instrumentos musicales,3395.755,3318.797,3302.063,3525.035,3717.925,3654.01,3461.388,3812.532,3869.677,3934.387,4180.225,4186.427
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Música,11540.657,11194.281,12192.752,12867.807,7512.743,4142.008,4933.377,4505.994,4095.131,4056.105,4563.26,4860.521
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Conciertos,3032.894,3060.172,3087.488,3114.786,3151.201,3187.612,3222.658,3257.734,3292.824,3327.905,3359.764,3391.625
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Propiedad intelectual en música,379.808,405.835,402.538,437.027,426.061,465.027,393.878,393.878,403.643,395.273,436.196,533.851
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Gestión pública en música y conciertos,2140.54,2107.438,2212.962,2314.066,2337.293,2179.652,1883.128,1940.445,2082.059,1989.042,1957.193,2020.989
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa",73601.894,67095.397,65467.876,66550.415,68600.983,65614.795,65455.425,65968.586,65160.303,64186.281,61183.944,54511.634
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Agencias noticiosas",176.552,188.736,186.384,184.678,177.263,184.148,186.727,194.461,181.018,168.497,150.819,140.323
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Libros",30877.633,28013.053,25701.991,25441.947,26888.42,26013.699,25751.13,25677.763,24760.887,25534.4,23190.766,22457.554
