Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total del país,25438305.621,24549787.526,27452160.601,30404922.558,33036601.074,33560663.817,35965281.346,38798720.333,42807210.33,47077853.481,50901924.052,51898117.039
Millones de pesos a precios corrientes|Total cultura,820127.616,845250.614,882916.718,932589.356,990181.304,996227.296,1020323.274,1085466.98,1132197.627,1209038.631,1297841.011,1325831.043
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios,702767.295,725138.521,753997.384,789435.1,833568.38,839727.476,857609.114,908919.604,938570.879,1002651.752,1071795.015,1097489.084
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,429872.488,430154.516,451919.287,489041.754,515327.26,512990.693,528749.993,582841.512,622841.478,674431.225,722067.689,730013.349
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,236478.829,233147.662,240472.026,264559.359,274824.365,263381.679,267027.693,302721.355,325072.401,352341.296,379166.747,388329.771
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,126761.588,124907.312,136993.772,147303.242,161788.29,167476.805,173207.944,192047.794,208033.943,228806.181,246319.796,257220.54
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,9593.211,9068.274,9059.376,9826.788,9884.416,8257.008,6762.169,7294.172,8954.496,8793.049,17364.975,15293.057
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,59963.852,61095.939,58122.62,68167.18,61195.62,49094.547,46839.651,57555.011,60836.978,64272.383,62691.255,63598.549
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",9221.159,8594.885,6964.493,7475.28,6818.645,6375.706,7823.7,11668.891,11354.199,12986.725,14726.841,15764.911
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,2823.644,2972.17,2950.061,3320.683,3717.684,3649.606,3605.438,4367.083,4680.382,4875.909,5192.874,5441.307
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",27953.037,26347.903,26204.881,28270.55,31203.934,28324.489,28588.441,29573.303,30981.966,32363.661,32615.283,30756.52
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",162.338,161.179,176.823,195.636,215.776,203.518,200.35,215.101,230.437,243.388,255.723,254.887
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,193393.659,197006.854,211447.261,224482.395,240502.895,249609.014,261722.3,280120.157,297769.077,322089.929,342900.942,341683.578
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,166.154,175.291,183.433,197.725,208.522,216.496,228.837,235.548,247.239,261.311,273.002,287.507
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",20784.408,20385.242,22035.802,23803.002,25789.309,27508.402,28841.734,30485.223,33271.624,36489.532,38812.049,40013.279
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,15189.437,15367.861,17640.81,19127.441,22142.116,24444.327,26285.558,29955.283,34806.111,37612.33,39158.954,44150.357
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",164.182,174.361,185.357,191.272,202.762,213.111,220.997,229.308,240.815,252.965,264.898,281.308
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",22295.457,21360.378,21894.224,23278.623,24352.319,24207.491,24466.936,25598.86,25808.722,26104.959,25282.788,22876.218
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,7394.662,7741.79,8180.443,8675.629,9326.926,9939.049,10617.67,11052.076,11746.516,12486.842,13689.862,14587.584
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,6382.553,6478.311,6912.295,6874.031,7288.908,7684.628,8115.008,9014.098,10427.995,10981.246,12279.938,13471.045
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,4970.998,4786.363,5064.169,5230.411,5429.816,5283.312,5565.796,5856.457,6291.27,6552.272,7528.241,7647.089
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",10686.64,11195.649,12130.617,12735.402,13228.261,14058.909,15330.285,16826.565,18467.454,19306.986,20238.873,20291.02
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,512.35,496.982,536.439,567.695,661.457,696.302,680.291,729.031,802.14,863.428,887.801,900.343
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",1784.913,1783.134,2018.762,2100.881,2299.025,2507.874,2442.685,2588.141,2874.029,3157.462,3222.679,3237.768
