Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios de 2013|Total del país,31292219.694,28839019.581,30890946.832,31988850.173,33236393.311,33560663.817,34717573.92,35901996.047,36645119.885,37671233.786,38596241.135,38547842.24
Millones de pesos a precios de 2013|Total cultura,919881.665,896232.553,918932.91,954685.313,998006.57,996227.296,1004095.921,1076740.509,1142981.604,1193302.929,1247372.834,1253326.294
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios,769061.078,753361.145,770122.053,797863.441,838591.02,839727.476,848820.188,915483.276,974759.028,1023573.541,1068825.933,1080132.267
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,522218.81,491615.068,509307.12,526453.777,525540.537,512990.693,513406.016,538220.648,543152.218,558621.594,576125.481,564193.482
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,289673.033,265168.426,275704.647,286145.023,278579.333,263381.679,260528.666,274455.856,274107.094,280590.336,291696.086,291584.596
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,158819.708,150697.971,160525.986,160929.142,168086.15,167476.805,166850.091,176562.729,180904.92,185993.168,191649.464,190385.491
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,12383.62,10052.671,9827.925,10990.861,9958.771,8257.008,6987.176,6958.077,7538.204,7114.568,15371.017,14629.5
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,69384.918,60666.847,64885.785,74010.882,60194.195,49094.547,47197.528,50219.665,46923.01,47568.333,45086.99,48149.424
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",11766.951,9729.147,8203.442,8428.49,6989.352,6375.706,7555.799,9685.322,8394.18,8671.65,9560.036,10124.641
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,3391.376,3314.828,3297.883,3520.8,3713.8,3649.606,3456.788,3807.639,3864.786,3929.188,4174.973,4180.91
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",33738.613,30524.61,28771.098,28062.551,29417.469,28324.489,28282.243,27012.8,26272.37,27098.717,25634.62,23905.616
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",187.847,182.352,192.528,202.297,219.596,203.518,199.041,209.624,209.624,214.712,218.986,209.014
