Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Puestos de trabajo|Total cultura,899607,860665,867644,875247,898327,918431,918029,944972,958397,982704,984057,962903
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas,887809,851533,856973,861636,881751,900664,904146,930504,943651,967668,968650,947118
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,19421,18665,18761,18986,18901,18413,18003,18431,18502,18875,19622,19501
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,2431,2347,2347,2458,2485,2499,2511,2621,2644,2666,2461,2291
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,10234,9870,9967,9872,9791,9730,9903,9924,9889,10243,11078,11192
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,1650,1438,1417,1495,1403,1273,1315,1364,1395,1399,1407,1407
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,2570,2484,2547,2630,2700,2727,2710,2720,2761,2768,2796,2814
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,2536,2526,2483,2531,2522,2184,1564,1802,1813,1799,1880,1797
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,16933,16347,16531,16767,19144,18196,17313,16915,16304,16578,16538,15969
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,79,79,79,79,79,79,79,79,80,80,81,82
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,2513,2422,2459,2473,2433,2435,2368,2319,2335,2397,2365,2355
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,5094,4983,5089,4937,4789,4645,4455,4453,4330,4479,4437,4607
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,274,276,280,284,287,294,297,301,306,308,313,317
"Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",1087,1053,1075,1082,1046,1031,977,941,921,924,878,885
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,864,815,732,762,792,745,731,744,776,804,840,861
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,6990,6688,6786,7118,9685,8933,8373,8044,7522,7552,7590,6827
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Comercio de bienes para artes escénicas y espectáculos,32,31,31,32,33,34,33,34,34,34,34,35
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos,41739,41761,42003,42452,42586,43005,43296,43540,44610,45098,45079,45206
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Instrumentos musicales,4409,4162,4084,4102,3869,3657,3800,3643,3925,4212,4346,4234
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Música,1340,1301,1344,1358,1354,1451,1435,1466,1516,1386,1438,1395
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Conciertos,30145,30420,30695,30965,31335,31696,32012,32364,32704,33038,33364,33683
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Propiedad intelectual en música,347,359,363,373,368,368,349,362,376,329,333,308
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Comercio de bienes para música,1546,1494,1532,1581,1624,1640,1630,1636,1661,1665,1681,1693
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Gestión pública en música y conciertos,3952,4025,3985,4073,4036,4193,4070,4069,4428,4468,3917,3893
"Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa",64835,63768,62514,62231,59135,58125,59006,59057,57907,56522,54946,52954
"Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Agencias noticiosas",277,291,291,286,291,303,306,305,269,251,224,223
"Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Libros",15983,15779,15072,14419,12408,12108,13124,13165,12888,12333,11399,10833
"Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Periódicos",18574,18472,18200,18202,17738,17417,17417,17218,16675,15966,15427,14904
