Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Puestos de trabajo|Total cultura,899607,860665,867644,875247,898327,918431,918029,944972,958397,982704,984057,962903
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios,786347,750220,755135,757288,771252,793920,797359,823473,836969,861681,862416,844063
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,636519,602660,609215,607829,619543,641233,643153,667948,681189,706619,706341,688520
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,419370,388185,395191,392259,401648,420242,423122,444577,456020,477876,474596,457642
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,370381,344446,359314,358288,371750,380319,380513,402084,413280,434085,430624,414422
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,186,150,94,86,80,5,147,147,149,161,167,168
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,19925,14819,8457,9768,9345,19782,20499,20432,20661,22182,23275,23667
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",2901,3414,3177,926,1030,1436,1369,1476,1550,1541,1592,1615
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,4404,4157,4078,4097,3863,3650,3793,3636,3918,4204,4338,4225
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",20866,20543,19391,18447,14908,14443,16202,16217,15882,15106,14039,13008
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",707,656,680,647,672,607,599,585,580,597,561,537
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,217149,214475,214024,215570,217895,220991,220031,223371,225169,228743,231745,230878
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,739,741,741,766,774,794,822,823,841,850,859,863
