Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Puestos de trabajo|Total cultura,1277482,1234272,1247804,1261076,1292187,1314988,1317296,1349036,1377763,1407663,1417828,1395644
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas,1051671,1012502,1018758,1028191,1054969,1076982,1077631,1108555,1127234,1151178,1158172,1135781
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,21966,21108,21325,21528,21603,21477,20933,21311,21537,21904,22636,22519
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,2620,2531,2543,2646,2699,2763,2768,2890,2933,2954,2727,2553
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,10948,10552,10660,10588,10534,10615,10652,10647,10609,10927,11772,11859
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,2045,1797,1849,1821,1744,1735,1780,1747,1853,1853,1818,1815
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,3817,3702,3790,3942,4104,4180,4169,4225,4329,4371,4439,4495
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,2536,2526,2483,2531,2522,2184,1564,1802,1813,1799,1880,1797
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,22633,21933,22268,22412,24486,23664,22693,22620,22101,22506,22342,21922
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,79,79,79,79,79,109,109,109,110,110,111,112
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,3390,3273,3341,3363,3277,3328,3227,3286,3337,3410,3345,3366
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,8736,8584,8830,8550,8159,8044,7835,7978,7875,8122,8035,8291
Puestos de trabajo|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,395,398,403,408,413,422,426,431,437,439,446,450
