Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Puestos de trabajo|Total cultura,1277482,1234272,1247804,1261076,1292187,1314988,1317296,1349036,1377763,1407663,1417828,1395644
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios,949991,910969,916707,923621,944242,970015,970615,1001304,1020320,1044973,1051718,1032505
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,750329,713892,720223,721630,736750,759329,757772,784768,800582,825463,829823,810505
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,426627,394809,401872,399400,410459,429948,430620,452880,464371,486120,483605,466003
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,370381,344446,359314,358288,371750,380319,380513,402084,413280,434085,430624,414422
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,231,177,121,118,109,171,172,182,182,192,201,196
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,22359,16827,10849,12534,12298,22909,23245,24137,24195,25792,27580,27290
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",2901,3414,3177,926,1030,1894,1568,1607,1634,1571,1595,1622
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,5171,4878,4783,4806,4600,4731,4880,4849,5232,5579,5899,5723
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",24838,24372,22909,22043,19961,19281,19611,19401,19232,18277,17117,16187
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",746,695,719,685,711,643,631,620,616,624,589,563
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,323702,319083,318351,322230,326291,329381,327152,331888,336211,339343,346218,344502
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,941,942,942,967,976,995,1031,1032,1054,1066,1078,1083
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",32323,32550,32871,33192,33634,34015,34263,34613,35001,35375,35707,36054
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,18948,18739,18589,19489,19408,21760,21970,23184,25195,26906,27152,29169
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",802,808,816,823,831,869,877,886,893,901,910,919
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",34744,33488,33106,33622,33815,33412,32083,30929,29673,28946,28139,27189
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,36870,36899,37497,37985,38852,38570,38439,37571,38223,39791,41061,41444
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,5986,5914,6085,5805,5641,5458,5360,5407,5338,5576,5642,5848
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,10531,10190,10350,10277,10226,10226,10262,10243,10195,10508,11333,11424
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",19669,19529,19678,20172,20183,20289,19599,19568,20987,22608,23830,23465
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,1806,1824,1762,1821,1883,1930,1968,1975,1894,1907,1876,1889
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",5637,5471,5622,5622,5157,5296,5069,5263,5191,5212,4898,4999
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),38908,38208,37625,37412,37913,38718,38405,38651,37959,38104,41422,39931
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,79770,77822,76434,76434,78176,78420,78275,82335,84735,85126,85490,84927
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",3304,3236,3105,3026,3046,3054,3031,2902,2693,2342,2301,2238
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",3046,3106,2968,2882,3005,2933,2825,2794,2782,2715,2679,2653
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,30417,30357,30901,32701,33545,33436,33695,34535,34398,32260,32700,31270
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,199662,197077,196484,201991,207492,210686,212843,216536,219738,219510,221895,222000
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,5635,5287,5390,5510,5465,5336,5568,5677,6147,6212,6455,6564
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,2668,2554,2577,2667,2601,2553,2628,2719,3040,3074,3306,3412
"Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",2967,2733,2813,2843,2864,2783,2940,2958,3107,3138,3149,3152
Puestos de trabajo|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,194027,191790,191094,196481,202027,205350,207275,210859,213591,213298,215440,215436
