Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total del país,12037449.298,11658910.621,12824221.194,14160747.846,15334939.699,15642619.845,16579960.505,17499014.26,18870690.391,20722063.696,22220046.929,23012426.154
Millones de pesos a precios corrientes|Total cultura,450883.532,462054.135,487067.053,508218.955,533584.005,548565.548,563690.025,597322.007,614470.074,659225.026,704093.316,724452.878
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas,384311.027,397603.121,415310.254,428671.914,449037.812,459955.18,471527.894,497477.012,504259.503,538424.922,573140.974,588016.456
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,6941.94,6547.382,6667.585,7209.696,7112.987,6598.218,6248.102,7070.5,8426.331,7955.78,10891.45,10528.636
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,480.14,449.48,464.592,513.193,552.501,566.121,572.726,672.636,677.954,716.642,723.643,669.998
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,2567.629,2468.444,2598.231,2717.076,2812.709,2760.145,2891.123,3066.218,3275.611,3398.926,3815.422,3866.434
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,381.028,387.834,433.91,469.54,466.093,469.409,484.13,580.517,631.428,641.427,657.008,652.641
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,2797.97,2496.387,2372.795,2637.981,2355.133,1952.487,1837.202,2231.348,3247.576,2651.909,5035.006,4580.315
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,715.173,745.237,798.057,871.906,926.551,850.056,462.921,519.781,593.762,546.876,660.371,759.248
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,20782.039,20282.808,22044.517,23701.189,25668.147,27405.822,28309.493,30211.85,33343.209,36352.724,38847.583,40377.346
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,8.12,8.658,9.239,9.508,10.103,10.822,11.248,11.689,12.105,12.676,13.295,14.229
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,16247.031,15748.956,17079.724,18560.746,20157.255,21562.885,22613.666,23961.312,26277.716,28961.991,30870.767,31643.4
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,2733.461,2743.166,2984.174,3015.611,3250.485,3466.526,3640.318,4096.229,4702.85,4940.511,5580.68,6111.316
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,85.244,84.753,91.408,98.844,101.297,111.653,115.95,125.632,130.144,139.249,143.837,149.52
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",157.431,156.631,179.216,186.432,209.323,229.184,229.464,240.445,261.664,288.297,302.276,327.791
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,171.779,169.6,160.668,169.148,188.608,195.37,203.538,212.08,231.704,254.397,260.506,261.465
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,1364.759,1354.788,1519.449,1630.078,1721.422,1805.309,1473.28,1542.598,1703.891,1732.942,1654.385,1847.78
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Comercio de bienes para artes escénicas y espectáculos,14.214,16.256,20.639,30.822,29.654,24.073,22.029,21.865,23.135,22.661,21.837,21.845
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos,7032.814,7291.325,7572.815,8164.055,7170.347,6436.644,6393.603,6847.424,7242.36,7547.462,8105.273,8724.804
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Instrumentos musicales,372.019,424.127,453.58,527.654,536.417,541.477,580.472,650.01,716.644,770.889,818.181,836.056
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Música,1026.614,1018.666,1079.646,1139.085,1094.353,1096.291,1023.413,1098.853,1181.144,1233.034,1354.85,1681.694
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Conciertos,1573.471,1668.448,1780.982,1836.024,1955.177,2063.834,2143.071,2220.827,2320.378,2434.293,2552.421,2720.963
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Propiedad intelectual en música,205.832,220.604,214.053,226.801,216.607,232.725,217.76,228.432,244.266,256.609,292.217,379.567
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Comercio de bienes para música,2869.104,2950.719,2912.01,3198.244,2083.528,1174.254,1322.305,1531.071,1514.577,1520.414,1692.437,1660.658
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Gestión pública en música y conciertos,985.774,1008.761,1132.544,1236.247,1284.265,1328.063,1106.582,1118.231,1265.351,1332.223,1395.167,1445.866
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa",21497.483,20515.057,20707.119,22049.368,24122.565,22697.951,22364.047,23200.38,23857.44,24122.628,23692.517,21709.187
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Agencias noticiosas",50.483,54.5,52.614,50,52.147,51.856,53.02,54.62,52.407,51.908,51.623,50.112
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Libros",4978.909,4980.853,5084.692,5417.227,6022.317,5817.816,5771.519,6086.929,6195.931,6513.192,6163.104,5869.869
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Periódicos",4295.983,4262.868,4426.769,4679.352,4801.347,4805.988,4869.762,4978.277,4946.566,4868.931,4696.458,3925.537
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Revistas",1538.64,1473.138,1435.528,1464.524,1538.23,1485.744,1445.437,1458.76,1548.313,1620.559,1497.75,1323.808
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Otros productos editoriales e impresos",1616.771,1711.55,1734.048,1908.379,2037.097,2146.143,2299.464,2452.406,2673.723,2685.496,2925.271,2846.923
