Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios de 2013|Total del país,14402756.626,13648546.978,14352400.665,14875796.592,15430992.503,15642619.845,16067157.785,16579413.519,16982550.285,17329809.355,17701290.794,17690674.166
Millones de pesos a precios de 2013|Total cultura,487359.563,479706.154,493158.934,510398.479,540925.991,548565.548,557881.481,618764.248,675366.822,714530.711,746190.996,757702.975
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas,402537.084,401556.532,411000.746,424397.234,453060.88,459955.18,469451.997,527651.081,580959.913,617356.209,644712.206,657185.289
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,8352.468,7357.359,7288.444,7767.196,7179.018,6598.218,6240.068,6598.582,7313.926,6750.148,9254.696,9125.192
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,569.424,518.573,515.768,544.756,563.736,566.121,576.128,605.88,583.202,609.744,600.472,549.457
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,2934.41,2708.941,2808.161,2871.631,2860.19,2760.145,2824.572,2912.256,3021.338,2997.457,3228.47,3201.34
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,499.919,480.125,508.731,543.199,503.551,469.409,482.052,498.842,507.224,507.92,498.036,484.258
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,3515.484,2815.657,2598.185,2933.999,2362.114,1952.487,1921.047,2101.577,2667.193,2161.893,4381.002,4269.876
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,833.231,834.063,857.599,873.611,889.427,850.056,436.269,480.027,534.969,473.134,546.716,620.261
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,25259.123,23844.913,24646.724,25555.35,26699.456,27405.822,27220.744,28458.252,30416.904,31526.3,32080.199,32117.103
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,10.293,10.387,10.481,10.575,10.693,10.822,10.629,10.858,10.955,11.056,11.152,11.255
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,19653.728,18305.439,18957.789,19946.469,20911.896,21562.885,21760.257,22569.967,24010.312,25021.425,25496.032,25206.391
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,3332.176,3274.487,3370.341,3239.462,3350.55,3466.526,3499.464,3866.527,4250.474,4357.541,4575.57,4759.114
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,105.213,100.593,103.261,108.21,107.633,111.653,115.394,120.344,122.161,125.134,123.833,122.36
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",201.44,194.539,205.045,209.389,225.029,229.184,221.488,231.629,247.133,258.223,249.118,253.609
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,198.73,189.019,171.963,176.46,192.77,195.37,198.187,202.576,217.298,232.869,232.637,228.343
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,1741.26,1752.388,1804.815,1831.688,1870.652,1805.309,1392.341,1435.022,1537.101,1499.709,1372.523,1517.767
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Comercio de bienes para artes escénicas y espectáculos,16.283,18.061,23.029,33.097,30.233,24.073,22.984,21.329,21.47,20.343,19.334,18.264
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos,7943.638,7891.297,8238.708,8552.654,7293.282,6436.644,6225.036,6252.577,6337.975,6378.442,6666.038,6960.701
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Instrumentos musicales,512.252,534.795,530.544,570.004,567.881,541.477,561.212,581.714,584.363,598.658,621.006,614.902
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Música,1083.136,994.305,1051.768,1106.171,1080.862,1096.291,990.568,985.087,1038.336,1033.353,1105.732,1309.974
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Conciertos,1963.435,1981.097,1998.773,2016.436,2040,2063.834,2091.916,2122.151,2144.823,2168.445,2188.359,2209.201
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Propiedad intelectual en música,190.088,201.552,200.036,221.97,214.703,232.725,203.689,199.548,204.246,198.809,221.085,269.964
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Comercio de bienes para música,2915.328,2888.65,3127.903,3304.687,2024.087,1174.254,1320.747,1305.328,1220.445,1221.835,1362.456,1353.103
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Gestión pública en música y conciertos,1279.399,1290.898,1329.684,1333.386,1365.749,1328.063,1056.904,1058.749,1145.762,1157.342,1167.4,1203.557
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa",25786.358,23782.564,23042.942,22944.313,23663.854,22697.951,22167.605,22110.45,21658.914,21290.204,20146.635,18126.014
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Agencias noticiosas",57.719,59.864,56.915,54.626,49.479,51.856,55.206,55.482,52.125,47.038,44.328,42.722
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Libros",6186.54,5772.587,5732.186,5706.184,6029.966,5817.816,5585.544,5710.696,5602.341,5741.616,5274.443,4917.583
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Periódicos",5536.604,4895.465,4748.999,4921.316,4992.671,4805.988,4902.79,4999.89,4719.901,4457.774,4222.807,3510.141
