Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total del país,12037449.298,11658910.621,12824221.194,14160747.846,15334939.699,15642619.845,16579960.505,17499014.26,18870690.391,20722063.696,22220046.929,23012426.154
Millones de pesos a precios corrientes|Total cultura,450883.53,462054.131,487067.056,508218.95,533584.012,548565.553,563690.02,597322.003,614470.078,659225.023,704093.314,724452.874
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios,358129.062,369877.639,385999.878,396670.742,414476.382,424508.98,436418.088,459858.663,465695.417,499192.279,530915.016,545462.496
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,146897.998,147473.012,157606.38,169605.18,182055.835,189857.758,199858.349,217550.816,232318.144,251759.567,266814.663,273302.069
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,54235.477,54399.786,57543.09,63068.33,66667.183,68818.966,71459.215,79594.358,85367.108,93163.375,98533.427,103140.197
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,43372.326,43055.558,47458.187,50937.205,55322.943,57745.549,60012.025,66573.362,72029.189,79309.201,84775.97,88388.684
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,64.365,58.102999999999994,45.296,55.138000000000005,47.32599999999999,45.852999999999994,48.578,48.959999999999994,44.729,42.211999999999996,40.378,48.824000000000005
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,5771.933,6433.076999999999,5269.5689999999995,7061.668,5681.314,5532.125,5774.2880000000005,6361.409,5980.487,5646.044,5683.344,6867.9400000000005
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",1258.141,918.077,794.228,714.806,824.733,884.461,997.94,1670.851,2192.32,2792.97,2849.045,2972.258
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,370.653,422.816,452.158,526.158,534.946,539.902,578.843,648.179,714.661,768.675,815.961,833.657
