Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios de 2013|Total del país,14402756.626,13648546.978,14352400.665,14875796.592,15430992.503,15642619.845,16067157.785,16579413.519,16982550.285,17329809.355,17701290.794,17690674.166
Millones de pesos a precios de 2013|Total cultura,487359.56,479706.154,493158.937,510398.48,540925.986,548565.553,557881.482,618764.243,675366.821,714530.715,746190.993,757702.986
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios,367929.178,366838.466,376101.885,388660.333,416745.414,424508.98,436530.154,493825.405,547238.464,584154.856,610815.827,623475.387
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,181219.309,172278.695,178331.265,183203.399,187748.276,189857.758,192598.268,203837.508,207082.27,212570.595,215667.685,212084.005
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,68631.235,63664.051,66505.215,68326.535,68862.029,68818.966,69112.334,73213.528,73799.867,75588.517,76018.871,76120.042
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,54685.26,51698.033,55010.01,55175.135,57185.787,57745.549,57695.848,61204.308,62382.472,64267.808,65379.858,64931.325
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,65.112,51.545,56.757000000000005,64.86,54.010999999999996,45.852999999999994,48.900000000000006,47.631,37.678999999999995,32.542,28.599,34.519000000000005
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,7081.87,5931.683999999999,5717.038,7618.5599999999995,5925.469999999999,5532.125,6015.562,6100.968,5360.062,5010.643,4693.193,5648.603
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",1540.465,1073.802,886.636,774.259,856.612,884.461,954.333,1470.859,1735.313,1758.309,1735.313,1807.838
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,510.748,533.423,529.104,568.517,566.357,539.902,559.579,580.084,582.608,596.784,619.19,612.994
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",4693.329,4322.706,4249.862,4066.564,4210.138,4012.082,3780.416,3748.9739999999997,3641.029,3860.193,3499.241,3024.176
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",54.451,52.858,55.808,58.64,63.654,58.994,57.696,60.704,60.704,62.238,63.477,60.587
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,112588.074,108614.644,111826.05,114876.864,118886.247,121038.792,123485.934,130623.98,133282.403,136982.078,139648.814,135963.963
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,128.966,129.861,130.317,134.168,135.995,139.187,144.839,146.509,149.791,151.534,151.003,151.486
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",21256.617,19946.991,20601.451,21601.604,22574.076,23231.025,23465.220999999998,24298.822,25738.019,26755.995,27257.750999999997,27016.603
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,8438.83,8233.262999999999,8887.702000000001,9536.65,10725.04,11689.479,12326.88,13855.885,16028.466999999999,17192.008,17669.119,18859.23
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",85.178,85.94200000000001,86.706,87.466,88.475,89.433,90.90899999999999,93.009,94.118,95.10000000000001,95.638,96.53399999999999
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",9882.860999999999,8920.291000000001,8785.764,9113.915999999997,9286.634000000002,8926.407000000003,8996.957,9265.209999999997,9014.373000000001,8687.454,8245.294,7383.703
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,6478.131,6525.859,6603.1900000000005,6687.226000000001,6876.747000000001,6990.229,7190.283,7192.83,7340.46,7456.545000000001,7809.883,7939.048000000001
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,3012.764,2969.834,3046.223,2909.68,2999.2549999999997,3102.494,3148.95,3503.931,3858.704,3947.183,4178.992,4379.312
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,2667.736,2474.64,2560.649,2599.635,2603.422,2498.6639999999998,2550.559,2626.199,2740.504,2712.822,2953.194,2927.866
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",4407.7390000000005,4382.629,4597.876,4597.8150000000005,4721.465,4912.786,5348.113,5667.241,5854.593000000001,5974.842000000001,5953.644,5915.006
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,333.176,306.172,313.493,324.14,374.493,379.981,354.282,371.37,392.551,399.844,396.109,378.796
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",742.325,708.056,753.303,766.512,819.694,853.858,820.8430000000001,844.5260000000001,912.4159999999999,956.04,922.2860000000001,883.781
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),7322.245,6784.107,6725.6320000000005,6786.5199999999995,6708.811,6898.378,7226.8730000000005,6760.099,7552.719,8064.092999999999,8896.740000000002,8198.485
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,26787.460000000006,25561.764,25540.818,25880.635000000002,26993.714,27350.111,28453.331000000006,30197.718999999997,30291.742000000002,30358.096,29959.809,29835.513999999996
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",1027.531,1017.854,945.94,880.565,954.5,917.226,1017.3670000000001,1065.881,995.851,751.59,492.122,419.133
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",645.824,586.047,558.514,584.655,634.262,615.6970000000001,579.9490000000001,633.9780000000001,625.0060000000001,606.528,591.082,569.717
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,19370.691000000003,19981.334000000003,21688.472,22385.677,22389.663999999997,22443.837000000003,21770.578,24100.770999999997,21693.088999999996,22872.404000000002,24076.148,21009.748999999996
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,186709.869,194559.771,197770.62,205456.934,228997.138,234651.222,243931.886,289987.897,340156.194,371584.261,395148.142,411391.382
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,1698.393,1692.827,1752.026,1866.554,1878.303,1797.285,1933.716,1977.07,2077.096,2042.198,2071.611,1943.284
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,753.0360000000001,747.3409999999999,790.6329999999999,838.2529999999999,876.6959999999999,841.524,926.0579999999999,926.422,968.4970000000001,896.106,913.293,858.2800000000001
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",945.3570000000001,945.486,961.3930000000001,1028.301,1001.607,955.761,1007.658,1050.6480000000001,1108.5990000000002,1146.092,1158.3180000000002,1085.0040000000001
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,185011.476,192866.944,196018.594,203590.38,227118.835,232853.937,241998.17,288010.827,338079.098,369542.063,393076.531,409448.098
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",692.563,629.957,659.3699999999999,702.796,708.9010000000001,739.913,769.0070000000001,784.777,830.525,873.697,843.1869999999999,849.261
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",208.022,197.716,180.12199999999999,184.949,201.455,204.166,207.17600000000002,211.74099999999999,226.69,242.383,242.167,237.932
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,59230.446,54646.705,57369.752,59104.388,55425.399,51650.966,50127.873,52883.445,53126.231,53911.75,56817.655,56648.579
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",1941.447,1902.3879999999997,1871.2240000000004,1929.5600000000002,1913.0279999999996,1954.839,2025.3449999999996,1957.0570000000002,2157.8140000000003,2258.822,2435.7269999999994,2284.0789999999997
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),116137.47000000002,128977.81399999998,129299.203,134726.329,161743.853,170913.182,181183.344,223813.796,273145.368,303908.56399999995,324303.408,340700.249
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",6721.753,6436.393,6562.637999999999,6864.673000000001,7046.784000000001,7309.570000000001,7605.746999999999,8286.524,8522.277,8280.028,8365.817000000001,8657.305
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,12.958000000000002,12.600999999999999,12.645000000000001,13.330000000000002,13.446,13.652000000000001,13.574000000000002,13.209000000000003,13.411999999999999,13.480999999999998,13.854,13.126999999999999
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,66.817,63.37,63.64,64.355,65.969,67.64899999999999,66.104,60.278,56.781000000000006,53.337999999999994,54.716,57.566
Millones de pesos a precios de 2013|Total cultura|Gestión pública en actividades culturales,34384.134,34490.026,34680.561,35518.563,36081.618,35220.457,32693.669,33607.031,33515.001,32996.676,33574.778,33389.773
Millones de pesos a precios de 2013|Total cultura|Gestión pública en actividades culturales|Administración federal,19784.424,19753.388,20046.162,20539.515,20865.732,20074.888,17300.238,17990.141,17640.451999999997,17071.354,17459.174,17150.168999999998
Millones de pesos a precios de 2013|Total cultura|Gestión pública en actividades culturales|Administración estatal,14599.710000000001,14736.637999999999,14634.399,14979.048,15215.886,15145.569,15393.431,15616.89,15874.549,15925.322,16115.604,16239.604
Millones de pesos a precios de 2013|Total cultura|Asociaciones y organizaciones civiles,223.769,228.04,218.303,218.339,233.843,225.748,228.175,218.64,206.447,204.681,321.598,320.14
Millones de pesos a precios de 2013|Total cultura|Producción cultural de los hogares,84822.479,78149.622,82158.188,86001.245,87865.111,88610.368,88429.484,91113.167,94406.909,97174.502,101478.79,100517.686
Variación anual|Total del país,NA,-5.237,5.157,3.647,3.732,1.371,2.714,3.188,2.432,2.045,2.144,-0.06
Variación anual|Total cultura,NA,-1.57,2.804,3.496,5.981,1.412,1.698,10.913,9.148,5.799,4.431,1.543
Variación anual|Total cultura|Subtotal de bienes y servicios,NA,-0.296,2.525,3.339,7.226,1.863,2.832,13.125,10.816,6.746,4.564,2.073
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,NA,-4.934,3.513,2.732,2.481,1.124,1.443,5.836,1.592,2.65,1.457,-1.662
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,NA,-7.237,4.463,2.739,0.784,-0.063,0.426,5.934,0.801,2.424,0.569,0.133
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,NA,-5.463,6.406,0.3,3.644,0.979,-0.086,6.081,1.925,3.022,1.73,-0.686
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,NA,-20.836,10.112,14.277,-16.727,-15.104,6.645,-2.595,-20.894,-13.634,-12.117,20.7
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,NA,-16.241,-3.619,33.261,-22.223,-6.638,8.739,1.42,-12.144,-6.519,-6.336,20.357
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",NA,-30.294,-17.43,-12.675,10.636,3.251,7.9,54.124,17.98,1.325,-1.308,4.179
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,NA,4.44,-0.81,7.449,-0.38,-4.671,3.645,3.664,0.435,2.433,3.754,-1.001
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",NA,-7.897,-1.685,-4.313,3.531,-4.704,-5.774,-0.832,-2.879,6.019,-9.351,-13.576
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",NA,-2.926,5.581,5.075,8.55,-7.321,-2.2,5.214,0,2.527,1.991,-4.553
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,NA,-3.529,2.957,2.728,3.49,1.811,2.022,5.78,2.035,2.776,1.947,-2.639
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,NA,0.694,0.351,2.955,1.362,2.347,4.061,1.153,2.24,1.164,-0.35,0.32
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",NA,-6.161,3.281,4.855,4.502,2.91,1.008,3.552,5.923,3.955,1.875,-0.885
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,NA,-2.436,7.949,7.302,12.461,8.992,5.453,12.404,15.68,7.259,2.775,6.736
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",NA,0.897,0.889,0.877,1.154,1.083,1.65,2.31,1.192,1.043,0.566,0.937
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",NA,-9.74,-1.508,3.735,1.895,-3.879,0.79,2.982,-2.707,-3.627,-5.09,-10.449
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,NA,0.737,1.185,1.273,2.834,1.65,2.862,0.035,2.052,1.581,4.739,1.654
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,NA,-1.425,2.572,-4.482,3.079,3.442,1.497,11.273,10.125,2.293,5.873,4.794
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,NA,-7.238,3.476,1.523,0.146,-4.024,2.077,2.966,4.352,-1.01,8.861,-0.858
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",NA,-0.57,4.911,-0.001,2.689,4.052,8.861,5.967,3.306,2.054,-0.355,-0.649
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,NA,-8.105,2.391,3.396,15.534,1.465,-6.763,4.823,5.703,1.858,-0.934,-4.371
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",NA,-4.616,6.39,1.753,6.938,4.168,-3.867,2.885,8.039,4.781,-3.531,-4.175
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),NA,-7.349,-0.862,0.905,-1.145,2.826,4.762,-6.459,11.725,6.771,10.325,-7.848
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,NA,-4.576,-0.082,1.33,4.301,1.32,4.034,6.131,0.311,0.219,-1.312,-0.415
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",NA,-0.942,-7.065,-6.911,8.396,-3.905,10.918,4.769,-6.57,-24.528,-34.523,-14.831
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",NA,-9.256,-4.698,4.68,8.485,-2.927,-5.806,9.316,-1.415,-2.956,-2.547,-3.615
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,NA,3.152,8.544,3.215,0.018,0.242,-3,10.703,-9.99,5.436,5.263,-12.736
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,NA,4.204,1.65,3.886,11.457,2.469,3.955,18.881,17.3,9.239,6.341,4.111
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,NA,-0.328,3.497,6.537,0.629,-4.313,7.591,2.242,5.059,-1.68,1.44,-6.195
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,NA,-0.756,5.793,6.023,4.586,-4.012,10.045,0.039,4.542,-7.475,1.918,-6.024
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",NA,0.014,1.682,6.959,-2.596,-4.577,5.43,4.266,5.516,3.382,1.067,-6.329
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,NA,4.246,1.634,3.863,11.557,2.525,3.927,19.014,17.384,9.306,6.369,4.165
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",NA,-9.04,4.669,6.586,0.869,4.375,3.932,2.051,5.829,5.198,-3.492,0.72
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",NA,-4.954,-8.899,2.68,8.925,1.346,1.474,2.203,7.06,6.923,-0.089,-1.749
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,NA,-7.739,4.983,3.024,-6.225,-6.81,-2.949,5.497,0.459,1.479,5.39,-0.298
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",NA,-2.012,-1.638,3.118,-0.857,2.186,3.607,-3.372,10.258,4.681,7.832,-6.226
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),NA,11.056,0.249,4.197,20.054,5.669,6.009,23.529,22.041,11.263,6.711,5.056
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",NA,-4.245,1.961,4.602,2.653,3.729,4.052,8.951,2.845,-2.843,1.036,3.484
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,NA,-2.755,0.349,5.417,0.87,1.532,-0.571,-2.689,1.537,0.514,2.767,-5.248
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,NA,-5.159,0.426,1.124,2.508,2.547,-2.284,-8.813,-5.801,-6.064,2.584,5.209
Variación anual|Total cultura|Gestión pública en actividades culturales,NA,0.308,0.552,2.416,1.585,-2.387,-7.174,2.794,-0.274,-1.547,1.752,-0.551
Variación anual|Total cultura|Gestión pública en actividades culturales|Administración federal,NA,-0.157,1.482,2.461,1.588,-3.79,-13.821,3.988,-1.944,-3.226,2.272,-1.77
Variación anual|Total cultura|Gestión pública en actividades culturales|Administración estatal,NA,0.938,-0.694,2.355,1.581,-0.462,1.637,1.452,1.65,0.32,1.195,0.769
Variación anual|Total cultura|Asociaciones y organizaciones civiles,NA,1.909,-4.27,0.016,7.101,-3.462,1.075,-4.179,-5.577,-0.855,57.122,-0.453
Variación anual|Total cultura|Producción cultural de los hogares,NA,-7.867,5.129,4.678,2.167,0.848,-0.204,3.035,3.615,2.932,4.429,-0.947
