Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total cultura,93628.798,96732.923,99876.527,106093.427,109830.096,116222.572,119526.553,126519.116,131272.191,137661.406,143739.357,148805.979
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas,93628.798,96732.923,99876.527,106093.427,109830.096,116222.572,119526.553,126519.116,131272.191,137661.406,143739.357,148805.979
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,1893.851,1914.48,2010.451,2159.405,2273.552,2263.439,1936.453,2083.904,2242.061,2315.393,2562.823,2754.957
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,184.808,184.511,193.791,215.878,226.98,239.582,249.425,276.361,283.715,295.853,295.101,289.918
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,593.587,589.759,609.292,627.902,660.488,707.239,736.522,769.02,811.694,873.423,963.322,1022.156
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,164.6,161.053,159.92,174.352,169.006,159.283,168.899,184.915,193.552,212.484,226.362,231.491
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,237.938,236.369,251.43,269.902,292.59,309.28,323.266,337.374,363.218,386.986,418.248,453.799
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,712.918,742.788,796.018,871.371,924.488,848.055,458.341,516.234,589.882,546.647,659.79,757.593
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,3058.729,3082.589,3373.273,3502.09,3624.106,3761.728,3432.825,3628.445,3846.592,4061.924,4206.139,4773.429
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,1.81,1.889,1.979,2.06,2.147,2.249,2.336,2.439,2.567,2.698,2.819,2.985
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,117.302,118.379,124.243,131.552,134.74,140.923,143.339,148.219,158.925,174.147,177.832,187.386
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,1432.141,1464.709,1582.168,1577.061,1596.987,1634.046,1631.165,1744.582,1779.352,1925.745,2134.708,2483.646
