Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total cultura,93628.794,96732.922,99876.525,106093.422,109830.095,116222.569,119526.557,126519.119,131272.198,137661.402,143739.364,148805.979
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios,67730.028,69411.078,70864.529,74448.882,75583.168,81194.77,84757.533,89217.756,93026.513,98723.807,101877.158,106633.059
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,36905.601,36743.517,37087.41,38622.795,40711.444,44959.266,46736.048,49883.502,53013.555,57208.887,60070.916,63149.775
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,18315.355,17588.034,17003.422,17382.598,18167.342,21150.065,22181.627,23899.305,25516.88,28252.922,29413.15,31074.536
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,12412.221,12030.382,13092.515,13576.961,14737.346,15707.063,16297.069,17926.909,19155.976,21207.445,22051.755,23204.609
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,31.863999999999997,27.553,15.071,12.596,11.06,20.962,22.553,22.637,24.063,28.03,30.147000000000002,34.113
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,3454.8940000000002,2936.273,1426.991,1628.935,1475.292,3208.499,3454.692,3464.6059999999998,3657.878,4250.486,4593.735,5146.031
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",408.605,486.337,436.086,95.54,112.025,258.761,239.187,257.669,282.912,297.878,330.168,360.255
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,369.92,408.172,417.919,447.208,444.93,435.035,325.481,339.588,387.162,432.871,452.487,453.562
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",1611.7469999999998,1674.306,1587.504,1594.014,1357.02,1491.718,1814.5590000000002,1858.789,1978.273,2000.912,1918.998,1840.211
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",26.104,25.011,27.336,27.344,29.669,28.027,28.086,29.107,30.616,35.3,35.86,35.755
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,18590.246,19155.483,20083.988,21240.197,22544.102,23809.201,24554.421,25984.197,27496.675,28955.965,30657.766,32075.239
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,34.143,35.712,37.461,40.33,42.488,45.532,48.52,50.417,53.29,56.134,58.83,62.001
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",629.353,660.388,700.085,736.562,779.427,823.96,860.602,904.9240000000001,955.922,1006.982,1051.892,1115.5899999999997
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,732.492,752.1320000000001,765.621,848.049,842.1809999999999,994.815,1035.022,1150.208,1290.087,1420.931,1452.7259999999999,1581.2849999999999
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",24.503,25.819999999999997,27.333,28.738,30.22,31.930999999999997,33.539,35.372,37.178,39.135000000000005,40.845,43.355000000000004
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",3247.7890000000007,3369.9649999999997,3511.1070000000004,3715.6349999999998,3954.397,4116.559,4134.6449999999995,4216.066,4557.742000000001,4548.614000000001,4599.574000000001,4722.131
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,2248.5270000000005,2382.066,2541.648,2685.5129999999995,2878.133,3051.986,3121.808,3303.5940000000005,3469.6610000000005,3714.9829999999997,3978.27,4332.820000000001
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,1337.414,1368.394,1479.821,1469.494,1493.096,1526.572,1523.848,1634.79,1670.017,1810.845,2021.334,2362.823
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,550.81,550.762,582.2819999999999,602.81,636.292,670.581,697.7570000000001,729.511,769.807,827.078,912.942,967.211
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",920.07,961.832,1041.731,1118.575,1174.094,1233.583,1192.608,1279.161,1434.904,1599.6850000000002,1687.784,1707.099
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,165.493,174.686,179.01,192.66,211.627,227.085,237.015,248.19,263.419,287.991,298.927,313.116
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",190.148,193.30700000000002,205.416,215.892,208.504,215.703,215.157,220.15599999999998,219.344,230.49599999999998,227.40200000000002,242.192
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),1844.402,1881.205,1965.596,2047.7559999999999,2188.9010000000003,2335.7760000000003,2322.6290000000004,2412.7120000000004,2578.567,2750.096,2983.855,3034.58
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,5445.049,5583.070000000001,5759.079,6136.945000000001,6631.445000000001,7038.221,7510.678000000002,8124.228999999999,8471.230000000001,8985.503999999999,9582.847,9946.917
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",221.553,231.229,225.24800000000002,231.811,250.657,266.45799999999997,274.78,280.114,274.737,259.052,252.69299999999998,257.233
