Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Pesos en precios corrientes|Total cultura,73291.677,78372.452,80041.839,84129.289,84995.512,88382.991,90736.291,93784.833,95279.225,97794.292,101379.968,106621.731
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas,89028.601,95538.501,98037.539,103184.551,104107.415,107915.055,110916.031,114129.76,116455.138,119583.076,124108.817,131016.436
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,86217.381,90699.261,94276.717,100306.81,105242.42,105388.974,92507.19,97785.369,104102.753,105706.401,113218.899,122339.225
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,70537.405,72900.435,76205.663,81586.546,84097.814,86710.822,90110.188,95626.644,96732.015,100153.351,108214.521,113559.734
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,54218.761,55890.732,57156.848,59303.173,62700.589,66626.378,69144.011,72228.797,76509.944,79932.552,81831.634,86192.428
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,80488.998,89623.261,86489.995,95745.195,96907.11,91805.764,94887.079,105847.167,104453.319,114670.264,124511.551,127543.251
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,62336.39,63849.001,66340.369,68468.29,71293.86,73990.431,77540.417,79851.834,83903.442,88534.889,94221.221,100956.396
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,281119.085,294057.007,320587.193,344279.336,366569.389,388303.571,293056.905,286478.357,325362.383,303861.59,350952.128,421587.646
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,135144.656,140545.707,151485.225,156259.593,148007.269,158964.165,151272.419,160408.709,174046.061,180481.827,188261.525,217746.054
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,22911.392,23911.392,25050.633,26075.949,27177.215,20633.028,21431.193,22376.147,23336.364,24527.273,25396.396,26651.786
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,34602.36,36168.347,37187.369,39117.455,41116.875,42344.651,44418.655,45106.208,47625.112,51069.501,53163.528,55670.232
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,163935.554,170632.456,179180.974,184451.579,195733.178,203138.488,208189.534,218674.104,225949.46,237102.315,265676.167,299559.281
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,45473.418,47603.015,49704.715,51644.608,53634.383,56661.137,58889.671,61308.585,63560.641,66314.351,68742.152,72000
"Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",38362.968,40467.047,42056,44167.482,47216.613,48051.833,50230.667,49781.435,51014.531,53460.829,56101.47,58893.617
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,49279.121,51602.953,54395.851,54808.106,58785.203,72100.503,76525.597,77813.489,81445.331,85884.615,91003.757,95897.361
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,194097.854,201178.529,222586.944,228785.754,177252.039,200904.511,174594.291,190645.077,225233.581,229421.875,217874.704,270221.913
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Comercio de bienes para artes escénicas y espectáculos,62425.532,63347.826,65957.447,67918.367,70745.098,73326.923,78156.863,80000,84490.566,88351.852,93763.636,101727.273
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos,52633.342,54901.339,59008.092,62600.39,64594.367,65979.352,59402.752,60750.655,65153.845,67973.717,71207.137,73430.329
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Instrumentos musicales,71507.823,83615.763,87311.9,92983.171,96650.532,91864.135,66659.235,69991.766,73944.868,77536.59,76668.133,79203.523
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Música,111021.842,115558.24,117473.964,121383.459,124986.721,131311.717,135521.641,136667.034,140441.586,153027.988,157191.061,161756.182
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Conciertos,18839.667,19649.832,20612.487,21457.521,22358.543,23384.384,24287.188,25346.499,26462.929,27572.898,28557.509,29985.62
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Propiedad intelectual en música,199765.864,213899.573,226669.492,236163.9,246454.927,258735.849,274163.636,277433.26,290966.173,322459.854,347312.5,366810.39
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Comercio de bienes para música,62325.348,63861.635,66321.93,68461.83,71299.838,73988.067,77549.661,79850.846,83888.249,88527.577,94209.738,100969.663
Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Gestión pública en música y conciertos,248019.737,249060.621,283390.715,302743.187,317162.785,315898.164,269957.248,272096.83,284633.921,298082.587,355921.113,367680.709
"Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa",87971.285,93445.773,98219.172,103292.865,107423.639,113425.136,115814.337,121343.687,131667.839,134717.066,143518.56,149250.411
"Pesos en precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Agencias noticiosas",48355.388,48854.093,51353.571,53148.014,58340,62721.137,63533.569,69809.695,76197.98,81217.105,78075,82463.134
