Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Pesos en precios corrientes|Total cultura,73291.674,78372.451,80041.838,84129.285,84995.511,88382.988,90736.294,93784.835,95279.23,97794.289,101379.973,106621.731
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios,71295.442,76194.775,77303.358,80605.445,80046.395,83704.654,87323.535,89101.568,91173.86,94474.984,96867.371,103276.07
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,49185.892,51469.294,51494.343,53521.604,55258.153,59209.204,61675.607,63564.648,66218.77,69305.211,72390.035,77914.109
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,42930.604,44548.209,42310.542,43521.778,44261.039,49192.146,51510.908,52771.827,54949.34,58119.234,60820.608,66683.124
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,33512.035,34926.758,36437.531,37893.988,39643.163,41299.706,42829.204,44584.985,46351.084,48855.512,51208.839,55992.706
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,137939.394,155666.667,124553.719,106745.763,101467.89,122584.795,131122.093,124379.121,132214.286,145989.583,149985.075,174045.918
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,154519.165,174497.712,131532.031,129961.305,119961.945,140054.084,148620.865,143539.214,151183.22,164798.62,166560.37,188568.377
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",140849.707,142453.72,137263.456,103174.946,108762.136,136621.436,152542.73,160341.63,173140.759,189610.439,207001.881,222105.425
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,71537.42,83676.097,87375.915,93052.018,96723.913,91954.132,66696.926,70032.584,73998.853,77589.353,76705.713,79252.49
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",64890.37,68697.932,69296.085,72313.841,67983.568,77367.253,92527.612,95808.927,102863.613,109477.048,112110.65,113684.5
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",34991.957,35987.05,38019.471,39918.248,41728.551,43587.869,44510.301,46946.774,49701.299,56570.513,60882.852,63507.993
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,57430.124,60032.916,63087.561,65916.262,69092.013,72284.682,75055.084,78292.065,81783.984,85329.49,88550.468,93106.104
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,36283.741,37910.828,39767.516,41706.308,43532.787,45760.804,47061.106,48853.682,50559.772,52658.537,54573.284,57249.307
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",19470.748,20288.418,21297.953,22190.95,23173.782,24223.431,25117.532,26144.05,27311.277,28465.922,29458.986,30942.198
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,38658.011,40137.254,41186.777,43514.239,43393.498,45717.601,47110.696,49612.146,51204.088,52810.934,53503.462,54211.149
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",30552.369,31955.446,33496.324,34918.591,36365.824,36744.534,38242.873,39923.251,41632.699,43435.072,44884.615,47176.279
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",93477.694,100632.017,106056.515,110512.016,116942.097,123206.004,128873.391,136314.333,153598.962,157141.367,163459.043,173677.995
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,60985.273,64556.384,67782.703,70699.302,74079.404,79128.494,81214.6,87929.36,90774.167,93362.394,96886.827,104546.376
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,223423.655,231382.144,243191.619,253142.808,264686.403,279694.394,284300,302346.958,312854.44,324756.994,358265.509,404039.501
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,52303.675,54049.264,56259.13,58656.223,62222.961,65576.081,67994.251,71220.443,75508.288,78709.364,80556.075,84664.828
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",46777.67,49251.472,52938.866,55451.864,58172.422,60800.582,60850.452,65370.043,68371.087,70757.475,70826.018,72750.863
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,91635.105,95770.833,101594.779,105799.012,112388.21,117660.622,120434.451,125665.823,139080.781,151017.829,159342.751,165757.544
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",33732.127,35333.029,36537.887,38401.281,40431.258,40729.418,42445.65,41830.895,42254.672,44224.098,46427.521,48448.09
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),47404.184,49235.893,52241.754,54735.272,57734.84,60327.909,60477.256,62423.016,67930.32,72173.42,72035.513,75995.592
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,68259.358,71741.538,75347.084,80290.774,84827.121,89750.332,95952.45,98672.849,99973.211,105555.341,112093.192,117123.141
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",67055.993,71455.192,72543.639,76606.411,82290.545,87248.854,90656.549,96524.466,102018.938,110611.443,109818.774,114938.785
"Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",66870.322,70603.67,74346.361,78941.36,83640.266,72858.507,93288.496,99750.895,106972.682,106431.308,112994.028,116261.968
Pesos en precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,26130.552,25220.542,27244.749,28803.951,28955.165,30408.691,32119.691,32316.462,33524.391,35011.717,36854.251,34488.104
