Descriptores,Número de personas|2013|Hombres,Número de personas|2013|Mujeres,Número de personas|2013|Total,Estructura porcentual|2013|Hombres,Estructura porcentual|2013|Mujeres,Distribución|2013|Hombres,Distribución|2013|Mujeres
Total de áreas generales y específicas,1336060,889355,2225415,100,100,60.036,39.964
Total de áreas generales y específicas|Artes visuales y plásticas,6898,4932,11830,0.5162941784051615,0.5545592030179175,58.30938292476754,41.69061707523246
Total de áreas generales y específicas|Artes visuales y plásticas|Dibujo,2047,1248,3295,0.15321168211008487,0.1403264163354341,62.12443095599392,37.87556904400607
Total de áreas generales y específicas|Artes visuales y plásticas|Fotografía,3168,2347,5515,0.2371150996212745,0.26389911790005116,57.44333635539438,42.55666364460562
Total de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,1683,1337,3020,0.12596739667380208,0.1503336687824322,55.728476821192054,44.271523178807946
Total de áreas generales y específicas|Artes escénicas y espectáculos,17545,8516,26061,1.3131895274164336,0.9575478858273694,67.32281953877441,32.67718046122559
Total de áreas generales y específicas|Artes escénicas y espectáculos|Teatro y danza,1118,956,2074,0.08367887669715432,0.10749363302618191,53.905496624879454,46.09450337512054
Total de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,4304,3015,7319,0.3221412212026406,0.33900973177190213,58.8058477934144,41.1941522065856
Total de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,9617,3288,12905,0.719803002859153,0.36970613534527835,74.52150329329717,25.47849670670283
"Total de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",1395,757,2152,0.10441147852641348,0.08511786631884906,64.82342007434944,35.17657992565056
Total de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,1111,500,1611,0.08315494813107197,0.056220519365157894,68.96337678460583,31.036623215394165
Total de áreas generales y específicas|Música y conciertos,47423,5588,53011,3.5494663413319762,0.6283205244250046,89.45879157156061,10.541208428439381
Total de áreas generales y específicas|Música y conciertos|Instrumentos musicales,1045,899,1944,0.07821505022229541,0.10108449381855389,53.755144032921805,46.244855967078195
Total de áreas generales y específicas|Música y conciertos|Música,1288,830,2118,0.09640285615915453,0.09332606214616211,60.81208687440982,39.18791312559018
Total de áreas generales y específicas|Música y conciertos|Conciertos,45090,3859,48949,3.374848434950526,0.4339099684602886,92.11628429589982,7.883715704100186
"Total de áreas generales y específicas|Libros, impresiones y prensa",69412,30091,99503,5.195275661272698,3.383463296433933,69.75870074269118,30.241299257308825
"Total de áreas generales y específicas|Libros, impresiones y prensa|Libros",16434,7772,24206,1.2300345792853615,0.8738917530120143,67.89225811782202,32.10774188217797
"Total de áreas generales y específicas|Libros, impresiones y prensa|Periódicos y agencias noticiosas",30251,13330,43581,2.2641947217939316,1.4988390462751096,69.41327642780111,30.586723572198892
"Total de áreas generales y específicas|Libros, impresiones y prensa|Revistas",5843,3553,9396,0.4373306588027484,0.399503010608812,62.18603661132397,37.81396338867603
"Total de áreas generales y específicas|Libros, impresiones y prensa|Otros productos editoriales e impresos",15575,3637,19212,1.1657410595332545,0.4089480578621585,81.06912346450136,18.930876535498648
"Total de áreas generales y específicas|Libros, impresiones y prensa|Publicaciones digitales",1309,1799,3108,0.09797464185740161,0.2022814286758381,42.11711711711711,57.88288288288288
Total de áreas generales y específicas|Medios audiovisuales,219134,149890,369024,16.40150891427032,16.853787295287034,59.3820456122095,40.6179543877905
Total de áreas generales y específicas|Medios audiovisuales|Cine,15015,10244,25259,1.1238267742466657,1.1518460007533549,59.44415851775605,40.555841482243956
Total de áreas generales y específicas|Medios audiovisuales|Internet y videojuegos,86439,41471,127910,6.469694474799035,4.663042317184926,67.57798452036589,32.42201547963412
Total de áreas generales y específicas|Medios audiovisuales|Radio,70190,58959,129149,5.253506579045851,6.629411202500688,54.348078575908445,45.651921424091555
Total de áreas generales y específicas|Medios audiovisuales|Televisión,47490,39216,86706,3.5544810861787646,4.409487774848064,54.77129610407584,45.228703895924156
Total de áreas generales y específicas|Artesanías,735839,486641,1222480,55.07529601963984,54.71841952875961,60.19231398468686,39.80768601531313
Total de áreas generales y específicas|Artesanías|Alfarería y cerámica,22307,15099,37406,1.669610646228463,1.697747243789038,59.6348179436454,40.3651820563546
Total de áreas generales y específicas|Artesanías|Fibras vegetales y textiles,124537,167132,291669,9.321213119171293,18.79249568507514,42.69805841553268,57.30194158446732
"Total de áreas generales y específicas|Artesanías|Madera, maque y laca, instrumentos musicales y juguetería",96660,16218,112878,7.234705028217296,1.8235687661282616,85.63227555413809,14.367724445861905
"Total de áreas generales y específicas|Artesanías|Cartón y papel, plástica popular, cerería y pirotecnia",18651,15445,34096,1.3959702408574466,1.7366518431897273,54.7014312529329,45.2985687470671
"Total de áreas generales y específicas|Artesanías|Metalistería, joyería y orfebrería",30636,27412,58048,2.2930107929284613,3.0822337536754163,52.77701212789415,47.22298787210584
"Total de áreas generales y específicas|Artesanías|Lapidaria, cantería y vidrio",23465,5351,28816,1.7562834004460879,0.6016719982459198,81.43045530260966,18.569544697390338
Total de áreas generales y específicas|Artesanías|Talabartería y marroquinería,77988,42415,120403,5.837163001661602,4.769186657746345,64.77247244669984,35.22752755330016
Total de áreas generales y específicas|Artesanías|Alimentos y dulces típicos,341595,197569,539164,25.567339790129186,22.21486358090976,63.356418455238106,36.64358154476189
Total de áreas generales y específicas|Diseño y servicios creativos,74998,47687,122685,5.6133706570064215,5.3619758139325695,61.130537555528385,38.869462444471615
Total de áreas generales y específicas|Diseño y servicios creativos|Arquitectónico,11130,3804,14934,0.8330464200709549,0.42772571133012127,74.52792286058659,25.472077139413418
Total de áreas generales y específicas|Diseño y servicios creativos|Gráfico,4922,2573,7495,0.36839662889391195,0.28931079265310256,65.67044696464309,34.3295530353569
Total de áreas generales y específicas|Diseño y servicios creativos|Informático,31562,15451,47013,2.3623190575273565,1.7373264894221092,67.13462233850211,32.86537766149789
Total de áreas generales y específicas|Diseño y servicios creativos|Publicidad,21803,23890,45693,1.6318877894705326,2.686216415267244,47.71628039305802,52.28371960694198
"Total de áreas generales y específicas|Diseño y servicios creativos|Otras formas de diseño: industrial, interiores y modas",5581,1969,7550,0.41772076104366573,0.2213964052599918,73.9205298013245,26.079470198675498
Total de áreas generales y específicas|Patrimonio material y natural,10827,11488,22315,0.8103677978533899,1.2917226529338677,48.51893345283442,51.48106654716559
Total de áreas generales y específicas|Patrimonio material y natural|Material,3609,3512,7121,0.27012259928446325,0.39489292802086906,50.681084117399244,49.318915882600756
Total de áreas generales y específicas|Patrimonio material y natural|Natural,4859,3591,8450,0.3636812717991707,0.40377577008056403,57.50295857988166,42.49704142011834
Total de áreas generales y específicas|Patrimonio material y natural|Museos y bibliotecas del sector privado,2359,4385,6744,0.17656392676975585,0.4930539548324347,34.97924080664294,65.02075919335707
