Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total cultura,450883.532,462054.135,487067.053,508218.955,533584.005,548565.548,563690.025,597322.007,614470.074,659225.026,704093.316,724452.878
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas,384311.027,397603.121,415310.254,428671.914,449037.812,459955.18,471527.894,497477.012,504259.503,538424.922,573140.974,588016.456
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,6941.94,6547.382,6667.585,7209.696,7112.987,6598.218,6248.102,7070.5,8426.331,7955.78,10891.45,10528.636
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,480.14,449.48,464.592,513.193,552.501,566.121,572.726,672.636,677.954,716.642,723.643,669.998
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,2567.629,2468.444,2598.231,2717.076,2812.709,2760.145,2891.123,3066.218,3275.611,3398.926,3815.422,3866.434
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,381.028,387.834,433.91,469.54,466.093,469.409,484.13,580.517,631.428,641.427,657.008,652.641
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,2797.97,2496.387,2372.795,2637.981,2355.133,1952.487,1837.202,2231.348,3247.576,2651.909,5035.006,4580.315
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,715.173,745.237,798.057,871.906,926.551,850.056,462.921,519.781,593.762,546.876,660.371,759.248
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,20782.039,20282.808,22044.517,23701.189,25668.147,27405.822,28309.493,30211.85,33343.209,36352.724,38847.583,40377.346
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,8.12,8.658,9.239,9.508,10.103,10.822,11.248,11.689,12.105,12.676,13.295,14.229
