Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Índice de precios implícitos|Total cultura,92.516,96.32,98.765,99.573,98.643,100,101.041,96.535,90.983,92.26,94.358,95.612
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas,95.472,99.015,101.049,101.007,99.112,100,100.442,94.281,86.798,87.215,88.899,89.475
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,83.112,88.991,91.482,92.822,99.08,100,100.129,107.152,115.209,117.861,117.686,115.38
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,84.32,86.676,90.078,94.206,98.007,100,99.41,111.018,116.247,117.532,120.512,121.938
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,87.501,91.122,92.524,94.618,98.34,100,102.356,105.287,108.416,113.394,118.181,120.775
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,76.218,80.778,85.293,86.44,92.561,100,100.431,116.373,124.487,126.285,131.92,134.771
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,79.59,88.661,91.325,89.911,99.704,100,95.635,106.175,121.76,122.666,114.928,107.27
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,85.831,89.35,93.057,99.805,104.174,100,106.109,108.282,110.99,115.586,120.789,122.408
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,82.275,85.061,89.442,92.745,96.137,100,104,106.162,109.621,115.309,121.095,125.719
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,78.889,83.354,88.15,89.91,94.482,100,105.824,107.653,110.497,114.653,119.216,126.424
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,82.666,86.034,90.093,93.053,96.391,100,103.922,106.165,109.443,115.749,121.081,125.537
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,82.032,83.774,88.542,93.09,97.013,100,104.025,105.941,110.643,113.378,121.967,128.413
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,81.02,84.253,88.521,91.345,94.113,100,100.482,104.394,106.535,111.28,116.154,122.197
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",78.153,80.514,87.403,89.036,93.02,100,103.601,103.806,105.88,111.647,121.338,129.251
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,86.438,89.726,93.432,95.856,97.841,100,102.7,104.692,106.63,109.245,111.98,114.505
