Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Índice de precios implícitos|Total cultura,92.516,96.32,98.765,99.573,98.643,100,101.041,96.535,90.983,92.26,94.358,95.612
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios,97.336,100.828,102.632,102.061,99.456,100,99.974,93.122,85.099,85.455,86.919,87.487
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,81.061,85.601,88.378,92.578,96.968,100,103.77,106.728,112.186,118.436,123.716,128.865
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,79.024,85.448,86.524,92.304,96.813,100,103.396,108.715,115.674,123.251,129.617,135.497
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,79.313,83.283,86.272,92.319,96.742,100,104.014,108.772,115.464,123.404,129.667,136.126
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,98.853,112.723,79.807,85.011,87.623,100,99.342,102.79,118.711,129.715,141.187,141.441
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,81.503,108.453,92.173,92.69,95.88,100,95.989,104.269,111.575,112.681,121.098,121.587
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",81.673,85.498,89.578,92.321,96.278,100,104.569,113.597,126.336,158.844,164.18,164.41
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,72.571,79.265,85.457,92.549,94.454,100,103.443,111.739,122.666,128.803,131.779,135.998
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",71.437,80.207,81.746,91.433,99.615,100,105.513,112.782,119.144,117.418,122.687,130.713
