Descriptores,2008|Total de la economía,2008|Total de actividades culturales,2008|Bienes y servicios característicos y conexos,2008|Actividades no de mercado,2009|Total de la economía,2009|Total de actividades culturales,2009|Bienes y servicios característicos y conexos,2009|Actividades no de mercado,2010|Total de la economía,2010|Total de actividades culturales,2010|Bienes y servicios característicos y conexos,2010|Actividades no de mercado,2011|Total de la economía,2011|Total de actividades culturales,2011|Bienes y servicios característicos y conexos,2011|Actividades no de mercado,2012|Total de la economía,2012|Total de actividades culturales,2012|Bienes y servicios característicos y conexos,2012|Actividades no de mercado,2013|Total de la economía,2013|Total de actividades culturales,2013|Bienes y servicios característicos y conexos,2013|Actividades no de mercado,2014|Total de la economía,2014|Total de actividades culturales,2014|Bienes y servicios característicos y conexos,2014|Actividades no de mercado,2015|Total de la economía,2015|Total de actividades culturales,2015|Bienes y servicios característicos y conexos,2015|Actividades no de mercado,2016|Total de la economía,2016|Total de actividades culturales,2016|Bienes y servicios característicos y conexos,2016|Actividades no de mercado,2017|Total de la economía,2017|Total de actividades culturales,2017|Bienes y servicios característicos y conexos,2017|Actividades no de mercado,2018|Total de la economía<P>,2018|Total de actividades culturales<P>,2018|Bienes y servicios característicos y conexos<P>,2018|Actividades no de mercado<P>,2019|Total de la economía<P>,2019|Total de actividades culturales<P>,2019|Bienes y servicios característicos y conexos<P>,2019|Actividades no de mercado<P>
Millones de pesos a precios corrientes|Total nacional,12037449.298,450883.527,358323.609,92559.918,11658910.621,462054.1330000001,370083.2900000001,91970.84300000001,12824221.194,487067.053,386204.57300000003,100862.48,14160747.846,508218.954,396880.67100000003,111338.283,15334939.699,533584.0060000002,414706.51300000015,118877.493,15642619.845,548565.551,424734.726,123830.825,16579960.505,563690.02,436655.23400000005,127034.786,17499014.26,597322.0059999999,460093.5839999999,137228.422,18870690.391,614470.075,465924.94499999995,148545.13,20722063.696,659225.023,499429.56600000005,159795.457,22220046.929,704093.317,531302.683,172790.63400000002,23012426.154,724452.8759999999,545860.021,178592.85499999998
Millones de pesos a precios corrientes|Total nacional|21---Minería,1060465.208,20.861,20.861,NA,790228.059,11.725,11.725,NA,961659.148,37.587,37.587,NA,1280325.095,35.724,35.724,NA,1292167.05,36.715,36.715,NA,1153599.414,35.614,35.614,NA,1150895.814,40.092,40.092,NA,732884.667,16.102,16.102,NA,729528.875,23.165,23.165,NA,898829.497,24.883,24.883,NA,968666.571,20.155,20.155,NA,1056682.229,19.974,19.974,NA
Millones de pesos a precios corrientes|Total nacional|23---Construcción,1041686.634,332.074,332.074,NA,1006093.719,371.344,371.344,NA,1044316.965,392.931,392.931,NA,1157313.108,439.831,439.831,NA,1241802.965,480.083,480.083,NA,1210696.323,465.134,465.134,NA,1280565.243,519.434,519.434,NA,1362424.957,551.102,551.102,NA,1480237.058,637.979,637.979,NA,1629240.482,754.694,754.694,NA,1770220.516,858.969,858.969,NA,1726258.354,777.32,777.32,NA
Millones de pesos a precios corrientes|Total nacional|31-33---Industrias manufactureras,1957120.698,55153.899,55153.899,NA,1836116.253,55427.061,55427.061,NA,2080032.756,58617.831,58617.831,NA,2251354.339,64261.644,64261.644,NA,2585684.812,67919.573,67919.573,NA,2576975.603,70124.357,70124.357,NA,2782750.423,72837.933,72837.933,NA,3187276.628,81265.964,81265.964,NA,3458262.659,87159.359,87159.359,NA,3825592.771,94889.1,94889.1,NA,4126969.519,100334.23,100334.23,NA,4235684.776,104932.365,104932.365,NA
Millones de pesos a precios corrientes|Total nacional|43-46---Comercio,1946978.305,49251.514,49251.514,NA,1811301.229,47938.021,47938.021,NA,2096901.906,48370.582,48370.582,NA,2421131.919,53201.439,53201.439,NA,2663114.157,55275.139,55275.139,NA,2742204.094,51650.966,51650.966,NA,2931755.265,50590.214,50590.214,NA,3303920.352,58238.034,58238.034,NA,3723790.673,62815.676,62815.676,NA,4115894.158,67669.11,67669.11,NA,4424305.747,73532.522,73532.522,NA,4542552.596,75275.959,75275.959,NA
"Millones de pesos a precios corrientes|Total nacional|48-49---Transportes, correos y almacenamiento",704418.619,NA,NA,NA,695777.291,NA,NA,NA,803493.245,NA,NA,NA,869045.771,NA,NA,NA,954611.747,NA,NA,NA,1011495.685,NA,NA,NA,1077534.979,NA,NA,NA,1147964.546,NA,NA,NA,1217759.011,NA,NA,NA,1329228.472,NA,NA,NA,1459509.672,NA,NA,NA,1523119.104,NA,NA,NA
Millones de pesos a precios corrientes|Total nacional|51---Información en medios masivos,287267.384,191825.49,191825.49,NA,303626.053,205477.973,205477.973,NA,313751.021,214925.635,214925.635,NA,309632.892,211451.207,211451.207,NA,314499.971,218001.393,218001.393,NA,324690.765,226325.347,226325.347,NA,333528.748,231766.529,231766.529,NA,334898.504,233289.914,233289.914,NA,326095.016,223262.718,223262.718,NA,348220.413,237843.369,237843.369,NA,367290.86,251764.297,251764.297,NA,377425.401,257653.55,257653.55,NA
Millones de pesos a precios corrientes|Total nacional|52---Servicios financieros y de seguros,390862.403,NA,NA,NA,411379.866,NA,NA,NA,440566.915,NA,NA,NA,457519.952,NA,NA,NA,485176.116,NA,NA,NA,567237.525,NA,NA,NA,599820.191,NA,NA,NA,627866.388,NA,NA,NA,744497.589,NA,NA,NA,845157.836,NA,NA,NA,929543.48,NA,NA,NA,989527.974,NA,NA,NA
Millones de pesos a precios corrientes|Total nacional|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1450863.158,3484.131,3484.131,NA,1505808.159,3507.884,3507.884,NA,1598253.88,3812.488,3812.488,NA,1695922.531,4097.78,4097.78,NA,1777940.599,4476.699,4476.699,NA,1853549.024,4873.497,4873.497,NA,1951298.081,5002.059,5002.059,NA,2035075.065,5910.774,5910.774,NA,2121344.872,6225.5,6225.5,NA,2195314.621,6106.996,6106.996,NA,2283507.544,6211.97,6211.97,NA,2374902.012,6383.153,6383.153,NA
"Millones de pesos a precios corrientes|Total nacional|54---Servicios profesionales, científicos y técnicos",268185.3,30577.071,30577.071,NA,264624.776,29801.146,29801.146,NA,268728.566,30436.423,30436.423,NA,290767.663,31842.242,31842.242,NA,306585.639,34360.794,34360.794,NA,311660.611,34934.605,34934.605,NA,326453.161,37685.326,37685.326,NA,356296.932,40268.634,40268.634,NA,390327.662,41693.791,41693.791,NA,401411.604,44421.467,44421.467,NA,426109.458,46914.913,46914.913,NA,439849.9,46925.054,46925.054,NA
"Millones de pesos a precios corrientes|Total nacional|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",438857.309,173.074,173.074,NA,438708.433,180.566,180.566,NA,452776.201,191.559,191.559,NA,495709.553,204.168,204.168,NA,544594.841,215.778,215.778,NA,577080.718,229.624,229.624,NA,595488.619,238.966,238.966,NA,619981.922,243.442,243.442,NA,652918.462,255.307,255.307,NA,727744.827,271.728,271.728,NA,779889.508,290.574,290.574,NA,831009.702,303.277,303.277,NA
Millones de pesos a precios corrientes|Total nacional|61---Servicios educativos,476932.051,5371.516,5371.516,NA,504395.981,5617.21,5617.21,NA,534793.602,5928.641,5928.641,NA,573114.663,6280.443,6280.443,NA,630296.566,6757.677,6757.677,NA,664031.135,7195.498,7195.498,NA,708009.809,7695.697,7695.697,NA,759326.842,8021.84,8021.84,NA,787492.385,8471.805,8471.805,NA,821399.962,8915.826,8915.826,NA,858403.83,9763.167,9763.167,NA,892555.44,10396.091,10396.091,NA
Millones de pesos a precios corrientes|Total nacional|62---Servicios de salud y de asistencia social,251364.333,NA,NA,NA,267775.844,NA,NA,NA,289782.737,NA,NA,NA,321284.263,NA,NA,NA,345297.824,NA,NA,NA,374109.484,NA,NA,NA,392521.259,NA,NA,NA,422718.514,NA,NA,NA,446040.984,NA,NA,NA,482589.417,NA,NA,NA,519225.308,NA,NA,NA,550098.397,NA,NA,NA
"Millones de pesos a precios corrientes|Total nacional|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",56665.476,21507.193,21507.193,NA,57610.237,21099.906,21099.906,NA,62975.107,22822.887,22822.887,NA,64806.582,24432.017,24432.017,NA,68611.307,26532.884,26532.884,NA,73364.614,28285,28285,NA,73890.747,29626.251,29626.251,NA,78777.709,31644.649,31644.649,NA,83843.11,34721.104,34721.104,NA,88457.976,37821.08,37821.08,NA,94872.067,40555.961,40555.961,NA,97410.063,42081.108,42081.108,NA
Millones de pesos a precios corrientes|Total nacional|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas,283073.086,0.966,0.966,NA,266612.382,0.886,0.886,NA,283708.728,0.905,0.905,NA,303043.91,0.976,0.976,NA,328573.664,1.079,1.079,NA,344770.832,1.139,1.139,NA,367476.802,1.202,1.202,NA,415439.354,1.328,1.328,NA,449261.079,1.424,1.424,NA,486480.454,1.538,1.538,NA,517040.786,1.631,1.631,NA,549712.985,1.779,1.779,NA
Millones de pesos a precios corrientes|Total nacional|81---Otros servicios excepto actividades gubernamentales,265535.96,625.82,625.82,NA,275149.394,649.568,649.568,NA,289193.545,667.104,667.104,NA,302579.629,633.2,633.2,NA,322973.276,648.699,648.699,NA,340085.089,613.945,613.945,NA,353504.245,651.531,651.531,NA,378180.021,641.801,641.801,NA,400751.272,657.117,657.117,NA,420251.885,709.775,709.775,NA,435793.043,1054.294,1054.294,NA,457612.922,1110.391,1110.391,NA
"Millones de pesos a precios corrientes|Total nacional|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",458265.229,25987.413,NA,25987.413,512246.666,27519.829,NA,27519.829,559016.181,29105.681,NA,29105.681,602369.436,31791.242,NA,31791.242,657184.479,34331.3,NA,34331.3,671667.787,35220.456999999995,NA,35220.456999999995,713681.686,34872.655,NA,34872.655,747716.468,37383.426999999996,NA,37383.426999999996,772965.756,38334.559,NA,38334.559,807101.131,38995.353,NA,38995.353,860510.333,41838.292,NA,41838.292,868531.553,42156.433000000005,NA,42156.433000000005
Millones de pesos a precios corrientes|Total nacional|Otros bienes y servicios,698908.145,66572.505,NA,66572.505,711456.279,64451.014,NA,64451.014,744270.691,71756.799,NA,71756.799,764826.54,79547.041,NA,79547.041,815824.686,84546.193,NA,84546.193,845401.142,88610.368,NA,88610.368,940785.433,92162.131,NA,92162.131,988265.391,99844.995,NA,99844.995,1085573.928,110210.571,NA,110210.571,1299148.19,120800.104,NA,120800.104,1398188.687,130952.342,NA,130952.342,1499492.746,136436.422,NA,136436.422
Estructura porcentual|Total nacional,100,3.746,2.977,0.769,100,3.963,3.174,0.789,100,3.798,3.012,0.786,100,3.589,2.803,0.786,100,3.48,2.704,0.775,100,3.507,2.715,0.792,100,3.4,2.634,0.766,100,3.413,2.629,0.784,100,3.256,2.469,0.787,100,3.181,2.41,0.771,100,3.169,2.391,0.778,100,3.148,2.372,0.776
Estructura porcentual|Total nacional|21---Minería,8.81,0.002,0.002,NA,6.778,0.001,0.001,NA,7.499,0.004,0.004,NA,9.041,0.003,0.003,NA,8.426,0.003,0.003,NA,7.375,0.003,0.003,NA,6.941,0.003,0.003,NA,4.188,0.002,0.002,NA,3.866,0.003,0.003,NA,4.338,0.003,0.003,NA,4.359,0.002,0.002,NA,4.592,0.002,0.002,NA
Estructura porcentual|Total nacional|23---Construcción,8.654,0.032,0.032,NA,8.629,0.037,0.037,NA,8.143,0.038,0.038,NA,8.173,0.038,0.038,NA,8.098,0.039,0.039,NA,7.74,0.038,0.038,NA,7.724,0.041,0.041,NA,7.786,0.04,0.04,NA,7.844,0.043,0.043,NA,7.862,0.046,0.046,NA,7.967,0.049,0.049,NA,7.501,0.045,0.045,NA
Estructura porcentual|Total nacional|31-33---Industrias manufactureras,16.259,2.818,2.818,NA,15.749,3.019,3.019,NA,16.22,2.818,2.818,NA,15.899,2.854,2.854,NA,16.861,2.627,2.627,NA,16.474,2.721,2.721,NA,16.784,2.617,2.617,NA,18.214,2.55,2.55,NA,18.326,2.52,2.52,NA,18.461,2.48,2.48,NA,18.573,2.431,2.431,NA,18.406,2.477,2.477,NA
Estructura porcentual|Total nacional|43-46---Comercio,16.174,2.53,2.53,NA,15.536,2.647,2.647,NA,16.351,2.307,2.307,NA,17.097,2.197,2.197,NA,17.366,2.076,2.076,NA,17.53,1.884,1.884,NA,17.683,1.726,1.726,NA,18.881,1.763,1.763,NA,19.733,1.687,1.687,NA,19.862,1.644,1.644,NA,19.911,1.662,1.662,NA,19.74,1.657,1.657,NA
"Estructura porcentual|Total nacional|48-49---Transportes, correos y almacenamiento",5.852,NA,NA,NA,5.968,NA,NA,NA,6.265,NA,NA,NA,6.137,NA,NA,NA,6.225,NA,NA,NA,6.466,NA,NA,NA,6.499,NA,NA,NA,6.56,NA,NA,NA,6.453,NA,NA,NA,6.415,NA,NA,NA,6.568,NA,NA,NA,6.619,NA,NA,NA
Estructura porcentual|Total nacional|51---Información en medios masivos,2.386,66.776,66.776,NA,2.604,67.675,67.675,NA,2.447,68.502,68.502,NA,2.187,68.291,68.291,NA,2.051,69.317,69.317,NA,2.076,69.705,69.705,NA,2.012,69.489,69.489,NA,1.914,69.66,69.66,NA,1.728,68.466,68.466,NA,1.68,68.303,68.303,NA,1.653,68.546,68.546,NA,1.64,68.266,68.266,NA
Estructura porcentual|Total nacional|52---Servicios financieros y de seguros,3.247,NA,NA,NA,3.528,NA,NA,NA,3.435,NA,NA,NA,3.231,NA,NA,NA,3.164,NA,NA,NA,3.626,NA,NA,NA,3.618,NA,NA,NA,3.588,NA,NA,NA,3.945,NA,NA,NA,4.079,NA,NA,NA,4.183,NA,NA,NA,4.3,NA,NA,NA
Estructura porcentual|Total nacional|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,12.053,0.24,0.24,NA,12.916,0.233,0.233,NA,12.463,0.239,0.239,NA,11.976,0.242,0.242,NA,11.594,0.252,0.252,NA,11.849,0.263,0.263,NA,11.769,0.256,0.256,NA,11.63,0.29,0.29,NA,11.241,0.293,0.293,NA,10.594,0.278,0.278,NA,10.277,0.272,0.272,NA,10.32,0.269,0.269,NA
"Estructura porcentual|Total nacional|54---Servicios profesionales, científicos y técnicos",2.228,11.401,11.401,NA,2.27,11.262,11.262,NA,2.095,11.326,11.326,NA,2.053,10.951,10.951,NA,1.999,11.208,11.208,NA,1.992,11.209,11.209,NA,1.969,11.544,11.544,NA,2.036,11.302,11.302,NA,2.068,10.682,10.682,NA,1.937,11.066,11.066,NA,1.918,11.01,11.01,NA,1.911,10.668,10.668,NA
"Estructura porcentual|Total nacional|56---Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",3.646,0.039,0.039,NA,3.763,0.041,0.041,NA,3.531,0.042,0.042,NA,3.501,0.041,0.041,NA,3.551,0.04,0.04,NA,3.689,0.04,0.04,NA,3.592,0.04,0.04,NA,3.543,0.039,0.039,NA,3.46,0.039,0.039,NA,3.512,0.037,0.037,NA,3.51,0.037,0.037,NA,3.611,0.036,0.036,NA
Estructura porcentual|Total nacional|61---Servicios educativos,3.962,1.126,1.126,NA,4.326,1.114,1.114,NA,4.17,1.109,1.109,NA,4.047,1.096,1.096,NA,4.11,1.072,1.072,NA,4.245,1.084,1.084,NA,4.27,1.087,1.087,NA,4.339,1.056,1.056,NA,4.173,1.076,1.076,NA,3.964,1.085,1.085,NA,3.863,1.137,1.137,NA,3.879,1.165,1.165,NA
Estructura porcentual|Total nacional|62---Servicios de salud y de asistencia social,2.088,NA,NA,NA,2.297,NA,NA,NA,2.26,NA,NA,NA,2.269,NA,NA,NA,2.252,NA,NA,NA,2.392,NA,NA,NA,2.367,NA,NA,NA,2.416,NA,NA,NA,2.364,NA,NA,NA,2.329,NA,NA,NA,2.337,NA,NA,NA,2.39,NA,NA,NA
"Estructura porcentual|Total nacional|71---Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",0.471,37.955,37.955,NA,0.494,36.625,36.625,NA,0.491,36.241,36.241,NA,0.458,37.7,37.7,NA,0.447,38.671,38.671,NA,0.469,38.554,38.554,NA,0.446,40.095,40.095,NA,0.45,40.17,40.17,NA,0.444,41.412,41.412,NA,0.427,42.756,42.756,NA,0.427,42.748,42.748,NA,0.423,43.2,43.2,NA
Estructura porcentual|Total nacional|72---Servicios de alojamiento temporal y de preparación de alimentos y bebidas,2.352,NS,NS,NA,2.287,NS,NS,NA,2.212,NS,NS,NA,2.14,NS,NS,NA,2.143,NS,NS,NA,2.204,NS,NS,NA,2.216,NS,NS,NA,2.374,NS,NS,NA,2.381,NS,NS,NA,2.348,NS,NS,NA,2.327,NS,NS,NA,2.389,NS,NS,NA
Estructura porcentual|Total nacional|81---Otros servicios excepto actividades gubernamentales,2.206,0.236,0.236,NA,2.36,0.236,0.236,NA,2.255,0.231,0.231,NA,2.137,0.209,0.209,NA,2.106,0.201,0.201,NA,2.174,0.181,0.181,NA,2.132,0.184,0.184,NA,2.161,0.17,0.17,NA,2.124,0.164,0.164,NA,2.028,0.169,0.169,NA,1.961,0.242,0.242,NA,1.989,0.243,0.243,NA
"Estructura porcentual|Total nacional|93---Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",3.807,5.671,NA,5.671,4.394,5.372,NA,5.372,4.359,5.207,NA,5.207,4.254,5.278,NA,5.278,4.286,5.224,NA,5.224,4.294,5.244,NA,5.244,4.304,4.886,NA,4.886,4.273,5,NA,5,4.096,4.959,NA,4.959,3.895,4.832,NA,4.832,3.873,4.862,NA,4.862,3.774,4.854,NA,4.854
Estructura porcentual|Total nacional|Otros bienes y servicios,5.806,9.525,NA,9.525,6.102,9.059,NA,9.059,5.804,9.641,NA,9.641,5.401,10.401,NA,10.401,5.32,10.363,NA,10.363,5.404,10.481,NA,10.481,5.674,9.796,NA,9.796,5.648,10.103,NA,10.103,5.753,10.152,NA,10.152,6.269,9.298,NA,9.298,6.292,9.366,NA,9.366,6.516,9.099,NA,9.099
