Descriptores,2008|Total de la economía,2008|Total de actividades culturales,2008|Bienes y servicios característicos y conexos,2008|Actividades no de mercado,2009|Total de la economía,2009|Total de actividades culturales,2009|Bienes y servicios característicos y conexos,2009|Actividades no de mercado,2010|Total de la economía,2010|Total de actividades culturales,2010|Bienes y servicios característicos y conexos,2010|Actividades no de mercado,2011|Total de la economía,2011|Total de actividades culturales,2011|Bienes y servicios característicos y conexos,2011|Actividades no de mercado,2012|Total de la economía,2012|Total de actividades culturales,2012|Bienes y servicios característicos y conexos,2012|Actividades no de mercado,2013|Total de la economía,2013|Total de actividades culturales,2013|Bienes y servicios característicos y conexos,2013|Actividades no de mercado,2014|Total de la economía,2014|Total de actividades culturales,2014|Bienes y servicios característicos y conexos,2014|Actividades no de mercado,2015|Total de la economía,2015|Total de actividades culturales,2015|Bienes y servicios característicos y conexos,2015|Actividades no de mercado,2016|Total de la economía,2016|Total de actividades culturales,2016|Bienes y servicios característicos y conexos,2016|Actividades no de mercado,2017|Total de la economía,2017|Total de actividades culturales,2017|Bienes y servicios característicos y conexos,2017|Actividades no de mercado,2018|Total de la economía<P>,2018|Total de actividades culturales<P>,2018|Bienes y servicios característicos y conexos<P>,2018|Actividades no de mercado<P>,2019|Total de la economía<P>,2019|Total de actividades culturales<P>,2019|Bienes y servicios característicos y conexos<P>,2019|Actividades no de mercado<P>
Millones de pesos a precios de 2013|Total nacional,14402756.626,487359.55900000007,368152.94600000005,119206.61300000001,13648546.978,479706.157,367066.509,112639.648,14352400.665,493158.936,376320.187,116838.749,14875796.592,510398.47699999996,388878.669,121519.80799999999,15430992.503,540925.986,416979.257,123946.729,15642619.845,548565.551,424734.726,123830.825,16067157.785,557881.4839999999,436758.33099999995,121123.15299999999,16579413.519,618764.246,494044.048,124720.198,16982550.285,675366.826,547444.916,127921.91,17329809.355,714530.7119999999,584359.534,130171.17799999999,17701290.794,746190.9929999999,611137.4249999999,135053.568,17690674.166,757702.98,623795.521,133907.459
Millones de pesos a precios de 2013|Total nacional|21---Minería,1191502.735,12.532,12.532,NA,1131388.298,12.944,12.944,NA,1143275.809,40.929,40.929,NA,1147826.749,44.211,44.211,NA,1160655.237,38.119,38.119,NA,1153599.414,35.614,35.614,NA,1131756.227,38.812,38.812,NA,1081656.403,15.48,15.48,NA,1034812.453,21.346,21.346,NA,949009.305,23.217,23.217,NA,897041.704,19.37,19.37,NA,857566.915,18.379,18.379,NA
Millones de pesos a precios de 2013|Total nacional|23---Construcción,1229271.956,405.728,405.728,NA,1154675.286,424.497,424.497,NA,1154805.964,432.679,432.679,NA,1200980.487,456.923,456.923,NA,1230058.171,476.177,476.177,NA,1210696.323,465.134,465.134,NA,1242661.033,504.64,504.64,NA,1268214.947,518.029,518.029,NA,1288920.258,571.719,571.719,NA,1284363.199,611.259,611.259,NA,1290002.847,644.009,644.009,NA,1223476.728,576.725,576.725,NA
Millones de pesos a precios de 2013|Total nacional|31-33---Industrias manufactureras,2447226.616,69920.673,69920.673,NA,2199227.399,64928.096,64928.096,NA,2390756.303,67792.455,67792.455,NA,2466334.916,69701.169,69701.169,NA,2563504.426,70235.427,70235.427,NA,2576975.603,70124.357,70124.357,NA,2680409.197,70511.459,70511.459,NA,2759115.455,74666.329,74666.329,NA,2801945.803,75293.53,75293.53,NA,2879958.882,77006.077,77006.077,NA,2933055.868,77437.353,77437.353,NA,2950487.374,77478.314,77478.314,NA
Millones de pesos a precios de 2013|Total nacional|43-46---Comercio,2440637.538,59230.446,59230.446,NA,2144800.936,54646.705,54646.705,NA,2396422.822,57369.752,57369.752,NA,2598605.936,59104.388,59104.388,NA,2695118.836,55425.399,55425.399,NA,2742204.094,51650.966,51650.966,NA,2839928.152,50127.873,50127.873,NA,2962654.447,52883.445,52883.445,NA,3045201.785,53126.231,53126.231,NA,3152952.859,53911.75,53911.75,NA,3250102.723,56817.655,56817.655,NA,3232583.068,56648.579,56648.579,NA
"Millones de pesos a precios de 2013|Total nacional|48-49---Transportes, correos y almacenamiento",910374.487,NA,NA,NA,844317.533,NA,NA,NA,912749.352,NA,NA,NA,948311.908,NA,NA,NA,986349.686,NA,NA,NA,1011495.685,NA,NA,NA,1047952.96,NA,NA,NA,1090495.991,NA,NA,NA,1122730.345,NA,NA,NA,1164324.221,NA,NA,NA,1201372.809,NA,NA,NA,1201973.38,NA,NA,NA
Millones de pesos a precios de 2013|Total nacional|51---Información en medios masivos,250100.648,164710.595,164710.595,NA,266072.468,176893.091,176893.091,NA,266147.975,179680.882,179680.882,NA,277044.001,187002.727,187002.727,NA,311159.789,215762.34,215762.34,NA,324690.765,226325.347,226325.347,NA,342174.914,237799.679,237799.679,NA,411428.398,285370.549,285370.549,NA,481200.954,335128.922,335128.922,NA,527781.11,367252.299,367252.299,NA,556052.568,388427.232,388427.232,NA,576012.323,402486.534,402486.534,NA
Millones de pesos a precios de 2013|Total nacional|52---Servicios financieros y de seguros,318504.403,NA,NA,NA,347352.572,NA,NA,NA,412666.194,NA,NA,NA,429093.095,NA,NA,NA,489102.942,NA,NA,NA,567237.525,NA,NA,NA,616011.76,NA,NA,NA,707275.131,NA,NA,NA,793872.624,NA,NA,NA,840261.528,NA,NA,NA,881892.969,NA,NA,NA,900615.506,NA,NA,NA
Millones de pesos a precios de 2013|Total nacional|53---Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,1669961.196,4193.917,4193.917,NA,1685556.753,4022.843,4022.843,NA,1739384.115,4203.105,4203.105,NA,1790706.874,4378.586,4378.586,NA,1836802.823,4648.374,4648.374,NA,1853549.024,4873.497,4873.497,NA,1894504.33,5111.54,5111.54,NA,1940242.509,5397.967,5397.967,NA,1978485.084,5666.037,5666.037,NA,2004301.916,5441.33,5441.33,NA,2038439.798,5338.802,5338.802,NA,2064078.166,5351.023,5351.023,NA
"Millones de pesos a precios de 2013|Total nacional|54---Servicios profesionales, científicos y técnicos",313913.702,35957.913,35957.913,NA,299410.501,33848.906,33848.906,NA,297726.368,33677.416,33677.416,NA,311811.617,34118.285,34118.285,NA,315556.608,34924.179,34924.179,NA,311660.611,34934.605,34934.605,NA,315565.593,35934.047,35934.047,NA,331692.471,37215.05,37215.05,NA,343652.057,37640.638,37640.638,NA,342283.127,38856.99,38856.99,NA,348761.396,39888.153,39888.153,NA,348490.301,38650.352,38650.352,NA
