Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total cultura,712602.594,735120.555,770141.072,812418.671,867285.524,883392.771,906290.84,959308.086,999190.583,1068175.253,1142819.502,1168344.568
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas,637252,661917.867,689052.81,722046.437,771071.313,782926.454,801721.496,846224.194,872642.274,929389.096,991366.604,1010740.883
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,11415.256,11064.099,11572.281,12391.356,12658.79,11684.705,11257.193,12549.84,14375.777,14148.688,18147.473,17710.935
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,877.675,834.329,871.033,968.922,1018.775,1041.408,1075.546,1229.744,1253.883,1329.234,1338.918,1238.335
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,4850.826,4643.031,4872.667,5074.523,5232.231,5129.687,5396.676,5692.506,6068.281,6324.683,7189.667,7320.129
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,1156.096,1147.364,1278.63,1373.312,1376.7,1369.528,1450.214,1620.735,1763.45,1830.057,1877.955,1861.624
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,3135.497,2816.606,2744.412,3053.805,2803.863,2410.498,2330.904,2776.929,3848.777,3318.936,5744.002,5311.809
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,1395.162,1622.769,1805.539,1920.794,2227.221,1733.584,1003.853,1229.926,1441.386,1345.778,1996.931,1979.038
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,26514.185,26093.284,28336.153,30082.149,32689.196,34629.504,35799.334,38255.402,42410.504,45921.025,49056.419,51085.552
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,12.914,13.716,14.576,15.044,15.946,16.765,17.385,18.039,18.944,19.9,20.839,22.13
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,17000.603,16497.294,17900.661,19422.926,21083.087,22554.744,23604.604,25032.753,27463.29,30254.33,32193.364,32970.749
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,6303.855,6387.767,6859.078,6855.955,7296.391,7723.904,8079.679,8928.102,10283.661,10878.171,12049.562,13107.214
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,153.91,155.285,166.385,177.985,182.895,198.283,205.534,220.845,227.767,243.687,253.075,262.382
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",478.445,486.618,540.509,565.404,631.902,670.996,674.874,703.708,767.522,843.355,860.803,944.357
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,411.835,406.637,385.352,405.723,452.439,468.727,488.32,508.829,555.642,610.094,624.736,627.235
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,2134.248,2125.763,2444.371,2603.163,2991.35,2966.365,2700.822,2814.534,3063.13,3040.603,3023.462,3120.621
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Comercio de bienes para artes escénicas y espectáculos,18.375,20.204,25.221,35.949,35.186,29.72,28.116,28.592,30.548,30.885,30.578,30.864
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos,9994.822,10334.955,10805.743,11624.106,10822.944,10120.497,9978.675,10765.532,11429.112,11890.951,12661.748,13660.651
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Instrumentos musicales,880.526,994.339,1053.516,1230.394,1250.819,1284.766,1360.223,1515.936,1629.637,1753.016,1860.752,1875.695
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Música,2046.032,2064.117,2178.882,2297.053,2226.495,2257.48,2068.937,2262.024,2390.504,2486.026,2693.353,3226.321
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Conciertos,1915.561,2034.311,2162.671,2231.635,2365.736,2486.433,2578.409,2675.387,2809.676,2951.427,3090.657,3282.091
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Propiedad intelectual en música,380.537,412.496,405.963,434.559,423.616,462.462,405.579,425.464,453.675,474.948,539.693,696.005
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Comercio de bienes para música,3072.097,3143.304,3135.506,3448.327,2353.4,1449.708,1619.225,1859.192,1876.148,1921.574,2118.837,2100.588
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Gestión pública en música y conciertos,1700.069,1686.388,1869.205,1982.138,2202.878,2179.648,1946.302,2027.529,2269.472,2303.96,2358.456,2479.951
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa",50912.411,51059.955,51031.557,54369.568,59586.879,55165.942,55506.574,58721.317,60954.385,61823.063,61223.268,54943.535
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Agencias noticiosas",147.873,163.505,163.865,161.905,163.993,169.08,172.8,187.172,179.563,177.873,166.038,157.584
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Libros",13994.266,14033.524,14089.104,14889.02,16598.721,15665.756,15688.787,16495.159,16682.601,17479.309,16467.366,15601.471
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Periódicos",11664.914,11258.198,11501.997,12181.766,12635.005,12445.419,12589.766,13212.542,13145.328,12962.798,12477.919,10669.351
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Revistas",5061.398,4793.91,4681.194,4785.582,5087.357,4816.423,4690.163,4711.762,4996.571,5094.106,4774.429,4264.95
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Otros productos editoriales e impresos",4327.396,4591.682,4727.546,5174.34,5474.95,5768.976,6268.699,6456.244,7178.371,7141.982,7707.875,7509.91
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Publicaciones digitales",1533.915,1515.36,1404.343,1326.655,1509.024,1420.376,1637.713,1801.329,1859.048,1560.73,975.853,804.264
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Propiedad intelectual en libros",381.555,383.44,385.891,399.1,411.26,418.638,430.029,465.561,452.883,464.981,437.163,416.796
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Comercio de libros, impresiones y prensa",7428.13,6272.034,6365.115,7018.683,8065.472,6881.371,6794.295,6970.161,7248.934,7612.158,7674.848,7255.454
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Gestión pública en libros, impresiones y prensa",6372.964,8048.302,7712.502,8432.517,9641.097,7579.903,7234.322,8421.387,9211.086,9329.126,10541.777,8263.755
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales,324203.439,348865.752,358953.564,368756.102,387451.305,396760.19,401679.068,413011.265,407387.535,431419.302,458444.948,470322.545
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Cine,17729.933,18675.076,20672.78,22364.955,24497.873,25595.84,26751.018,30247.522,34808.765,37207.882,38273.725,41864.852
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Internet,219979.971,238992.514,245285.83,242394.07,256022.584,263145.752,263574.032,258255.551,245025.101,257141.177,271867.006,282593.696
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Radio,18831.289,19520.961,18199.524,21286.664,19923.207,20674.108,22825.906,26145.161,27849.023,29039.96,29746.254,31802.641
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Televisión,44245.64,47281.178,50983.854,56065.79,58002.677,61057.632,62190.412,67028.263,67146.743,74872.753,83463.047,78688.04
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Videojuegos,413.623,406.048,404.632,402.818,427.043,449.856,492.376,546.712,558.364,543.918,467.478,470.522
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Propiedad intelectual en medios audiovisuales,5087.856,5107.042,5500.085,5828.18,6465.144,7095.329,7281.004,8051.606,8467.932,8405.834,8990.449,9061.59
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Comercio en audiovisuales,14045.324,14277.502,13087.561,15200.982,14979.836,12865.552,11895.656,15262.143,16028.764,17452.494,17491.866,18001.302
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Gestión pública en audiovisuales,3869.803,4605.431,4819.298,5212.643,7132.941,5876.121,6668.664,7474.307,7502.843,6755.284,8145.123,7839.902
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías,120638.261,118951.548,130437.539,140354.87,154268.019,159652.001,165196.167,183005.884,198173.301,217886.781,234609.769,244650.466
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Alfarería y cerámica,2227.306,2221.911,2645.221,2801.219,2887.063,2598.922,2702.877,2806.983,2434.74,3344.7,2785.797,4787.36
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Fibras vegetales y textiles,23626.307,23437.21,26258.511,28225.079,29859.182,31867.91,32356.874,36515.065,42492.959,44165.054,49663.305,51573.992
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Madera, maque y laca, instrumentos musicales y juguetería",21530.306,20344.316,22287.992,23342.067,26261.145,25751.345,26432.833,30424.163,30937.033,32060.046,35855.632,36054.606
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Cartón y papel, plástica popular, cerería y pirotecnia",3835.973,4082.058,4294.929,4723.632,5119.526,5265.755,5813.897,6279.515,6056.972,6696.405,8010.557,7743.249
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Metalistería, joyería y orfebrería",2856.631,3125.062,3510.878,4003.015,4344.831,4211.382,4502.946,4592.38,7353.638,8534.511,10356.047,10416.217
"Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Lapidaria, cantería y vidrio",8568.011,8333.253,8174.618,8757.304,9029.95,9847.794,10982.489,12229.986,11380.421,15635.244,13040.428,14021.159
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Talabartería y marroquinería,6074.343,5862.287,6591.032,6975.684,7530.838,7633.376,7878.903,8247.893,8519.311,8949.639,8674.329,8967.348
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Alimentos y dulces típicos,21218.607,21408.893,23590.131,25760.72,30033.201,32005.891,33047.451,35647.539,38936.115,43132.013,46542.295,48839.392
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Gestión pública en artesanías,267.283,317.323,303.141,381.555,383.853,411.262,565.273,578.291,460.494,465.963,537.76,405.399
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Artesanías|Comercio de artesanías,30433.494,29819.235,32781.086,35384.595,38818.43,40058.364,40912.624,45684.069,49601.618,54903.206,59143.619,61841.744
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Diseño y servicios creativos,58777.793,58379.593,60055.955,62567.937,67334.66,68144.436,72545.509,76812.083,81611.318,87635.671,93208.24,94773.437
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Diseño y servicios creativos|Arquitectónico,9360.119,8702.666,8959.91,9751.264,11056.674,11196.765,11855.777,13037.236,10964.855,12146.263,12179.701,11243.082
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Diseño y servicios creativos|Gráfico,2597.499,2369.232,2351.561,2255.123,2496.338,2461.029,2633.271,2571.011,2801.927,2790.164,3086.437,3038.717
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Diseño y servicios creativos|Informático,24841.63,25812.201,26381.736,27185.227,29183.444,29353.363,31575.116,34187.116,37418.912,40042.002,41162.613,43960.92
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Diseño y servicios creativos|Interiores,403.343,385.44,380.232,396.832,437.833,450.154,474.777,465.828,492.689,482.552,525.925,532.392
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Diseño y servicios creativos|Modas,280.861,274.636,285.426,292.031,327.024,336.001,354.621,352.062,375.15,378.137,412.149,418.105
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Diseño y servicios creativos|Industrial,2033.351,2027.684,2089.936,2234.771,2395.383,2308.883,2426.332,2520.85,2714.75,2624.97,2610.112,2766.542
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Diseño y servicios creativos|Publicidad,13970.035,13279.211,13881.256,14412.811,14871.184,15814.355,17253.051,16700.026,19561.94,21554.978,24544.172,23484.7
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Diseño y servicios creativos|Propiedad intelectual en diseño,3833.32,3797.108,3823.739,4067.274,4328.101,4502.141,4869.671,5652.506,5789.605,6092.217,6451.142,7154.331
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Diseño y servicios creativos|Gestión pública en servicios creativos,1444.232,1710.573,1876.104,1952.675,2191.068,1694.217,1079.797,1286.852,1454.383,1498.683,2209.634,2144.923
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Diseño y servicios creativos|Comercio en servicios creativos,13.403,20.842,26.055,19.929,47.611,27.528,23.096,38.596,37.107,25.705,26.355,29.725
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Patrimonio material y natural,12890.107,13672.256,13371.749,14834.641,16872.59,15914.412,16738.77,17922.243,19220.996,19736.866,21820.43,20016.094
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Patrimonio material y natural|Material,829.433,912.997,953.793,1041.236,1149.9,1021.421,1198.204,1270.648,1400.493,1549.043,1850.344,1747.792
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Patrimonio material y natural|Natural,1385.482,1382.297,1362.036,1449.175,1642.609,1649.259,1619.929,1837.917,1844.412,1886.289,2116.047,2168.302
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Patrimonio material y natural|Bibliotecas,166.154,175.291,183.433,197.725,208.522,216.496,228.837,235.548,247.239,261.311,273.002,287.507
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Patrimonio material y natural|Museos,512.52,497.137,536.597,567.867,661.647,696.501,680.5,729.261,802.389,863.694,888.086,900.651
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Patrimonio material y natural|Gestión pública en patrimonio,9962.429,10665.181,10299.536,11539.278,13167.907,12286.312,12964.635,13797.752,14878.545,15126.9,16634.818,14856.491
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Patrimonio material y natural|Comercio en patrimonio,34.089,39.353,36.354,39.36,42.005,44.423,46.665,51.117,47.918,49.629,58.133,55.351
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Formación y difusión cultural en instituciones educativas,21905.726,23496.425,24488.269,27065.708,29386.93,30854.767,33020.206,35180.628,37079.346,38926.749,42194.309,43577.668
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Formación y difusión cultural en instituciones educativas|Formación Pública,10404.266,11230.675,11577.869,13078.841,14313.432,14970.074,16049.954,17112.681,18222.427,19228.2,20598.956,21210.284
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Formación y difusión cultural en instituciones educativas|Formación Privada,6842.754,7169.92,7585.812,8069.2,8686.582,9266.815,9895.317,10293.281,10964.282,11667.462,12833.694,13707.299
Millones de pesos a precios corrientes|Total cultura|Subtotal de áreas generales y específicas|Formación y difusión cultural en instituciones educativas|Difusión Pública,4106.799,4523.96,4729.958,5311.239,5746.573,5945.644,6352.582,7015.871,7110.403,7211.708,7905.491,7779.799
