Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios de 2013|Total cultura,802368.232,783143.128,804062.137,833983.145,876440.956,883392.771,890743.7,954281.289,1014397.779,1059264.61,1102273.604,1104135.282
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas,706451.792,694607.879,710944.975,736173.621,776415.89,782926.454,790161.33,850842.732,905678.376,947383.418,984604.282,987382.167
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,13751.779,12355.371,12498.178,13222.011,12552.017,11684.705,11077.201,11737.251,12650.837,12054.206,15262.574,14912.382
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,1089.76,985.126,965.78,1027.877,1042.921,1041.408,1061.614,1124.605,1089.572,1132.012,1109.985,1011.698
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,5534.544,5100.315,5280.79,5368.633,5329.812,5129.687,5270.595,5399.099,5588.605,5571.184,6102.34,6058.166
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,1464.27,1403.202,1474.013,1561.513,1462.058,1369.528,1398.812,1469.152,1488.777,1492.909,1471.892,1428.826
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,3936.709,3185.508,3003.598,3372.925,2819.915,2410.498,2402.995,2606.918,3185.491,2701.195,4935.807,4829.202
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,1726.496,1681.22,1773.997,1891.063,1897.311,1733.584,943.185,1137.477,1298.392,1156.906,1642.55,1584.49
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,32479.617,30707.629,31720.77,32635.516,33943.049,34629.504,34457.421,36037.316,38579.006,39787.24,40542.693,40643.628
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,15.95,16.094,16.239,16.383,16.569,16.765,16.581,16.765,16.949,17.117,17.284,17.452
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,20563.5,19166.308,19857.392,20865.847,21866.091,22554.744,22724.304,23578.052,25078.892,26132.572,26593.297,26268.901
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,7718.336,7439.271,7620.072,7324.055,7519.52,7723.904,7811.933,8442.927,9257.626,9480.899,9927.198,10305.87
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,187.31,180.775,184.874,192.592,191.338,198.283,203.369,211.155,212.36,217.168,216.143,214.383
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",581.442,563.656,592.655,606.112,656.097,670.996,654.069,662.098,703.681,736.659,711.451,742.056
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,476.493,453.256,412.445,423.284,462.431,468.727,475.548,486.18,520.322,556.911,556.127,545.873
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,2915.11,2865.648,3009.065,3168.734,3195.126,2966.365,2542.691,2612.579,2761.315,2618.922,2495.018,2523.933
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Comercio de bienes para artes escénicas y espectáculos,21.476,22.621,28.028,38.509,35.877,29.72,28.926,27.56,27.861,26.992,26.175,25.16
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos,11630.754,11373.37,11857.038,12404.605,11104.215,10120.497,9751.846,9942.52,10143.592,10196.036,10568.429,11112.252
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Instrumentos musicales,1215.601,1268.967,1258.934,1352.456,1347.225,1284.766,1331.624,1380.545,1386.528,1420.455,1473.642,1459.215
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Música,2362.916,2095.276,2205.011,2305.359,2238.801,2257.48,2060.335,2119.32,2204.853,2251.398,2386.962,2766.085
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Conciertos,2365.742,2387.016,2408.327,2429.621,2458.028,2486.433,2513.765,2541.127,2568.504,2595.87,2620.719,2645.567
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Propiedad intelectual en música,377.467,403.6,400.092,434.452,423.552,462.462,391.705,391.705,401.416,393.092,433.789,530.906
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Comercio de bienes para música,3168.659,3111.084,3371.724,3568.664,2299.415,1449.708,1610.598,1609.247,1532.156,1546.179,1696.124,1689.49
Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Gestión pública en música y conciertos,2140.369,2107.427,2212.95,2314.053,2337.194,2179.648,1843.819,1900.576,2050.135,1989.042,1957.193,2020.989
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa",61143.487,56119.906,55501.087,56326.703,57850.68,55165.942,53866.015,55099.873,54531.222,53827.279,51141.44,44396.437
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Agencias noticiosas",162.803,173.503,171.137,169.569,162.758,169.08,171.448,178.549,166.206,154.709,138.478,128.841
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Libros",16965.246,15707.663,15425.018,15283.227,16220.169,15665.756,15007.544,15242.596,14704.754,15264.394,13801.398,12562.709
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Periódicos",14333,12670.232,12356.309,12713.223,12833.649,12445.419,12325.985,12668.026,12024.645,11439.219,10622.528,8831.832
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Revistas",6225.956,5424.921,5183.313,5039.282,5062.953,4816.423,4525.535,4393.546,4431.276,4455.417,4009.787,3418.174
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Otros productos editoriales e impresos",5631.241,5447.643,5748.655,6045.427,6043.348,5768.976,6171.174,6147.181,6486.355,6252.799,6545.114,6092.046
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Publicaciones digitales",1555.29,1511.6,1387.656,1353.076,1500.046,1420.376,1579.3,1675.081,1625.685,1287.193,779.674,631.617
"Millones de pesos a precios de 2013|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Propiedad intelectual en libros",425.652,411.19,400.382,409.831,413.007,418.638,423.414,445.795,420.046,407.491,369.051,345.022
