Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Índice de precios implícitos|Total cultura,88.812,93.868,95.781,97.414,98.955,100,101.745,100.527,98.501,100.841,103.678,105.815
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas,90.205,95.294,96.921,98.081,99.312,100,101.463,99.457,96.352,98.101,100.687,102.366
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas,83.009,89.549,92.592,93.718,100.851,100,101.625,106.923,113.635,117.376,118.902,118.767
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Dibujo,80.538,84.693,90.19,94.264,97.685,100,101.312,109.349,115.08,117.422,120.625,122.402
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Fotografía,87.646,91.034,92.272,94.522,98.169,100,102.392,105.434,108.583,113.525,117.818,120.831
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Pintura y escultura,78.954,81.768,86.745,87.948,94.162,100,103.675,110.318,118.45,122.583,127.588,130.29
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Comercio de artes plásticas y visuales,79.648,88.419,91.371,90.539,99.431,100,97,106.522,120.822,122.869,116.374,109.994
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes visuales y plásticas|Gestión pública en artes plásticas y visuales,80.809,96.523,101.778,101.572,117.388,100,106.432,108.128,111.013,116.326,121.575,124.901
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos,81.633,84.973,89.33,92.176,96.306,100,103.894,106.155,109.932,115.416,120.999,125.691
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Danza,80.966,85.224,89.759,91.827,96.24,100,104.849,107.599,111.771,116.259,120.568,126.805
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos artísticos,82.674,86.074,90.146,93.085,96.419,100,103.874,106.17,109.508,115.772,121.058,125.512
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Espectáculos deportivos,81.674,85.865,90.013,93.609,97.033,100,103.427,105.747,111.083,114.738,121.379,127.182
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Teatros,82.169,85.9,89.999,92.416,95.587,100,101.065,104.589,107.255,112.211,117.087,122.389
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Promotores, agentes y representantes",82.286,86.332,91.201,93.284,96.312,100,103.181,106.285,109.072,114.484,120.993,127.262
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Alquiler de espacios para espectáculos,86.43,89.715,93.431,95.851,97.839,100,102.686,104.659,106.788,109.55,112.337,114.905
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Gestión pública en artes escénicas y espectáculos,73.213,74.181,81.234,82.152,93.622,100,106.219,107.73,110.93,116.101,121.18,123.641
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Artes escénicas y espectáculos|Comercio de bienes para artes escénicas y espectáculos,85.561,89.315,89.985,93.352,98.074,100,97.2,103.745,109.644,114.423,116.821,122.671
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos,85.934,90.87,91.134,93.708,97.467,100,102.326,108.278,112.673,116.623,119.807,122.933
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Instrumentos musicales,72.435,78.358,83.683,90.975,92.844,100,102.148,109.807,117.534,123.412,126.269,128.541
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Música,86.589,98.513,98.815,99.64,99.45,100,100.418,106.733,108.42,110.421,112.836,116.639
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Conciertos,80.971,85.224,89.8,91.851,96.245,100,102.572,105.283,109.39,113.697,117.932,124.06
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Propiedad intelectual en música,100.813,102.204,101.467,100.025,100.015,100,103.542,108.618,113.019,120.824,124.414,131.098
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Comercio de bienes para música,96.953,101.036,92.994,96.628,102.348,100,100.536,115.532,122.451,124.279,124.922,124.333
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Música y conciertos|Gestión pública en música y conciertos,79.429,80.021,84.467,85.657,94.253,100,105.558,106.68,110.699,115.833,120.502,122.71
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa",83.267,90.984,91.947,96.525,103.001,100,103.046,106.573,111.779,114.855,119.714,123.757
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Agencias noticiosas",90.829,94.238,95.751,95.48,100.759,100,100.789,104.829,108.036,114.973,119.902,122.309
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Libros",82.488,89.342,91.339,97.421,102.334,100,104.539,108.218,113.45,114.51,119.317,124.189
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Periódicos",81.385,88.856,93.086,95.82,98.452,100,102.14,104.298,109.32,113.319,117.467,120.806
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Revistas",81.295,88.368,90.313,94.966,100.482,100,103.638,107.243,112.757,114.335,119.069,124.773
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Otros productos editoriales e impresos",76.846,84.287,82.237,85.591,90.595,100,101.58,105.028,110.669,114.221,117.765,123.274
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Publicaciones digitales",98.626,100.249,101.203,98.047,100.599,100,103.699,107.537,114.355,121.251,125.162,127.334
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Propiedad intelectual en libros",89.64,93.251,96.381,97.382,99.577,100,101.562,104.434,107.817,114.108,118.456,120.803
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Comercio de libros, impresiones y prensa",90.103,84.083,90.651,102.798,112.721,100,98.849,106.293,113.694,115.93,123.557,125.05
"Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Libros, impresiones y prensa|Gestión pública en libros, impresiones y prensa",83.852,110.043,98.789,99.377,113.968,100,106.572,108.083,111.024,116.616,121.675,125.509
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales,100.697,105.806,106.916,103.922,100.653,100,99.176,91.776,82.505,81.607,82.671,82.791
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Cine,77.44,89.386,95.018,96.957,99.429,100,101.305,105.661,106.903,106.247,107.537,112.619
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Internet,113.809,115.238,118.347,112.479,102.084,100,97.72,84.654,69.944,67.496,67.492,67.23
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Radio,85.563,98.008,91.925,92.141,96.93,100,99.919,106.747,116.144,124.981,132.287,135.745
Índice de precios implícitos|Total cultura|Subtotal de áreas generales y específicas|Medios audiovisuales|Televisión,81.333,85.864,87.534,90.762,95.66,100,103.738,105.121,112.654,118.937,125.718,131.762
