Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios corrientes|Total cultura,712602.593,735120.553,770141.076,812418.668,867285.526,883392.77,906290.844,959308.089,999190.583,1068175.25,1142819.512,1168344.567
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios,595275.793,615043.728,641278.142,669285.824,710693.409,726912.973,744767.169,784078.043,806649.962,862690.641,916773.516,940002.608
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,300016.803,302353.36,319644.98,343282.978,367038.065,378505.343,394680.885,428088.053,456337.952,492573.361,523326.661,532593.703
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,122843.117,123467.864,128539.016,141058.933,149975.936,152244.031,157661.401,174658.634,186953.626,201938.794,213509.383,223542.921
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,89937.484,88814.99,97353.312,104588.72,115065.736,119182.375,123718.27,136743.524,148111.189,162517.612,174928.39,182403.323
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,210.33999999999997,180.766,145.579,169.534,155.27100000000002,145.62,151.147,151.013,138.14100000000002,128.451,118.61,142.711
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,16448.373,18499.999,15484.7,20120.584,16727.204999999998,15965.528,16666.587,18637.173,18125.796,16976.969,16840.134,20298.236999999997
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",2306.348,1692.837,1455.872,1314.667,1514.302,1623.046,1821.058,3054.573,3971.594,5023.327,5078.511,5317.099
Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,877.048,991,1049.897,1226.587,1247.073,1280.362,1355.661,1510.807,1624.468,1747.247,1854.732,1869.186
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",12951.265,13176.999,12927.256,13503.482,15117.045999999998,13906.248,13809.517,14412.663,14822.852,15376.869999999999,14511.954999999998,13336.018
"Millones de pesos a precios corrientes|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",112.259,111.273,122.4,135.359,149.303,140.852,139.161,148.881,159.586,168.318,177.051,176.347
