Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Millones de pesos a precios de 2013|Total cultura,802368.233,783143.128,804062.14,833983.14,876440.957,883392.77,890743.7,954281.298,1014397.787,1059264.611,1102273.608,1104135.282
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios,651592.608,640316.594,655323.338,677188.318,717049.05,726912.973,736584.052,794234.11,847153.035,890309.725,923726.707,930941.255
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,367176.09,348591.186,359723.163,369876.246,377407.792,378505.343,381495.022,399468.158,405948.199,416999.164,424654.585,414394.532
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,154269.803,142755.931,148540.986,153364.431,154435.995,152244.031,152439.192,160443.843,161583.666,165061.26,166723.374,167015.614
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,112925.573,107047.959,114087.326,114326.101,119483.72,119182.375,118670.558,125510.197,128550.03,132093.244,135937.599,135021.668
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,220.324,168.341,193.59699999999998,206.135,178.86599999999999,145.62,153.28300000000002,147.522,114.59,97.614,84.069,99.747
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,20677.798000000003,17189.683,16548.255,21888.768,17143.239999999998,15965.528,17325.193,17612.333,15646.09,14744.235,13860.800000000001,16594.712
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",2826.858,1970.5,1627.036,1420.818,1571.942,1623.046,1751.267,2699.126,3184.416,3226.615,3184.416,3317.506
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,1211.222,1264.997,1254.755,1348.221,1343.1,1280.362,1327.024,1375.652,1381.638,1415.255,1468.39,1453.697
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",16278.022,14988.248,14696.771,14034.381,14563.148000000001,13906.248,13074.114000000001,12953.935000000001,12561.824,13335.698,12036.543000000001,10383.628999999999
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",130.006,126.203,133.246,140.007,151.979,140.852,137.753,145.078,145.078,148.599,151.557,144.655
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,212906.287,205835.255,211182.177,216511.815,222971.797,226261.312,229055.83,239024.315,244364.533,251937.904,257931.211,247378.918
Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,201.767,202.171,202.37,209.029,211.45,216.496,224.29,224.506,229.269,231.867,231.001,231.867
"Millones de pesos a precios de 2013|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",21933.14,20618.936,21286.461000000003,22300.478,23304.850000000002,23967.03,24208.900999999998,25035.817,26494.034,27531.274999999998,28032.912,27830.094
