Descriptores,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018<P>,2019<P>
Índice de precios implícitos|Total cultura,88.812,93.868,95.781,97.414,98.955,100,101.745,100.527,98.501,100.841,103.678,105.815
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios,91.357,96.053,97.857,98.833,99.114,100,101.111,98.721,95.219,96.898,99.247,100.973
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,81.709,86.736,88.859,92.81,97.252,100,103.456,107.164,112.413,118.123,123.236,128.523
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,79.629,86.489,86.534,91.976,97.112,100,103.426,108.86,115.701,122.342,128.062,133.846
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,79.643,82.967,85.332,91.483,96.302,100,104.254,108.95,115.217,123.032,128.683,135.092
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,95.468,107.381,75.197,82.244,86.809,100,98.606,102.366,120.552,131.591,141.086,143.073
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,79.546,107.623,93.573,91.922,97.573,100,96.199,105.819,115.849,115.143,121.495,122.318
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",81.587,85.909,89.48,92.529,96.333,100,103.985,113.169,124.72,155.684,159.48,160.274
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,72.41,78.34,83.673,90.978,92.85,100,102.158,109.825,117.576,123.458,126.311,128.582
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",79.563,87.916,87.96,96.217,103.803,100,105.625,111.261,117.999,115.306,120.566,128.433
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",86.349,88.17,91.86,96.68,98.239,100,101.022,102.621,110,113.27,116.821,121.909
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,83.217,86.907,90.493,93.401,97.35,100,103.477,106.027,110.239,115.36,120.116,124.93
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,82.349,86.704,90.642,94.592,98.615,100,102.027,104.918,107.838,112.699,118.182,123.997
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",82.541,86.016,90.087,92.949,96.395,100,103.815,106.133,109.513,115.642,120.825,125.427
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,82.717,86.201,93.308,94.573,98.555,100,102.598,105.884,107.884,108.994,111.09,118.66
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",80.971,85.224,89.796,91.848,96.246,100,102.769,105.485,109.597,113.921,118.161,124.3
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",82.812,89.107,92.779,94.749,97.248,100,101.762,103.289,107.499,112.913,116.711,119.176
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,80.795,84.22,87.884,91.674,95.747,100,103.944,108.158,112.464,117.283,122.756,128.402
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,81.645,85.875,89.859,93.643,97.123,100,103.529,105.866,111.504,114.964,121.613,127.398
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,87.537,90.687,93.077,95.13,98.799,100,102.73,105.642,108.579,113.396,117.582,120.468
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",88.152,92.525,95.011,97.318,98.938,100,101.457,105.877,110.858,115.674,121.009,124.237
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,81.898,86.443,91.124,93.262,96.206,100,102.733,106.617,110.447,115.669,119.941,125.775
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",81.921,85.785,91.284,93.341,96.361,100,102.634,104.77,107.603,112.913,119.311,125.094
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),81.373,84.651,89.284,92.03,96.755,100,104.202,107.645,110.348,114.059,117.933,122.525
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,86.003,89.23,91.418,94.746,99.263,100,103.756,107.441,110.289,116.768,120.696,124.445
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",99.724,100.635,101.686,98.531,101.15,100,103.343,107.531,113.961,121.059,125.342,127.371
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",84.952,90.723,94.873,97.295,100.485,100,110.209,114.805,117.771,120.843,127.61,133.514
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,80.715,83.97,87.48,91.181,95.774,100,104.232,105.035,111.873,118.184,124.574,130.452
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,103.812,107.187,108.807,106.082,101.182,100,98.591,90.177,79.399,78.198,78.836,78.872
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,76.301,83.355,86.601,89.058,92.575,100,102.511,107.67,115.179,120.031,125.24,129.263
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,74.93,84.539,84.519,87.071,89.536,100,101.545,105.668,113.084,116.317,120.165,125.898
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",77.95,81.914,89.25,91.576,96.793,100,103.953,110.491,118.165,124.794,131.878,133.604
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,104.258,107.56,109.163,106.362,101.311,100,98.533,89.94,78.946,77.723,78.333,78.373
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",80.794,84.984,87.738,90.971,92.058,100,99.171,104.465,105.353,110.781,115.079,118.639
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",86.364,89.665,93.304,95.701,97.694,100,102.67,104.655,106.788,109.55,112.337,114.905
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,82.674,87.55,85.471,90.788,99.422,100,101.23,109.689,117.778,125.134,129.085,132.447
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",83.88,87.385,89.44,92.31,96.879,100,104.174,107.781,110.706,114.653,118.779,123.445
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),113.512,114.993,118.076,112.311,102.076,100,97.747,84.787,70.197,67.811,67.834,67.591
"Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",82.235,86.508,89.4,91.471,97.1,100,101.015,108.667,109.753,112.89,115.514,119.265
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,81.539,85.819,89.772,93.573,97.1,100,103.139,105.673,107.535,111.033,115.306,121.073
Índice de precios implícitos|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,85.05,88.405,92.467,95.152,96.709,100,103.629,109.755,116.321,124.949,130.937,134.904
Índice de precios implícitos|Total cultura|Gestión pública en actividades culturales,76.449,86.314,85.842,89.406,101.724,100,106.321,109.796,112.767,116.866,122.542,125.335
Índice de precios implícitos|Total cultura|Gestión pública en actividades culturales|Administración federal,77.478,90.517,87.402,91.038,105.008,100,106.528,109.959,112.015,116.113,122.244,124.729
Índice de precios implícitos|Total cultura|Gestión pública en actividades culturales|Administración estatal,74.53,78.64,82.897,86.274,95.458,100,106.006,109.543,113.979,118.069,123.056,126.268
Índice de precios implícitos|Total cultura|Asociaciones y organizaciones civiles,86.39,89.868,93.56,96.147,98.567,100,103.76,107.614,111.328,116.491,121.142,124.958
Índice de precios implícitos|Total cultura|Producción cultural de los hogares,78.559,82.682,87.082,92.396,96.19,100,103.964,109.325,116.399,124.048,128.711,134.989
Variación anual|Total cultura,NA,5.693,2.038,1.705,1.582,1.056,1.745,-1.197,-2.015,2.376,2.813,2.061
Variación anual|Total cultura|Subtotal de bienes y servicios,NA,5.14,1.878,0.997,0.284,0.894,1.111,-2.364,-3.547,1.763,2.424,1.739
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos,NA,6.152,2.448,4.446,4.786,2.826,3.456,3.584,4.898,5.079,4.329,4.29
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes,NA,8.615,0.052,6.289,5.584,2.974,3.426,5.254,6.284,5.74,4.675,4.517
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Artesanías,NA,4.174,2.851,7.208,5.268,3.84,4.254,4.504,5.752,6.783,4.593,4.98
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Aparatos y películas fotográficas,NA,12.479,-29.972,9.371,5.551,15.195,-1.394,3.813,17.766,9.157,7.216,1.408
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de audio y de video,NA,35.297,-13.055,-1.764,6.148,2.487,-3.801,10,9.478,-0.609,5.517,0.677
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Equipo de transmisión y recepción de señales de radio, televisión y comunicación inalámbrica",NA,5.297,4.157,3.407,4.111,3.807,3.985,8.832,10.207,24.827,2.438,0.498
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Instrumentos musicales,NA,8.189,6.808,8.73,2.058,7.701,2.158,7.505,7.058,5.003,2.311,1.798
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Libros, periódicos y revistas",NA,10.499,0.05,9.387,7.884,-3.664,5.625,5.336,6.056,-2.282,4.562,6.525
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Bienes|Ropa artística, típica y otros",NA,2.109,4.185,5.247,1.613,1.793,1.022,1.583,7.191,2.973,3.135,4.355
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios,NA,4.434,4.126,3.214,4.228,2.722,3.477,2.464,3.973,4.645,4.123,4.008
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Bibliotecas,NA,5.288,4.542,4.358,4.253,1.404,2.027,2.834,2.783,4.508,4.865,4.92
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cantantes, grupos musicales, artistas, escritores y técnicos independientes",NA,4.21,4.733,3.177,3.707,3.74,3.815,2.233,3.185,5.597,4.482,3.809
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Cine,NA,4.212,8.245,1.356,4.211,1.466,2.598,3.203,1.889,1.029,1.923,6.814
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Compañías de teatro, danza y grupos de espectáculos artísticos",NA,5.252,5.365,2.285,4.788,3.9,2.769,2.643,3.898,3.945,3.722,5.195
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Edición de libros, periódicos, revistas y otros materiales",NA,7.602,4.121,2.123,2.637,2.83,1.762,1.501,4.076,5.036,3.364,2.112
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Educación artística y cultural,NA,4.239,4.351,4.313,4.443,4.442,3.944,4.054,3.981,4.285,4.666,4.599
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Espectáculos deportivos,NA,5.181,4.639,4.211,3.716,2.962,3.529,2.257,5.326,3.103,5.784,4.757
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Fotografía,NA,3.598,2.635,2.206,3.857,1.216,2.73,2.835,2.78,4.436,3.691,2.454
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Música, radio y otros servicios",NA,4.961,2.687,2.428,1.665,1.073,1.457,4.357,4.705,4.344,4.612,2.668
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Museos,NA,5.55,5.415,2.346,3.157,3.944,2.733,3.781,3.592,4.728,3.693,4.864
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Promotores de espectáculos artísticos, deportivos y similares",NA,4.717,6.41,2.253,3.235,3.776,2.634,2.081,2.704,4.935,5.666,4.847
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios creativos (publicidad),NA,4.028,5.473,3.076,5.134,3.354,4.202,3.304,2.511,3.363,3.396,3.894
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de diseño,NA,3.752,2.452,3.64,4.767,0.742,3.756,3.552,2.651,5.875,3.364,3.106
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Servicios de información (agencias noticiosas, internet, entre otros)",NA,0.914,1.044,-3.103,2.658,-1.137,3.343,4.053,5.98,6.228,3.538,1.619
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Sitios históricos, parques naturales y otros sitios de patrimonio cultural",NA,6.793,4.574,2.553,3.279,-0.483,10.209,4.17,2.584,2.608,5.6,4.627
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios característicos|Servicios|Televisión y otros servicios,NA,4.033,4.18,4.231,5.037,4.412,4.232,0.77,6.51,5.641,5.407,4.718
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos,NA,3.251,1.511,-2.504,-4.619,-1.168,-1.409,-8.534,-11.952,-1.513,0.816,0.046
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes,NA,9.245,3.894,2.837,3.949,8.021,2.511,5.033,6.974,4.213,4.34,3.212
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos para impresión y fabricación de anuncios,NA,12.824,-0.024,3.019,2.831,11.687,1.545,4.06,7.018,2.859,3.308,4.771
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Bienes|Artículos y accesorios para artes plásticas, escultóricas y dibujo<C1>",NA,5.085,8.956,2.606,5.697,3.313,3.953,6.289,6.945,5.61,5.677,1.309
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios,NA,3.167,1.49,-2.566,-4.749,-1.294,-1.467,-8.721,-12.224,-1.549,0.785,0.051
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de artículos (discos, instrumentos musicales, proyectores, producción audiovisual entre otros)<C2>",NA,5.186,3.241,3.685,1.195,8.627,-0.829,5.338,0.85,5.152,3.88,3.094
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Alquiler de sitios (teatros, auditorios, estadios, entre otros)",NA,3.822,4.058,2.569,2.083,2.36,2.67,1.933,2.038,2.586,2.544,2.286
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Comercio de productos culturales,NA,5.898,-2.375,6.221,9.51,0.581,1.23,8.356,7.374,6.246,3.157,2.604
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de apoyo a la edición, diseño y publicidad",NA,4.179,2.352,3.209,4.95,3.222,4.174,3.462,2.714,3.565,3.599,3.928
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios de medios de comunicación (internet),NA,1.305,2.681,-4.882,-9.113,-2.034,-2.253,-13.259,-17.208,-3.399,0.034,-0.358
"Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios para el registro derechos de autor (composiciones musicales, obras musicales, entre otros)",NA,5.196,3.343,2.317,6.154,2.987,1.015,7.575,0.999,2.858,2.324,3.247
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Sitios de recreación,NA,5.249,4.606,4.234,3.769,2.987,3.139,2.457,1.762,3.253,3.848,5.001
Variación anual|Total cultura|Subtotal de bienes y servicios|Bienes y servicios conexos|Servicios|Servicios auxiliares para la edificación,NA,3.945,4.595,2.904,1.636,3.403,3.629,5.911,5.982,7.417,4.792,3.03
Variación anual|Total cultura|Gestión pública en actividades culturales,NA,12.904,-0.547,4.152,13.778,-1.695,6.321,3.268,2.706,3.635,4.857,2.279
Variación anual|Total cultura|Gestión pública en actividades culturales|Administración federal,NA,16.829,-3.441,4.16,15.345,-4.769,6.528,3.221,1.87,3.658,5.28,2.033
Variación anual|Total cultura|Gestión pública en actividades culturales|Administración estatal,NA,5.515,5.413,4.074,10.645,4.758,6.006,3.337,4.05,3.588,4.224,2.61
Variación anual|Total cultura|Asociaciones y organizaciones civiles,NA,4.026,4.108,2.765,2.517,1.454,3.76,3.714,3.451,4.638,3.993,3.15
Variación anual|Total cultura|Producción cultural de los hogares,NA,5.248,5.322,6.102,4.106,3.961,3.964,5.157,6.471,6.571,3.759,4.878
